ProgramSiteID,SiteName,WatershedID,WatershedName,SampleDate,HitchName,CrewName,VisitYear,IterationID,CategoryName,PanelName,VisitID,VisitDate,ProtocolID,ProgramID,AEM,Bug Validation,CHaMP 10% Revisit,CHaMP Core,CHaMP-PiBO Comparison,Effectiveness,Has Fish Data,IMW,Remove,Velocity Validation,Primary Visit,QC Visit,Error,No,Yes,MeasurementID,Notes,DataUpdateNotes,UndercutBankID,UTMZone,UTMNorthing,UTMEasting,GPSAccuracy,GPSAccuracyType,EstimatedLength,Width25,Width50,Width75,Bank,AverageWidth,NearestUnitBoundary,AverageDepth,Elevation,ChannelUnitID,ChannelUnit_ChannelUnitNumber,DistanceToNearestUnitBoundary,EstimatedUndercutArea
68449,CAL00001-000013,27,Big-Navarro-Garcia (CA),7/1/2013,Usal Creek 7/1,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1457,7/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174359939,,,1,10,4411145,428903,4.65,HDOP,7.3,0.5,0.65,0.25,Left,0.47,,,74,16,15,,3.41
68449,CAL00001-000013,27,Big-Navarro-Garcia (CA),7/1/2013,Usal Creek 7/1,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1457,7/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174359940,,,2,10,4411201,428940,4.42,HDOP,2.8,0.55,0.25,0.27,Left,0.36,,,37,16,15,,1
68449,CAL00001-000013,27,Big-Navarro-Garcia (CA),7/1/2013,Usal Creek 7/1,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1457,7/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174359941,,,3,10,4411199,428950,5.31,HDOP,4,0.5,1.1,1,Left,0.87,,,38,16,15,,3.47
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/1/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,706,8/1/2012,806,1,,,,,,,,,,,Yes,,,Yes,,211494,,,3,10,4381728,443263,1.63,HDOP,7.9,0.3,0.3,0.3,Left,0.3,Upstream,0.21,318,19,19,3,2.37
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/1/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,706,8/1/2012,806,1,,,,,,,,,,,Yes,,,Yes,,211495,,,2,10,4381719,443218,2.53,HDOP,1,0.15,0.15,0.15,Left,0.15,Downstream,0.18,299,17,17,4,0.15
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/1/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,706,8/1/2012,806,1,,,,,,,,,,,Yes,,,Yes,,211496,,,1,10,4381747,443230,,,1.3,0.11,0.11,0.11,Right,0.11,Upstream,0.35,,13,13,1.5,0.14
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/8/2013,Upper Bear Haven,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1756,8/8/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174480643,,,1,10,4381737,443213,1.85,HDOP,2,0.2,0.3,0.3,Left,0.27,,,130,6,6,,0.53
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/8/2013,Upper Bear Haven,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1756,8/8/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174480644,,,1,10,4381753,443221,1.76,HDOP,1.5,0.2,0.3,0.3,Right,0.27,,,142,8,8,,0.4
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/8/2013,Upper Bear Haven,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1756,8/8/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174480645,,,1,10,4381681,443246,2.72,HDOP,1,0.3,0.3,0.2,Right,0.27,,,146,15,15,,0.27
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/8/2013,Upper Bear Haven,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1756,8/8/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174480646,,,2,10,4381719,443259,9.42,HDOP,1.5,0.2,0.3,0.5,Right,0.33,,,142,15,15,,0.5
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/8/2013,Upper Bear Haven,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1756,8/8/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174480647,,,1,10,4381790,443239,14.22,HDOP,1.5,0.3,0.3,0.2,Right,0.27,,,105,16,16,,0.4
68452,CAL00001-000516,27,Big-Navarro-Garcia (CA),8/8/2013,Upper Bear Haven,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1756,8/8/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174480648,,,2,10,4381755,443284,13.79,HDOP,2.5,0.6,0.4,0.4,Right,0.47,,,147,16,16,,1.17
68453,CAL00001-000617,27,Big-Navarro-Garcia (CA),10/29/2012,Usal Creek,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1079,10/29/2012,806,1,,,,,,,,,,,Yes,,,,Yes,4444285,,,6,10,4409664,430995,4.9,HDOP,4.1,0.3,0.3,0.3,Right,0.3,Downstream,0.1,40,19,19,0.1,1.23
68453,CAL00001-000617,27,Big-Navarro-Garcia (CA),10/29/2012,Usal Creek,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1079,10/29/2012,806,1,,,,,,,,,,,Yes,,,,Yes,4444286,,,5,10,4409654,430984,2.9,HDOP,2.9,1.1,1.1,1.1,Right,1.1,Upstream,0.45,41,17,17,3.2,3.19
68453,CAL00001-000617,27,Big-Navarro-Garcia (CA),10/29/2012,Usal Creek,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1079,10/29/2012,806,1,,,,,,,,,,,Yes,,,,Yes,4444287,,,4,10,4409686,430972,3.8,HDOP,4.3,1.1,1.1,1.1,Right,1.1,Upstream,0.45,64,12,12,3,4.73
