Watershed,Site,SampleDate,Organization,UseOrder,Protocol,HitchDate,Hitch,Crew,VisitPhase,VisitStatus,VisitID,Panel,Category,StreamName,VisitObjective,SideChannel,VisitYear,x_albers,y_albers,LON_DD,LAT_DD,Stream,Elev_M,Block,OwnerType,ValleyClass,Channel_Type,Strah,HUC4,HUC5,HUC6,LEVEL3_NM,LEVEL4_NM,CEC_L1,CEC_L2,Ppt,CUMDRAINAG,NatClass,DistClass,DistPrin1,NatPrin1,NatPrin2,MeanU,Metric #,ModelVersion,GenerationDate,SlowWater_Area,SlowWater_Ct,SlowWater_Vol,SlowWater_Pct,FstTurb_Area,FstTurb_Ct,FstTurb_Vol,FstTurb_Pct,FstNT_Area,FstNT_Ct,FstNT_Vol,FstNT_Pct,Grad,Sin,Lgth_Wet,Area_Wet,Area_Bf,WetVol,WetWdth_Int,DetrendElev_SD,BfWdthInt,DpthThlwg_UF_CV,BfVol,Lgth_WetChnl,WetBraid,Lgth_BfChnl,BfBraid,Wet_QIsland_Ct,Bf_QIsland_Ct,DpthWet_SD,BfWdth_CV,BfWdth_Avg,BfWDRat_CV,BfWDRat_Avg,WetWdth_CV,WetWdth_Avg,WetWDRat_CV,WetWDRat_Avg,DpthBf_Max,DpthBf_Avg,BfSCWdth,WetSCWdth,SlowWater_Freq,FstTurb_Freq,FstNT_Freq,DpthThlwg_Avg,PoolResidDpth,WetSCL_Area,SCSm_Area,WetSC_Pct,SCSm_Freq,SCSm_Ct,SCSm_Vol,Q,SubEmbed_Avg,SubEmbed_SD,SubD16,SubD50,SubD84,SubLT2,SubLT6,Cond,Alk,RipCovBigTree,RipCovConif,RipCovGrnd,RipCovNonWood,RipCovUstory,RipCovWood,LWVol_Wet,LWVol_Bf,LWVol_WetSlow,LWVol_BfSlow,LWVol_WetFstTurb,LWVol_WetFstNT,DriftBioMass,RipCovCanNone,Ucut_Area,SolarSummr_Avg,RipCovUstoryNone,RipCovGrndNone,SubEstGrvl,FishCovLW,SubEstSandFines,LWFreq_Wet,FishCovTVeg,FishCovArt,FishCovNone,LWFreq_Bf,FishCovAqVeg,SubEstBldr,SubEstCbl,FishCovTotal,UcutLgth_Pct,UcutArea_Pct,SC_Area,SC_Area_Pct,ChnlUnitTotal_Ct,LWVol_BfFstNT,RS_name,Geo_Cond,CU_Ct,CU_Freq
Methow,CBW05583-003113,2011-08-01,Terraqua Inc.,3,CHaMP 2011,2011-08-01,2011- Terraqua - Local Crew,Local Crew,Data Approved,Released to Public,1,Annual,Depositional-Private,Beaver Creek,Primary Visit,<none>,2011,NA,NA,-120.051478,48.387147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557637,0.0.4,NA,978.2638,7,270.7127,77.7043,280.6931,4,75.9799,22.2957,0,0,0,0,1.7374,1.2412,203.3467,1261.3277,1637.1105,346.6926,6.2028,0.4153,8.0402,0.3096,815.4554,203.3467,1,203.6164,1,0,0,0.164,0.187,8.0342,0.268,18.7547,0.2054,6.1851,0.4189,23.9063,1.5676,0.4645,NA,NA,3.4424,1.9671,0,0.4594,0.313,0,0,0,0,0,0,1.0483,NA,NA,2,28,170,8,13.0476,73.3,86,24.5,0,66.5,56.5,49.6,104.6,6.8565,14.3423,6.2072,11.1592,0.6493,0,4e-4,55,NA,28.4896,50.4,33.5,38.1489,6.2472,23.0345,12.786,24.7795,0,71.8078,29.998,NA,3.7351,35.0816,39.8037,0,0,0,0,11,0,ucv_lowSin_gravel/sand_bed,moderate,11,5.409480458743614
Methow,CBW05583-021449,2011-08-01,Terraqua Inc.,4,CHaMP 2011,2011-08-01,2011- Terraqua - Local Crew,Local Crew,Data Approved,Released to Public,3,Annual,Depositional-Private,Frazer Creek,Primary Visit,No,2011,NA,NA,-120.053208,48.33676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557638,0.0.4,NA,64.0894,1,27.2002,12.651,442.5083,2,155.7834,87.349,0,0,0,0,2.3964,1.0874,117.432,506.5728,763.2881,182.9836,4.3138,0.5171,6.5339,0.1928,345.8936,117.432,1,116.8188,1,0,0,0.185,0.3239,6.4763,0.4746,13.5467,0.3368,4.294,0.5091,15.8699,1.0219,0.468,NA,NA,0.8516,1.7031,0,0.55,0.3103,0,0,0,0,0,0,0.8098,NA,NA,2,56,250,29.2099,31.679,88.6,58,15,0,11.7,5.3,22.2,57.1,0.0611,1.1297,0,0.4001,0.0611,0,8e-4,71.5,NA,32.4989,77.8,88.3,15.7728,0.4912,28.0362,2.5547,0,0,93.2437,6.8125,NA,25,31.191,6.7563,0,0,0,0,3,0,cv_occ_floodplain_pockets,good,3,2.5546699366441854
Lemhi,CBW05583-035679,2011-07-04,Quantitative Consultants Inc,1,CHaMP 2011,2011-06-19,2011- Quantitative Consultants Inc - Local Crew,Local Crew,Data Approved,Released to Public,4,Annual,Agency-Public,Agency Creek,Primary Visit,No,2011,NA,NA,-113.527282,44.971717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557639,0.0.4,NA,359.436,8,128.7443,69.1262,37.2336,1,10.5592,7.1607,123.301,4,32.4006,23.7131,1.1441,1.4325,119.0079,501.377,562.0689,172.4523,4.213,0.8299,4.7322,0.293,178.9124,119.0079,1,118.7744,1,0,0,0.1592,0.2563,4.5782,0.3426,12.3778,0.2522,4.1099,0.4003,14.7098,1.1882,0.3323,NA,NA,6.7222,0.8403,3.3611,0.4459,0.3012,0,0,0,0,0,0,0.2364,NA,NA,2,16,38,44.5965,53.5138,NA,NA,5.1,5.75,87,53.5,32,71.6,0.3866,0.3866,0.2646,0.2646,0.0814,0.0407,0,93.9,NA,23.5853,68,13,73.6712,3.5663,19.5316,15.9653,40.4897,0,21.8033,15.9653,NA,0.1219,6.6753,52.0602,0,0,0,0,13,0.0407,pcv_lowSin_planControlled_dfp,good,13,10.923644564772589
John Day,CBW05583-032138,2011-07-06,Oregon Department of Fish and Wildlife,8,CHaMP 2011,2011-06-14,2011- ODFW - Local Crew  - John Day,Local Crew  - John Day,Data Approved,Released to Public,5,Rotating Panel 1,Greater John Day-Transport-Private,Mountain Creek,Primary Visit,No,2011,NA,NA,-119.908689,44.529774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557640,0.0.4,NA,88.4479,2,27.0048,7.8528,836.0342,5,97.2824,74.2266,201.8456,1,29.9753,17.9207,1.101,1.2052,198.1035,1131.3104,1856.4283,154.2625,5.7107,1.0351,9.4984,0.4482,831.8142,198.1035,1,195.4465,1,0,0,0.1044,0.1633,9.4503,0.2869,17.9823,0.3335,5.7028,0.4786,26.988,1.282,0.478,NA,NA,1.0096,2.5239,0.5048,0.2661,0.2773,0,0,0,0,0,0,0.2862,NA,NA,5,51,93,15.6667,20.6667,207,140,0,0,45.7,42.8,8.1,11,0.0204,0.0204,0,0,0.0204,0,0,100,NA,87.6327,91.9,54.3,42.776,0.0444,17.1498,0.5048,10.1508,0,86.7296,0.5048,NA,0.4136,17.508,14.5368,0,0,0,0,8,0,ucv_meandering_gravel_bed,poor,8,4.038293114457847
Methow,CBW05583-033561,2011-08-18,Terraqua Inc.,3,CHaMP 2011,2011-08-01,2011- Terraqua - Local Crew,Local Crew,Data Approved,Released to Public,6,Annual,Depositional-Public,Twisp River,Primary Visit,No,2011,NA,NA,-120.552797,48.449648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557641,0.0.4,NA,144.199,1,59.6829,5.8381,2325.7632,4,566.5829,94.1619,0,0,0,0,2.0546,1.1788,286.5675,2490.3232,3575.3626,626.7347,8.6902,0.3633,12.5408,0.3011,1714.0742,286.5675,1,285.0986,1,0,0,0.1375,0.3568,12.6378,0.4652,22.9023,0.2949,8.7081,0.4878,36.2028,1.3222,0.4932,NA,NA,0.349,1.3958,0,0.382,0.57,206.0749,0,8.3432,0,0,0,1.3559,NA,NA,22,72,157,2,8,49,52,23,42.25,72,18.8,54.8,136,5.018,7.9027,1.4638,1.4638,3.5542,0,0.0012,72,NA,39.7044,45.2,28,29.8536,5.4172,8.152,10.4687,21.4605,0,80.6748,15.0052,NA,13.2502,45.2762,32.1696,0,0,0,0,5,0,cv_occ_floodplain_pockets,good,5,1.7447896219913284
Lemhi,CBW05583-049615,2011-07-15,Quantitative Consultants Inc,1,CHaMP 2011,2011-06-19,2011- Quantitative Consultants Inc - Local Crew,Local Crew,Data Approved,Released to Public,7,Annual,Canyon-Public,Canyon Creek,Primary Visit,No,2011,NA,NA,-113.276001,44.732668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557642,0.0.4,NA,262.0883,6,87.7146,54.6721,96.732,2,27.2713,20.1785,120.5616,2,30.6626,25.1494,0.9408,1.6847,135.8194,479.3819,590.1685,145.6485,3.5296,0.384,4.4962,0.3108,233.6798,135.8194,1,131.2608,1,0,0,0.1313,0.1945,4.4758,0.2764,11.6318,0.1788,3.5484,0.3213,13.4987,1.0184,0.3952,NA,NA,4.4176,1.4725,1.4725,0.4202,0.3631,0,0,0,0,0,0,0.8804,NA,NA,4,34,88,7,11.5556,224,106,0,2.75,99.9,83.5,58.1,74.5,0.5715,0.5715,0.1714,0.1714,0,0.4001,6e-4,100,NA,61.6567,41.9,0.1,61.4625,0.7957,27.8668,2.2088,30.5983,0,66.0477,2.2088,NA,0.4216,10.249,37.7721,0,0,0,0,10,0.4001,ucv_meandering_gravel_bed,good,10,7.362718433449124
Lemhi,CBW05583-048847,2011-07-20,Quantitative Consultants Inc,1,CHaMP 2011,2011-06-19,2011- Quantitative Consultants Inc - Local Crew,Local Crew,Data Approved,Released to Public,8,Rotating Panel 1,Canyon-Private,Cruikshank Creek,Primary Visit,No,2011,-1352055.20672,2541794.03705,-113.20333,44.76067,Cruikshank Creek,2171.08,Rotating Panel 1 - Canyon,Private Lands,Source,Plane-bed,2,17060204,1706020405,170602040501,17,17e,6,6.2,4.73,24.95,MT - II.B.2,I.B.1,-1.12,-0.76,2.18,2.93,2557643,0.0.4,NA,124.6239,9,29.3113,29.0361,304.5795,10,77.3301,70.9639,0,0,0,0,2.6537,1.2857,126.0857,429.2032,632.9443,106.6414,3.4041,0.4087,5.2817,0.4701,266.5802,135.8273,1.0773,130.0091,1.0849,1,1,0.2366,0.4071,5.1858,0.6225,15.4423,0.437,3.2531,0.4447,11.5047,1.3498000000000001,0.4193,2.6968,1.8276,7.138,7.9311,0,0.3203,0.1595,11.9262,0,2.7787,0,0,0,0.2705,NA,NA,15,40,83,3.9359,10.3496,120,70,0,0,90.7,58.7,37.5,69.5,0.0204,0.0204,0.0204,0.0204,0,0,1e-4,100,NA,44.2218,62.5,9.3,74.6744,0.2225,6.7141,0.7931,35.7291,0,59.2464,0.7931,NA,0.6424,17.9691,40.7536,0,0,0,0,19,0,ucv_meandering_gravel_bed,good,19,15.069115688773588
Lemhi,CBW05583-043471,2011-07-13,Quantitative Consultants Inc,3,CHaMP 2011,2011-06-19,2011- Quantitative Consultants Inc - Local Crew,Local Crew,Data Approved,Released to Public,9,Rotating Panel 1,Hawley-Public,Hawley Creek,Primary Visit,No,2011,-1357740.63827,2531574.5351,-113.25075,44.66119,Hawley Creek,1926.38,Rotating Panel 1 - Hawley,Public Lands,Transport,Pool-riffle,3,17060204,1706020402,170602040202,17,17aa,6,6.2,3.35,114.931,MT - II.A.1.b,II.A.1,-0.32,0.37,1.93,12.27,2557644,0.0.4,NA,23.6759,1,5.7541,3.9028,261.6616,3,50.3939,43.1325,321.3079,3,57.9814,52.9647,1.3612,1.2222,136.4715,605.0968,852.2602,114.1295,4.4339,0.2797,6.4347,0.201,156.2925,136.4715,1,132.4485,1,0,0,0.1011,0.3458,6.4138,0.6284,27.6618,0.2433,4.286,0.3327,21.9008,0.5257,0.2032,NA,NA,0.7328,2.1983,2.1983,0.2906,0.1617,0,0,0,0,0,0,0.5515,NA,NA,1,2,60,17.2673,31.4228,260,120,0,0,65.5,26.6,45.6,84.5,0.3435,0.3435,0,0,0.2417,0.1017,2e-4,100,NA,91.5019,54.4,34.5,33.2537,0.9977,40.6807,9.5258,20.0712,0,78.5905,9.5258,NA,4.2863,21.7793,21.4095,0,0,0,0,7,0.1017,ucv_alluvial_fan,good,7,5.129276075957251
Wenatchee,CBW05583-060011,2011-07-11,Terraqua Inc.,1,CHaMP 2011,2011-07-11,2011- Terraqua - Local Crew,Local Crew,Data Approved,Released to Public,10,Rotating Panel 1,Transport-Private,Chumstick Creek,Primary Visit,No,2011,NA,NA,-120.639501,47.711295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557645,0.0.4,NA,115.7943,7,32.6396,32.6178,87.7806,4,12.5248,24.7267,151.4282,7,28.7875,42.6555,1.2121,1.1423,125.7714,355.0116,544.3791,73.9518,2.8227,0.4089,4.3056,0.3738,188.37,125.7714,1,126.4351,1,0,0,0.1376,0.2052,4.2989,0.3884,15.0303,0.2406,2.8061,0.5007,15.7028,0.9477,0.3228,NA,NA,5.5657,3.1804,5.5657,0.3255,0.2573,0,0,0,0,0,0,0.1849,NA,NA,1,7,20,28.4966,38.7722,281,161,14,1.9,60,50.3,41.9,85.5,3.1648,3.4621,1.2022,1.2022,0.9502,1.0124,1e-4,66.1,NA,10.2169,58.1,40,46.934,9.4087,41.7786,35.7792,25.2037,0.2168,61.7938,38.9596,NA,3.3407,7.9467,38.2062,0,0,0,0,18,1.2122,pcv_lowSin_planControlled_dfp,poor,18,14.311679761853648
Entiat,CBW05583-061099,2011-08-11,Terraqua Inc.,3,CHaMP 2011,2011-07-06,2011- Terraqua - Local Crew,Local Crew,Data Approved,Released to Public,11,Annual,Depositional-Public,Mad River,Primary Visit,No,2011,NA,NA,-120.400115,47.751515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557646,0.0.4,NA,227.2715,2,103.4789,9.6304,2132.6668,6,706.8993,90.3696,0,0,0,0,2.1253,1.0666,238.4117,2356.7915,2938.8827,810.3634,9.8854,0.6889,12.4939,0.3453,1572.652,238.4117,1,235.2262,1,0,0,0.1978,0.1585,12.4239,0.2903,19.15,0.1643,9.905,0.4604,29.3841,1.5264,0.5662,NA,NA,0.8389,2.5167,0,0.5576,0.5643,0,0,0,0,0,0,2,NA,NA,10,60,210,6,9.3333,68.7,44,5,10.5,26,17.6,22.1,41,3.8792,6.6984,1.0264,1.1867,2.8528,0,3e-4,89.5,NA,38.327,77.9,74,31.6774,4.7409,14.738,11.3249,6.0662,0,88.5075,26.0054,NA,21.3925,32.192,11.7191,0,0,0,0,8,0,cv_coarse_plane_bed,moderate,8,3.355540017541086
