,Keep,Recalculate
Watershed,Y,N
Site,Y,N
SampleDate,Y,N
Organization,Y,N
UseOrder,N,
Protocol,N,
HitchDate,N,
Hitch,N,
Crew,N,
VisitPhase,N,
VisitStatus,N,
VisitID,Y,N
Panel,N,
Category,Y,N
StreamName,Y,N
VisitObjective,N,
SideChannel,N,
VisitYear,Y,N
x_albers,N,
y_albers,N,
LON_DD,Y,N
LAT_DD,Y,N
Stream,N,
Elev_M,N,
Block,N,
OwnerType,N,
ValleyClass,Y,N
Channel_Type,Y,N
Strah,N,
HUC4,N,
HUC5,N,
HUC6,N,
LEVEL3_NM,N,
LEVEL4_NM,N,
CEC_L1,N,
CEC_L2,N,
Ppt,N,
CUMDRAINAG,Y,N
NatClass,N,
DistClass,N,
DistPrin1,Y,N
NatPrin1,Y,N
NatPrin2,Y,N
MeanU,Y,N
Metric #,N,
ModelVersion,N,
GenerationDate,N,
SlowWater_Area,Y,N
SlowWater_Ct,Y,N
SlowWater_Vol,Y,N
SlowWater_Pct,Y,N
FstTurb_Area,Y,N
FstTurb_Ct,Y,N
FstTurb_Vol,Y,N
FstTurb_Pct,Y,N
FstNT_Area,Y,N
FstNT_Ct,Y,N
FstNT_Vol,Y,N
FstNT_Pct,Y,N
Grad,Y,N
Sin,Y,N
Lgth_Wet,Y,N
Area_Wet,Y,N
Area_Bf,N,
WetVol,Y,N
WetWdth_Int,Y,N
DetrendElev_SD,N,
BfWdthInt,N,
DpthThlwg_UF_CV,N,
BfVol,N,
Lgth_WetChnl,N,
WetBraid,Y,N
Lgth_BfChnl,N,
BfBraid,N,
Wet_QIsland_Ct,N,
Bf_QIsland_Ct,N,
DpthWet_SD,Y,N
BfWdth_CV,N,
BfWdth_Avg,N,
BfWDRat_CV,N,
BfWDRat_Avg,N,
WetWdth_CV,Y,N
WetWdth_Avg,Y,N
WetWDRat_CV,N,
WetWDRat_Avg,N,
DpthBf_Max,N,
DpthBf_Avg,N,
BfSCWdth,N,
WetSCWdth,Y,N
SlowWater_Freq,Y,N
FstTurb_Freq,Y,N
FstNT_Freq,Y,N
DpthThlwg_Avg,Y,N
PoolResidDpth,Y,N
WetSCL_Area,Y,N
SCSm_Area,Y,N
WetSC_Pct,Y,N
SCSm_Freq,Y,N
SCSm_Ct,Y,N
SCSm_Vol,N,
Q,Y,N
SubEmbed_Avg,N,
SubEmbed_SD,N,
SubD16,Y,N
SubD50,Y,N
SubD84,Y,N
SubLT2,N,
SubLT6,N,
Cond,Y,N
Alk,N,
RipCovBigTree,N,
RipCovConif,N,
RipCovGrnd,N,
RipCovNonWood,N,
RipCovUstory,N,
RipCovWood,N,
LWVol_Wet,Y,Y
LWVol_Bf,N,N
LWVol_WetSlow,Y,Y
LWVol_BfSlow,N,N
LWVol_WetFstTurb,Y,Y
LWVol_WetFstNT,Y,Y
DriftBioMass,N,
RipCovCanNone,N,
Ucut_Area,Y,Y
SolarSummr_Avg,N,
RipCovUstoryNone,N,
RipCovGrndNone,N,
SubEstGrvl,Y,Y
FishCovLW,Y,N
SubEstSandFines,Y,Y
LWFreq_Wet,Y,Y
FishCovTVeg,Y,N
FishCovArt,Y,N
FishCovNone,Y,N
LWFreq_Bf,N,
FishCovAqVeg,Y,N
SubEstBldr,Y,Y
SubEstCbl,Y,Y
FishCovTotal,Y,N
UcutLgth_Pct,Y,Y
UcutArea_Pct,Y,Y
SC_Area,Y,N
SC_Area_Pct,Y,N
ChnlUnitTotal_Ct,Y,N
LWVol_BfFstNT,N,
RS_name,N,
Geo_Cond,N,
CU_Ct,Y,N
CU_Freq,Y,N
