ObjectID,GlobalID,Channel Unit Type,Off Channel Type,Notes,Width1,Width2,Width3,Width4,Width5,Average_width,Maximum Pool Depth (m),Channel Segment Number,Channel Unit Number,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
152,6a380996-061f-4479-8a02-c35c40fcb343,Pool,,,,,,,,,2.2,1,1,,,,,,,,,,,,20,50,30,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8103394,45.14405083
154,1932e735-b76d-4829-9543-6ee1415ce034,Pool,,,,,,,,,0.84,1,3,,,,,,,,,,,,20,50,30,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8099719,45.14429307
158,99dd595f-7a50-4eca-80fb-1e9d2470c3d0,Pool,,,,,,,,,0.85,1,7,,,,,,,,,,,,10,30,50,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8108767,45.14557065
160,5850f7f6-a12b-44ea-a77d-b1b418aed82b,Pool,,No pool depth,,,,,,,NA,1,9,,,,,,,,,,,,0,40,50,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8120399,45.14595827
162,b880be12-3545-49f0-b017-ef533c7af477,Pool,,,,,,,,,0.72,1,11,,,,,,,,,,,,0,60,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8131465,45.14728773
164,37215fb3-0ef0-404a-a9f4-ee20834c1f2c,Pool,,,,,,,,,0.85,1,13,,,,,,,,,,,,0,60,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8135571,45.14760445
165,970b2a05-274e-4975-ae18-6263caba7f3a,Pool,,,,,,,,,1.38,1,14,,,,,,,,,,,,20,60,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8137273,45.14764645
167,06fca540-dd0e-4ac1-9c7a-65944cc27ae3,Pool,,,,,,,,,1.15,1,16,,,,,,,,,,,,10,20,40,30,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8143533,45.14770313
171,b3ac653a-c937-409f-9998-2a654cb0a4ac,Pool,,,,,,,,,2.25,1,20,,,,,,,,,,,,40,30,30,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8141095,45.14841232
173,61256736-2ac3-4c3b-aecc-70699d6556ee,Pool,,No pool depth,,,,,,,NA,1,22,,,,,,,,,,,,10,40,40,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8137333,45.14874072
176,638e8ed0-6cb7-4824-be9a-4916b7314e9d,Pool,,,,,,,,,0.98,1,25,,,,,,,,,,,,0,20,70,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8134365,45.14922567
178,8cb9cc8e-c2c2-4518-bf13-788aeeb1132e,Pool,,,,,,,,,1.14,1,27,,,,,,,,,,,,20,30,30,20,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8133984,45.14993107
182,1f9f1d69-d66c-40ae-a79b-edf43a19e5fd,Pool,,,,,,,,,1.56,1,31,,,,,,,,,,,,30,20,20,30,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8136096,45.15161522
184,a88e6472-8f6a-41bb-9dec-5e205a993b93,Pool,,,,,,,,,1.37,1,33,,,,,,,,,,,,20,50,20,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.813214,45.1521664
186,b21efcba-62e5-48c8-ae5d-e71e8bdbd7ec,Pool,,,,,,,,,1.45,1,35,,,,,,,,,,,,60,20,10,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8133537,45.15271595
190,a5afef1c-4d71-473a-8a08-e6be8277454d,Pool,,,,,,,,,0.72,1,39,,,,,,,,,,,,20,20,50,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8182068,45.15614217
193,91b24798-8440-4d29-85e0-3e2ceefb2874,Pool,,,,,,,,,1.05,1,42,,,,,,,,,,,,30,30,30,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8187081,45.15656045
