"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"1","6a380996-061f-4479-8a02-c35c40fcb343","Pool","",1,1,"",2.2,0,6,4.9204016839605,6,4,6,1,4,3.6,NA,NA,20,50,30,0
"2","1932e735-b76d-4829-9543-6ee1415ce034","Pool","",3,1,"",0.84,0,9,7.56928265372454,6,4,5,0,0,0,NA,NA,20,50,30,0
"3","99dd595f-7a50-4eca-80fb-1e9d2470c3d0","Pool","",7,1,"",0.85,0,0,0,0,0,0,1,2.8,0.1008,NA,NA,10,30,50,10
"4","5850f7f6-a12b-44ea-a77d-b1b418aed82b","Pool","",9,1,"No pool depth",NA,0,0,0,0,0,0,0,0,0,NA,NA,0,40,50,10
"5","b880be12-3545-49f0-b017-ef533c7af477","Pool","",11,1,"",0.72,0,0,0,0,0,0,0,0,0,NA,NA,0,60,40,0
"6","37215fb3-0ef0-404a-a9f4-ee20834c1f2c","Pool","",13,1,"",0.85,0,3,3.05127186479909,2,3,3,1,6.4,48.64,NA,NA,0,60,40,0
"7","970b2a05-274e-4975-ae18-6263caba7f3a","Pool","",14,1,"",1.38,0,2,0.308378734876374,0,1,1,0,0,0,NA,NA,20,60,40,0
"8","06fca540-dd0e-4ac1-9c7a-65944cc27ae3","Pool","",16,1,"",1.15,0,2,2.75355098300002,2,1,1,0,0,0,NA,NA,10,20,40,30
"9","b3ac653a-c937-409f-9998-2a654cb0a4ac","Pool","",20,1,"",2.25,0,0,0,0,0,0,0,0,0,NA,NA,40,30,30,0
"10","61256736-2ac3-4c3b-aecc-70699d6556ee","Pool","",22,1,"No pool depth",NA,0,4,0.918849092331126,3,3,3,2,6.75,0.36375,NA,NA,10,40,40,10
"11","638e8ed0-6cb7-4824-be9a-4916b7314e9d","Pool","",25,1,"",0.98,0,0,0,0,0,0,1,7.8,1.233765,NA,NA,0,20,70,10
"12","8cb9cc8e-c2c2-4518-bf13-788aeeb1132e","Pool","",27,1,"",1.14,0,2,0.639573286399444,0,2,2,0,0,0,NA,NA,20,30,30,20
"13","1f9f1d69-d66c-40ae-a79b-edf43a19e5fd","Pool","",31,1,"",1.56,0,1,0.294940572300644,0,0,0,0,0,0,NA,NA,30,20,20,30
"14","a88e6472-8f6a-41bb-9dec-5e205a993b93","Pool","",33,1,"",1.37,0,0,0,0,0,0,0,0,0,NA,NA,20,50,20,10
