ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),LWD Information,reserved_name_for_field_list_labels_22,Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
10,51e9b23c-3ca5-4539-afb1-9a1ac1a99b44,1,13.5,0.3,,Y,Y,Y,Y,6a380996-061f-4479-8a02-c35c40fcb343,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
11,6a673052-c128-4b26-bb06-ecb86d84ec68,2,10,0.27,,Y,Y,Y,Y,6a380996-061f-4479-8a02-c35c40fcb343,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
12,ab3bd2c8-f90f-4672-9ac9-9f14ec7492fa,3,16.5,0.35,,Y,Y,Y,Y,6a380996-061f-4479-8a02-c35c40fcb343,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
13,877fa4d3-651b-40c1-8ca6-af8cbf9a77e8,4,18.1,0.35,,Y,Y,Y,Y,6a380996-061f-4479-8a02-c35c40fcb343,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
14,0e42f9ec-a909-4e56-9768-28312a6e88c3,5,1.5,0.15,,Y,Y,N,Y,6a380996-061f-4479-8a02-c35c40fcb343,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
15,40e67e07-a34b-480c-8034-236c8c59d950,6,1.5,0.18,,Y,Y,N,Y,6a380996-061f-4479-8a02-c35c40fcb343,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
16,16f459b1-a983-4f8b-8167-a13c3d684a30,1,7.8,0.18,,Y,N,N,N,3d10ba9d-a24a-4b7e-b43c-55501e9f6d8a,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
17,3befb772-cc15-4fd5-8e4e-182da54e5e90,2,1.9,0.19,,Y,N,N,N,3d10ba9d-a24a-4b7e-b43c-55501e9f6d8a,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
18,9a0b1d5d-3de4-4486-b25f-f2e316b11a4e,3,17,0.15,,Y,N,N,Y,3d10ba9d-a24a-4b7e-b43c-55501e9f6d8a,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
19,2d805d5e-2238-4e78-b708-bb9b0cf30534,1,4.6,0.27,,Y,N,N,N,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
20,e2d35594-c9ce-4758-bc6e-90b96a3607b4,2,10.1,0.19,,Y,Y,N,N,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
21,bf7945e5-5918-40bf-b987-6e040f6e2bfd,3,13,0.6,,Y,Y,Y,Y,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
22,0dcc1476-1087-427d-b3a4-8dace08d8978,4,9.8,0.18,,Y,N,N,Y,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
23,77c8a3f1-1121-454b-9f13-15436eac709d,5,4.5,0.3,,Y,Y,Y,Y,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
24,04834080-3926-41bf-ad5a-651ac3360339,6,1.5,0.3,,Y,Y,Y,Y,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
25,08da52e7-4ac8-4af1-98ef-8d97b198eee4,7,16.9,0.28,,Y,N,N,Y,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
26,269d6e67-67ef-444d-af01-62472b63296c,8,8.7,0.24,,Y,N,N,Y,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
27,5f4e2e0b-b234-4137-b1d2-af8cdee472fe,9,10.9,0.38,,Y,Y,Y,N,1932e735-b76d-4829-9543-6ee1415ce034,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org
