ObjectID,GlobalID,Channel Unit Type,Off Channel Type,Notes,Width1,Width2,Width3,Width4,Width5,Avg_width,Maximum Pool Depth (m),Channel Segment Number,Channel Unit Number,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
2,32d0d404-9fa1-41b3-8010-e9812f1c239b,Pool,,,,,,,,,0.83,1,2,,,,,,,,,,,,20,70,10,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9636547,44.61249283
3,52b2df49-5692-40ae-8bf9-77bd34f00249,Pool,,,,,,,,,0.82,1,3,,,,,,,,,,,,20,80,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9638535,44.61246423
4,02fab1c7-3f4a-49b8-9aa6-9c83a0362b08,Pool,,,,,,,,,1.1,1,4,,,,,,,,,,,,30,70,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9638882,44.6123706
6,faf658d4-1ace-49d0-b298-003823db1e69,Pool,,,,,,,,,1,1,6,,,,,,,,,,,,30,70,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9641763,44.61244487
8,36dfdb72-683d-4681-81cf-9aa4b8b82d46,Pool,,,,,,,,,0.68,1,8,,,,,,,,,,,,20,70,10,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9648827,44.61309853
11,987e6002-94d3-472a-be42-39f22a1c1c98,Pool,,,,,,,,,1.02,1,11,,,,,,,,,,,,10,90,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9652473,44.61346715
15,cbac7255-44ad-4b0e-8977-18590e9f4945,Pool,,,,,,,,,0.68,1,15,,,,,,,,,,,,20,80,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9654351,44.613345
16,c8f3039d-1be7-4f85-9098-16bbd4cbfd4d,Pool,,,,,,,,,0.75,1,16,,,,,,,,,,,,10,90,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.965673,44.61319928
18,c82b9b33-8a68-4c56-96de-b9c080786334,Pool,,,,,,,,,0.73,1,18,,,,,,,,,,,,10,80,10,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.965766,44.6135101
19,63f5770b-899e-41b1-9578-3eac91157b85,Pool,,,,,,,,,1.07,1,19,,,,,,,,,,,,50,50,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9658099,44.61351707
22,a3b3b281-6281-435d-b97f-83f0dc755f99,Pool,,,,,,,,,1.6,1,22,,,,,,,,,,,,20,80,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9671501,44.61449897
23,467a8acc-1841-4f23-a7fb-506ff7c3b75b,Pool,,,,,,,,,1.2,1,23,,,,,,,,,,,,10,70,20,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.967354,44.61441545
24,aec94b59-c012-497c-a753-c81e1be03956,Pool,,,,,,,,,1.5,1,24,,,,,,,,,,,,30,70,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9677344,44.61429212
26,574940fa-e7fa-41cc-aece-bbca63fdbc20,Pool,,,,,,,,,0.68,1,26,,,,,,,,,,,,30,70,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9680962,44.6144319
27,04b1988e-0f2e-402f-a0d2-a32dc2e773a5,Pool,,,,,,,,,0.74,1,32,,,,,,,,,,,,70,30,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.967912,44.61446903
29,37ce88d8-c2df-4106-bc20-1929092f845d,Pool,,,,,,,,,1.45,1,34,,,,,,,,,,,,70,30,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9676157,44.61494668
30,2e93a5f7-6c4d-476f-99f8-bf76a4045546,Pool,,,,,,,,,1.11,1,35,,,,,,,,,,,,40,60,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9676431,44.61505307
31,ec278125-63aa-4649-9185-8e2848b81cae,Pool,,,,,,,,,1.24,1,36,,,,,,,,,,,,70,30,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9681944,44.61508657
32,8474a838-b254-4c20-a5d0-a634de3cc38a,Pool,,,,,,,,,0.9,1,37,,,,,,,,,,,,50,50,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.9682424,44.61523862
34,e75dce72-b126-4b5f-94dc-c89fc5368834,Pool,,,,,,,,,0.88,1,39,,,,,,,,,,,,100,,,,0d1325cb-6d3c-417b-bdd9-dad987b0c04e,43316.94696,richie@qcinc.org,43316.94696,richie@qcinc.org,-113.968743,44.61549158
