"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"1","32d0d404-9fa1-41b3-8010-e9812f1c239b","Pool","",2,1,"",0.83,0,0,0,0,0,0,1,5.25,0.36792,NA,NA,20,70,10,NA
"2","52b2df49-5692-40ae-8bf9-77bd34f00249","Pool","",3,1,"",0.82,0,0,0,0,0,0,1,1.8,0.077517,NA,NA,20,80,NA,NA
"3","02fab1c7-3f4a-49b8-9aa6-9c83a0362b08","Pool","",4,1,"",1.1,0,0,0,0,0,0,1,7,0.336336,NA,NA,30,70,NA,NA
"4","faf658d4-1ace-49d0-b298-003823db1e69","Pool","",6,1,"",1,0,0,0,0,0,0,2,4.9,11.44559,NA,NA,30,70,NA,NA
"5","36dfdb72-683d-4681-81cf-9aa4b8b82d46","Pool","",8,1,"",0.68,0,0,0,0,0,0,0,0,0,NA,NA,20,70,10,NA
"6","987e6002-94d3-472a-be42-39f22a1c1c98","Pool","",11,1,"",1.02,0,0,0,0,0,0,1,3,0.135,NA,NA,10,90,NA,NA
"7","cbac7255-44ad-4b0e-8977-18590e9f4945","Pool","",15,1,"",0.68,0,0,0,0,0,0,1,3.2,0.0785664,NA,NA,20,80,NA,NA
"8","c8f3039d-1be7-4f85-9098-16bbd4cbfd4d","Pool","",16,1,"",0.75,0,0,0,0,0,0,0,0,0,NA,NA,10,90,NA,NA
"9","c82b9b33-8a68-4c56-96de-b9c080786334","Pool","",18,1,"",0.73,0,0,0,0,0,0,1,4.5,0.23328,NA,NA,10,80,10,NA
"10","63f5770b-899e-41b1-9578-3eac91157b85","Pool","",19,1,"",1.07,0,0,0,0,0,0,1,5.5,0.7986,NA,NA,50,50,NA,NA
"11","a3b3b281-6281-435d-b97f-83f0dc755f99","Pool","",22,1,"",1.6,0,0,0,0,0,0,0,0,0,NA,NA,20,80,NA,NA
"12","467a8acc-1841-4f23-a7fb-506ff7c3b75b","Pool","",23,1,"",1.2,0,0,0,0,0,0,1,7,1.407,NA,NA,10,70,20,NA
"13","aec94b59-c012-497c-a753-c81e1be03956","Pool","",24,1,"",1.5,0,0,0,0,0,0,2,5,0.47484,NA,NA,30,70,NA,NA
"14","574940fa-e7fa-41cc-aece-bbca63fdbc20","Pool","",26,1,"",0.68,0,0,0,0,0,0,1,2.5,0.060375,NA,NA,30,70,NA,NA
"15","04b1988e-0f2e-402f-a0d2-a32dc2e773a5","Pool","",32,1,"",0.74,0,0,0,0,0,0,1,4.8,0.4184256,NA,NA,70,30,NA,NA
"16","37ce88d8-c2df-4106-bc20-1929092f845d","Pool","",34,1,"",1.45,0,0,0,0,0,0,0,0,0,NA,NA,70,30,NA,NA
"17","2e93a5f7-6c4d-476f-99f8-bf76a4045546","Pool","",35,1,"",1.11,0,0,0,0,0,0,1,1.5,0.022275,NA,NA,40,60,NA,NA
"18","ec278125-63aa-4649-9185-8e2848b81cae","Pool","",36,1,"",1.24,0,0,0,0,0,0,1,6,0.29106,NA,NA,70,30,NA,NA
"19","8474a838-b254-4c20-a5d0-a634de3cc38a","Pool","",37,1,"",0.9,0,0,0,0,0,0,0,0,0,NA,NA,50,50,NA,NA
"20","e75dce72-b126-4b5f-94dc-c89fc5368834","Pool","",39,1,"",0.88,0,0,0,0,0,0,1,3.6,0.1026432,NA,NA,100,NA,NA,NA
"21","355d428e-d4c9-4b10-b6a3-41c359dc4a80","Pool","",105,1,"",1.45,0,0,0,0,0,0,0,0,0,NA,NA,50,30,20,NA
"22","71fb6156-a692-4a6a-b2b6-30bf842743eb","Pool","",103,1,"",1.55,0,1,0.318086256175967,0,1,1,0,0,0,NA,NA,30,60,10,NA
"23","8ab7dfda-4398-4bdb-9970-9550e67adbe0","Pool","",102,1,"",1.5,0,0,0,0,0,0,0,0,0,NA,NA,30,70,NA,NA
"24","4c208d32-37de-4e0f-a8a1-85c6f44854fe","Pool","",100,1,"",1.11,0,0,0,0,0,0,3,11.7,6.2647344,NA,NA,40,60,NA,NA
"25","f79ce27d-0b86-49fd-9c5f-6a112d206301","Pool","",98,1,"No pool depth",NA,0,0,0,0,0,0,1,2.5,0.0651775,NA,NA,30,70,NA,NA
"26","ce33c4e8-10a5-48b7-96f5-fe3d22902d37","Pool","",96,1,"",1.2,0,0,0,0,0,0,0,0,0,NA,NA,10,90,NA,NA
