ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
2,6760d8e0-2879-4e4c-9f5d-b8733b5de51c,1,Right_Bank,5.25,0.3,0.32,0.73,32d0d404-9fa1-41b3-8010-e9812f1c239b,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9638051,44.61252293
3,0e2b7e91-1998-4b1c-9500-141f452408e6,1,Right_Bank,1.8,0.27,0.55,0.29,52b2df49-5692-40ae-8bf9-77bd34f00249,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9638995,44.6124167
4,13f98f6c-7ec5-4f45-9cff-d8c776496d8a,1,Right_Bank,7,0.52,0.28,0.33,02fab1c7-3f4a-49b8-9aa6-9c83a0362b08,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9642527,44.61235475
5,3c358008-7853-48d2-a77c-662b585ba6b7,1,Right_Bank,1.2,0.29,0.25,0.57,faf658d4-1ace-49d0-b298-003823db1e69,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9642375,44.61261413
6,215c357a-4f82-480d-9717-ca8596803621,2,Right_Bank,3.7,0.22,25,0.56,faf658d4-1ace-49d0-b298-003823db1e69,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9640871,44.61263423
7,5f75bcb0-ec01-43c4-b68c-2042ec224f94,1,Right_Bank,3.6,0.33,0.78,0.24,075c8fd3-162a-4f3d-a72d-35dc2f09d527,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.965043,44.61347055
8,b336374f-8865-45b5-991d-ae54eee2ce22,1,Right_Bank,3,0.25,0.4,0.45,987e6002-94d3-472a-be42-39f22a1c1c98,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9654796,44.613404
9,a3808138-0975-45ec-8128-9f0b94cdf371,1,Left_Bank,3.2,0.22,0.31,0.36,cbac7255-44ad-4b0e-8977-18590e9f4945,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
10,c838e5be-ec7b-432b-972b-2d1ed658cfe1,1,Right_Bank,4.5,0.3,0.32,0.54,c82b9b33-8a68-4c56-96de-b9c080786334,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
11,d2ee0764-6146-4312-9509-143564a3d357,1,Left_Bank,5.5,0.6,0.55,0.44,63f5770b-899e-41b1-9578-3eac91157b85,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.966074,44.61359662
12,48e8968a-d37d-4e65-ba58-e1fc8c544724,1,Right_Bank,3,0.62,0.27,0.27,7784da04-9ddf-4f53-9c4e-766d6ddd0f95,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
13,6de748c2-1ec3-40ad-8f1c-fdd6bcc06c4b,1,Left_Bank,3.5,0.21,0.23,0.2,f8173795-f83c-4ded-a939-86c9b332c84e,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
14,0c25dd4c-d14e-4dbd-99c3-45adea30cc29,1,Left_Bank,7,0.5,0.67,0.6,467a8acc-1841-4f23-a7fb-506ff7c3b75b,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
15,fca15cd8-9771-4e25-b764-2f0fd3ff1743,1,Left_Bank,3,0.5,0.6,0.5,aec94b59-c012-497c-a753-c81e1be03956,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
16,f827a35a-0cf3-4d4b-b7b5-b5eb79ea204d,2,Left_Bank,2,0.23,0.27,0.2,aec94b59-c012-497c-a753-c81e1be03956,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,-113.9678248,44.61419713
17,612701a3-f1e2-41a1-ab3a-0927f90d5c1f,1,Left_Bank,4.3,0.27,0.47,0.21,1a8b57a9-0b39-4e6f-bf73-a39e52830325,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
18,42637a9f-46ce-4709-9c8a-3f122f8f6699,1,Left_Bank,2.5,0.23,0.35,0.3,574940fa-e7fa-41cc-aece-bbca63fdbc20,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
19,fddae5b8-1cd1-4f57-a82c-b1a0cb7aed16,1,Right_Bank,4.8,0.62,0.38,0.37,04b1988e-0f2e-402f-a0d2-a32dc2e773a5,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
20,a2e1c6ab-63d6-4a52-bfea-4526cf59f610,1,Right_Bank,1.5,0.22,0.25,0.27,2e93a5f7-6c4d-476f-99f8-bf76a4045546,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
21,5c3e0b48-1aa9-457a-94a0-0ea122055dab,1,Left_Bank,6,0.49,0.3,0.33,ec278125-63aa-4649-9185-8e2848b81cae,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
22,c82f911e-c7a5-4ef8-891e-ddfdf301de90,1,Left_Bank,3.6,0.22,0.48,0.27,e75dce72-b126-4b5f-94dc-c89fc5368834,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
23,6c78fb21-cd34-4c6e-a599-1a90a70644e6,1,Right_Bank,9,0.46,0.48,0.35,449c73a7-d7fa-4642-a630-aa78dcf263be,8/4/2018 22:43,richie@qcinc.org,8/4/2018 22:43,richie@qcinc.org,0,0
