ObjectID,GlobalID,Channel Unit Type,Off Channel Type,Notes,Width1,Width2,Width3,Width4,Width5,Avg_width,Maximum Pool Depth (m),Channel Segment Number,Channel Unit Number,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
16,a7efb484-5dce-4377-b1fc-2636bf229d3b,Off Channel,Oca,Dry,,,,,,,,1,16,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/22/2018 14:49,richie@qcinc.org,-113.3932651,44.70759928
72,e829c208-53db-45a6-b513-1a8844aaf644,Off Channel,Oca,No depth,,,,,,,,1,72,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3999421,44.7117197
84,a9663c2f-022d-462f-b300-c56d59d2672f,Off Channel,Oca,No depth,,,,,,,,1,84,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4016784,44.71142153
93,84e0b38c-a1bf-498f-a73d-e9e4de4b368a,Off Channel,Oca,No depth,,,,,,,,1,93,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4027228,44.7117299
110,69775a46-0838-4400-affb-d4814e36d8e8,Off Channel,Oca,No depth,,,,,,,,1,110,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4056596,44.7135283
13,3d475da3-be3d-44e5-9816-ba0b4baaa7e1,Off Channel,Pool,No pool depth,,,,,,,NA,4,13,,,,,,,,,,,,80,20,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3931388,44.70735215
46,0074b8fa-cfac-40fa-a7b3-9bd9fea86928,Off Channel,Pool,,,,,,,,0.72,10,46,,,,,,,,,,,,,100,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3973223,44.70923262
47,218f42d7-69a6-45ff-ae07-9b5142798380,Off Channel,Pool,,,,,,,,0.68,10,47,,,,,,,,,,,,10,80,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3974168,44.70934633
123,65fb1300-32c0-4f9e-8e0f-666c0c61a9df,Off Channel,Pool,No depth,,,,,,,0.5,19,123,,,,,,,,,,,,10,90,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4079822,44.71418097
25,68d99160-0e01-4a05-9e96-e5c2d201ea9f,Off Channel,Riffle,,,,,,,,,6,25,1.03,5.35,38.5,38.5,77,109,77,27.25,19.3,4.85,38.5,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3941359,44.7081728
121,230657f9-296c-4989-9b9f-818fa5ccad16,Off Channel,Riffle,,,,,,,,,18,121,19.3,38.5,38.5,38.5,27.25,27.25,27.25,9.65,5.35,19.3,54.5,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4078564,44.71370437
122,0fe7befd-d473-4a5f-a045-e54f7cfbafe2,Off Channel,Riffle,,,,,,,,,19,122,5.35,38.5,38.5,77,38.5,54.5,38.5,109,54.5,27.25,19.3,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.407997,44.71420568
128,91eb0a52-4fd6-437c-a471-13bb0d62649b,Off Channel,Riffle,,,,,,,,,21,128,27.25,13.65,27.25,77,38.5,54.5,27.25,109,27.25,54.5,54.5,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4084129,44.71506767
10,02f0fe82-7a38-46d0-bb66-c6adaceabe17,Off Channel,Ssc,,4,3.86,5.25,5.46,7,5.114,,2,10,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3931396,44.70716418
12,aa1b5a23-29df-4bf6-aba0-ecbf288caf8b,Off Channel,Ssc,Dry,0,0,0,0,0,0,,3,12,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3930538,44.70722262
18,ce079897-fb68-4f5a-8dc1-d7a4f54b457d,Off Channel,Ssc,,0.76,0.98,1.46,0.82,1.19,1.042,,5,19,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3930092,44.70765852
37,a81e7ae8-2329-4f4a-8e21-6fda56a50deb,Off Channel,Ssc,,3.8,3.4,3.8,3.5,3.2,3.54,,7,37,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.396248,44.708426
38,3087a2d7-51de-43a6-a6c3-710e76c85a52,Off Channel,Ssc,,2.6,5.2,5.8,5.1,3.8,4.5,,8,38,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3963349,44.70836347
42,f8ed88de-a5d3-4926-b9ea-5159f25ddfb4,Off Channel,Ssc,,3.7,4.6,4.5,4.6,4.5,4.38,,9,42,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3968854,44.70874088
54,a946b77f-2adb-4c12-81d8-1355b1268abd,Off Channel,Ssc,,4.8,4.7,5.3,4.6,5.5,4.98,,11,54,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3991802,44.70944102
62,76f2bc60-9df0-4cf7-b4f0-3aea14a416d8,Off Channel,Ssc,,4.2,3.1,3.28,2.9,2.8,3.256,,12,62,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3988257,44.71030148
68,dc567f77-33e1-4b4e-b437-824981e1a3fe,Off Channel,Ssc,,5.8,3.8,4.5,4.6,3.9,4.52,,13,68,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3998611,44.71094465
77,16949a45-95ce-4d4f-9f6c-0ba12e643045,Off Channel,Ssc,,4.8,4,3,2.76,3.1,3.532,,14,77,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4008156,44.7114516
105,43d905d6-b1f9-4d51-a2b9-c078258be712,Off Channel,Ssc,,3.9,3,3.5,4.1,3.6,3.62,,15,106,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.404848,44.71325827
115,949be340-59b0-48e5-a74a-369a013dce7d,Off Channel,Ssc,,6,3.7,3.1,5,7.5,5.06,,16,115,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4064378,44.71359618
116,eb9f78b1-a033-4c90-8be4-bdc52558720f,Off Channel,Ssc,,0.4,2.2,1.8,1.3,1.6,1.46,,17,116,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4069225,44.71342818
127,50792199-f9f7-4671-8bb7-e80cd6066525,Off Channel,Ssc,,2.4,1.9,1.2,1,0.7,1.44,,20,127,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4085593,44.71477192
3,137cbbad-27e2-4769-88c9-872ebd04ec26,Pool,,,,,,,,,0.53,1,3,,,,,,,,,,,,20,60,40,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3929594,44.70575475
5,759be84a-4464-43b0-8939-7e4a807bf3b2,Pool,,,,,,,,,0.72,1,5,,,,,,,,,,,,10,60,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3924998,44.70646015
6,f2f996ce-5e36-4a18-b15b-1d6be27249a4,Pool,,,,,,,,,0.48,1,6,,,,,,,,,,,,10,60,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3925523,44.70645915
8,bb8da82f-095c-45f3-a079-2aedd3f3b103,Pool,,,,,,,,,1.7,1,8,,,,,,,,,,,,30,60,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3925949,44.70697845
11,fc7a3e6d-876b-4fd9-a268-e519173151e4,Pool,,,,,,,,,1.14,1,11,,,,,,,,,,,,30,70,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3931385,44.707166
