ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
2,3dd5db10-4857-41ec-98e1-ea359decef56,1,Right_Bank,7,0.32,0.21,0.24,759be84a-4464-43b0-8939-7e4a807bf3b2,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
4,a56e4c1c-9612-45b3-9e77-d0ff2be86a6e,1,Right_Bank,4,0.38,0.2,0.21,ef9b5df8-09f1-4727-b570-ea808fe98df0,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
5,edf8d7e3-a583-495f-88e6-e0e56f2de564,1,Right_Bank,3,0.33,0.2,0.25,c0524d07-39da-4371-8f44-cdf6af4344e6,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
6,cc2fc304-2c35-4a44-86a2-ee9714e4e659,2,Right_Bank,2.5,0.4,0.25,0.21,c0524d07-39da-4371-8f44-cdf6af4344e6,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3929681,44.70724837
7,0b75529f-d153-46ed-add6-62f88097c6ae,1,Right_Bank,2,0.2,0.4,0.2,3d475da3-be3d-44e5-9816-ba0b4baaa7e1,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
8,9800c356-6fc2-4298-890f-ef3d8642b8e1,1,Left_Bank,3.4,0.4,0.3,0.4,7db5b8c9-f15b-4d71-9a82-fa9a18bb9b75,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
9,a8e430a3-ce0d-4d1b-8e60-97059651b8ab,1,Left_Bank,7,0.66,0.87,0.55,542e6eb5-7bef-421a-8d3a-12b1c7928046,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
10,cf9fd36a-6157-4b3a-9282-da77e5fc2c64,1,Right_Bank,3.8,0.36,0.61,0.25,29601c58-c709-4e8e-81a1-82c8bc9633e7,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
11,81e08288-d40b-45de-8450-4db4488f2b1a,1,Left_Bank,2.5,0.2,0.2,0.38,d43bc89f-9139-4b37-86ba-13feca189c94,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
12,f85884be-0bc1-4cfe-8f15-8da0f8189deb,1,Left_Bank,1.5,0.2,0.28,0.45,cbe490e7-f47f-4393-ba34-12dabc44b5b8,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
13,c80b232a-f4b4-4091-ae91-26aa41e64e3a,1,Right_Bank,2.2,0.37,0.39,0.2,dfe1aa72-e5b1-4fc4-9e9f-4bd762c6a966,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
14,0d99b0f4-e38c-456c-8fc1-1d48e824c228,2,Right_Bank,4,0.5,0.51,0.37,dfe1aa72-e5b1-4fc4-9e9f-4bd762c6a966,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3978697,44.70928078
15,12dfbde6-f383-4806-99fe-ae55d30b345e,1,Right_Bank,7.15,0.29,0.38,0.27,5def7229-f7a9-4ad2-ae70-1abbb37fd21f,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
16,4b5eb909-671a-487c-9777-0ed8c360fd92,1,Right_Bank,12,0.28,0.35,0.27,489e5490-2154-4777-852c-f105d7d0c065,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,0,0
