ObjectID,GlobalID,Channel Unit Type,Off Channel Type,Notes,Width1,Width2,Width3,Width4,Width5,Avg_width,Maximum Pool Depth (m),Channel Segment Number,Channel Unit Number,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
227,0cc6c7b2-0872-4081-9e05-7a11c95bad90,Off Channel,Ssc,dry,9.7,5.1,2.6,3.2,3.5,4.82,,2,2,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.850559,44.06078708
229,ebda2578-dc9e-41a8-ad92-556553318d01,Off Channel,Ssc,,4.4,4.2,2.85,3.5,3.6,3.71,,3,3,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8509382,44.06086655
232,d20423c3-dfe6-4ff3-b023-d3e0a5f8962d,Off Channel,Ssc,dry,2.5,2.4,4.1,1.4,6.4,3.36,,4,6,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.851758,44.0622898
238,ba617c2b-3334-4b1a-bd41-455245ebba8b,Off Channel,Ssc,,4,4.1,5.5,7,9.1,5.94,,7,11,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8529726,44.06357598
240,c1e4d93d-ac4d-4027-8714-5d738cc67800,Off Channel,Ssc,dry,6.3,4.2,0.65,2,4.4,3.51,,8,14,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8537753,44.0642277
246,e97cb41e-4d78-40fe-a7bf-e95f9d94a7bb,Off Channel,Oca,,,,,,,,0.4,1,19,,,,,,,,,,,,70,30,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8559985,44.06538265
247,55f0f674-e2f1-4a72-aaa9-f1f8ce42baaa,Off Channel,Ssc,,0.5,0.8,1,0.6,1,0.78,,10,20,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8558273,44.06553942
255,19992071-eb14-49e1-ba39-0aebcce4b7b6,Off Channel,Ssc,dry,2.7,4.75,4.7,3.4,3.58,3.826,,12,28,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.857626,44.0677918
261,da5477c1-0ed7-480e-b64c-34cbe6ca7a9b,Off Channel,Oca,disconnected,,,,,,,,1,33,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8583867,44.06946458
263,25db6e63-b49c-42a9-aeb9-baae19bdf6fe,Off Channel,Ssc,,2.2,3.1,3.3,5,4.1,3.54,,11,35,,,,,,,,,,,,,,,,d68a7393-ce19-488d-a2e7-597c805d5afc,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8584847,44.06958372
