"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"1","0cc6c7b2-0872-4081-9e05-7a11c95bad90","Off Channel","Ssc",2,2,"dry",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"2","ebda2578-dc9e-41a8-ad92-556553318d01","Off Channel","Ssc",3,3,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"3","d20423c3-dfe6-4ff3-b023-d3e0a5f8962d","Off Channel","Ssc",6,4,"dry",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"4","ba617c2b-3334-4b1a-bd41-455245ebba8b","Off Channel","Ssc",11,7,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"5","c1e4d93d-ac4d-4027-8714-5d738cc67800","Off Channel","Ssc",14,8,"dry",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"6","e97cb41e-4d78-40fe-a7bf-e95f9d94a7bb","Off Channel","Oca",19,1,"",0.4,0,0,0,0,0,0,0,0,0,NA,NA,70,30,NA,NA
"7","55f0f674-e2f1-4a72-aaa9-f1f8ce42baaa","Off Channel","Ssc",20,10,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"8","19992071-eb14-49e1-ba39-0aebcce4b7b6","Off Channel","Ssc",28,12,"dry",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"9","da5477c1-0ed7-480e-b64c-34cbe6ca7a9b","Off Channel","Oca",33,1,"disconnected",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"10","25db6e63-b49c-42a9-aeb9-baae19bdf6fe","Off Channel","Ssc",35,11,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"11","af8ede7e-1437-4b0d-86b9-3c7e21193d1f","Off Channel","Ssc",38,13,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"12","9462d705-3410-4076-9010-a0449a4f398a","Off Channel","Ssc",41,14,"",NA,0,0,0,0,0,0,1,3.9,0.4368,NA,NA,NA,NA,NA,NA
"13","0a033f8c-e66f-4f55-884a-6aeb20b2aec5","Off Channel","Ssc",43,15,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"14","101544c2-7244-4ff8-b214-b7c5de4632ec","Off Channel","Ssc",44,16,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"15","705f9ee8-550b-4d8d-a7ea-2f231b4b8f5e","Off Channel","Ssc",47,20,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"16","926da5ba-9c13-4a9b-a663-4e41186ee2a4","Off Channel","Oca",51,1,"dry",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"17","d504c6ea-1f57-4623-b2ec-85892f0d2d65","Off Channel","Ssc",58,17,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"18","581c1345-3860-4484-921d-dc1b1f890228","Off Channel","Ssc",62,18,"disconnected at the bottom",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"19","a30c4af3-4891-41ae-80ae-3cca624b9855","Off Channel","Oca",63,1,"",0.51,0,0,0,0,0,0,0,0,0,NA,NA,90,NA,NA,10
"20","6fb755af-ae57-4932-8115-e827cfb804d0","Off Channel","Ssc",64,19,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"21","98726c8d-cf2a-4a8c-ad18-ab326aaccf0f","Off Channel","Ssc",66,9,"Check number is correct",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"22","c211c019-844b-437a-8a13-351e4a48e71e","Pool","",4,1,"No pool depth",NA,0,1,0.691150383789755,1,1,1,1,3.2,0.0512,NA,NA,20,30,40,10
"23","e47b95ac-df0b-4576-9d6e-69e02ccf17ee","Pool","",7,5,"",0.92,0,0,0,0,0,0,1,2.9,0.0696,NA,NA,20,20,60,NA
"24","66b6166f-1d71-4265-a4ae-0ce20b0a3ec2","Pool","",8,5,"",0.58,0,0,0,0,0,0,1,11,0.132,NA,NA,20,20,60,NA
"25","0a8f10f0-eaba-4693-9146-0ea1df067766","Pool","",12,6,"",0.69,0,0,0,0,0,0,2,4.7,0.1272,NA,NA,NA,NA,NA,NA
"26","355d500e-b3e6-4434-8424-eb1212af3fd9","Pool","",15,1,"",0.8,0,0,0,0,0,0,3,11.7,1.1481,NA,NA,NA,NA,NA,NA
"27","8e4c12aa-9f4b-49f6-8f9d-1955c6669182","Pool","",17,1,"",0.8,0,0,0,0,0,0,2,10.1,0.483,NA,NA,30,40,30,NA
"28","3bb22883-8f38-4c69-afd0-dbe0e002424c","Pool","",21,1,"",2.1,0,0,0,0,0,0,1,5,0.135,NA,NA,10,60,30,NA
"29","bd5257e3-20d9-4e20-9002-4692ef2faed7","Pool","",24,1,"",1,0,0,0,0,0,0,2,13.8,1.575,NA,NA,40,30,30,NA
"30","5afb6906-49d7-464f-849e-50c4697fb4b9","Pool","",26,1,"",1.3,0,0,0,0,0,0,0,0,0,NA,NA,20,20,50,10
"31","199369d7-dce6-4fe7-a30a-e7b669c873cf","Pool","",31,1,"No pool depth",NA,0,0,0,0,0,0,3,14.4,1.281,NA,NA,20,40,40,NA
"32","44e834a7-9596-4c5b-8990-480ffcbf05ef","Pool","",34,1,"",1.25,0,0,0,0,0,0,1,3.5,0.105,NA,NA,10,40,50,NA
"33","fabe58f0-f3fb-49a5-8569-525963d08b4b","Pool","",36,1,"",1.5,0,1,0.0522054159210284,0,0,1,2,6.5,0.5292,NA,NA,10,40,50,NA
"34","73a15155-93cf-437d-8e4e-4534512686d8","Pool","",37,1,"",1.3,0,0,0,0,0,0,3,12,1.383,NA,NA,10,30,50,10
"35","14f02c07-c8ce-482e-b816-5a344502e5b0","Pool","",42,1,"",1.6,0,0,0,0,0,0,2,10.5,0.528,NA,NA,20,20,60,NA
"36","7ec7ac86-1936-49f3-bb49-3553e15019f1","Pool","",46,1,"",1.6,0,0,0,0,0,0,1,8.5,2.856,NA,NA,10,50,40,NA
"37","a5fc0979-7bd0-46a7-94c0-31d26e9ed985","Pool","",49,1,"",0.94,0,0,0,0,0,0,0,0,0,NA,NA,20,40,40,NA
"38","45e55332-e33b-4f17-b329-80bac319667b","Pool","",52,1,"",1.03,0,0,0,0,0,0,2,6.8,0.15552,NA,NA,20,30,50,NA
"39","dd9cf989-e81d-4963-bf09-d43134352061","Pool","",54,1,"No pool depth",NA,0,0,0,0,0,0,2,34.2,31.9459,NA,NA,20,40,40,NA
"40","17d08880-790f-4f5f-9d26-90fc56818120","Pool","",56,1,"",1.08,0,0,0,0,0,0,5,38.5,3.5193,NA,NA,NA,30,70,NA
"41","75abe9d2-938d-47b1-8f74-288fa1943d83","Pool","",57,1,"",1.7,0,0,0,0,0,0,3,8.9,0.239,NA,NA,NA,NA,NA,NA
"42","9a2f0a53-f51d-4ddb-adaa-7be20b2b8418","Pool","",59,1,"",1.5,0,0,0,0,0,0,3,20.2,2.8608,NA,NA,20,40,40,NA
"43","ca0c2db5-1d61-4ece-9f06-40c15a39fbdc","Pool","",60,1,"",1.1,0,0,0,0,0,0,1,30,2.4,NA,NA,NA,60,40,NA
"44","4157886d-171f-4fcf-9935-ae14b2f99bdb","Riffle","",1,1,"",NA,0,1,0.816814089933346,0,0,0,3,13.2,0.3749,54.5,109,NA,NA,NA,NA
"45","ea53799d-f4a3-41ba-b427-2e351fd7914c","Riffle","",5,1,"",NA,0,0,0,0,0,0,1,12.5,0.5,54.5,109,NA,NA,NA,NA
"46","33d6c4b7-1b89-45bf-83f3-b1048f7886da","Riffle","",9,5,"",NA,0,0,0,0,0,0,1,1.8,0.0504,54.5,109,NA,NA,NA,NA
"47","260e811f-b98d-4885-b649-c66cf4b5d0e9","Riffle","",10,6,"",NA,0,0,0,0,0,0,1,7.5,0.675,54.5,109,NA,NA,NA,NA
"48","50c2f0d4-6d5b-4db2-a34a-191bf618c6c2","Riffle","",13,6,"",NA,0,0,0,0,0,0,0,0,0,54.5,109,NA,NA,NA,NA
"49","d6a177ed-2d8e-476b-bb17-d3841d569067","Riffle","",16,1,"",NA,0,0,0,0,0,0,3,10.8,0.789,54.5,109,NA,NA,NA,NA
"50","bc055618-744d-49a8-b2dd-0dde1d6f0713","Riffle","",18,1,"",NA,0,0,0,0,0,0,0,0,0,54.5,109,NA,NA,NA,NA
"51","354b0c6c-4994-4bdb-b80d-3d4fd81ce085","Riffle","",22,1,"",NA,0,0,0,0,0,0,0,0,0,54.5,109,NA,NA,NA,NA
"52","8bfeecc3-e04a-4996-a837-ac03e3ed44b7","Riffle","",23,1,"",NA,0,0,0,0,0,0,1,2.1,0.0504,54.5,109,NA,NA,NA,NA
"53","36173552-390e-4f16-b3a3-68a0aae8ee06","Riffle","",25,1,"",NA,0,0,0,0,0,0,0,0,0,54.5,109,NA,NA,NA,NA
"54","2e0da97f-210a-4330-a80d-3be573d6cb70","Riffle","",27,1,"",NA,0,0,0,0,0,0,1,5,0.825,109,154,NA,NA,NA,NA
"55","d3e9b406-14ae-4eb0-90e0-045f11a8fe7c","Riffle","",30,1,"",NA,0,0,0,0,0,0,0,0,0,109,154,NA,NA,NA,NA
"56","0574fea2-18d3-4524-b5b1-43c5ba26c9e5","Riffle","",32,1,"",NA,0,0,0,0,0,0,2,7.3,0.7056,109,154,NA,NA,NA,NA
"57","c5518d91-42cc-4774-9bf1-bda22e71e31a","Riffle","",40,1,"",NA,0,0,0,0,0,0,5,21.6,0.8556,109,154,NA,NA,NA,NA
"58","a1b268b9-69f2-4ede-84b3-044d57def3e5","Riffle","",45,1,"",NA,0,0,0,0,0,0,0,0,0,109,154,NA,NA,NA,NA
"59","84728a4b-ac5f-4297-9e27-4703acebe6a6","Riffle","",48,1,"",NA,0,0,0,0,0,0,2,5.5,0.405,109,154,NA,NA,NA,NA
"60","188d9776-73b5-4304-b89d-11ca4677d891","Riffle","",50,1,"",NA,0,0,0,0,0,0,3,10,0.8845,109,154,NA,NA,NA,NA
"61","f5f699f4-f546-451f-8922-61c2dfa75119","Riffle","",53,1,"",NA,0,0,0,0,0,0,5,27.2,2.1016,109,154,NA,NA,NA,NA
"62","7ec0d75d-3edc-4e96-ab83-12fde0e9eb90","Riffle","",55,1,"",NA,0,0,0,0,0,0,8,56.3,7.2196,109,154,NA,NA,NA,NA
"63","6971e03c-c142-4a82-97ba-b14fd82ad7aa","Riffle","",61,1,"",NA,0,0,0,0,0,0,13,57.2,5.9908,109,154,NA,NA,NA,NA
"64","d62a8d05-1351-40e4-b26b-15b470ec13c0","Run","",29,1,"",NA,0,0,0,0,0,0,2,4,0.17875,NA,NA,10,30,60,NA
"65","8bbba443-f973-4b63-b28d-8c5ce4401fc3","Run","",39,1,"",NA,0,0,0,0,0,0,1,5,0.2,NA,NA,NA,40,60,NA
