ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
71,716a5a15-49a1-4af8-91ad-fef87df0655d,1,Left_Bank,2.7,0.35,0.3,0.2,4157886d-171f-4fcf-9935-ae14b2f99bdb,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
72,a89d0cdc-15ec-42a6-a111-53a286666b50,2,Left_Bank,2.3,0.2,0.25,0.2,4157886d-171f-4fcf-9935-ae14b2f99bdb,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8514699,44.06110083
73,b36fa1cb-69b3-450a-8f3d-22d6913f6570,3,Left_Bank,8.2,0.4,0.3,0.3,4157886d-171f-4fcf-9935-ae14b2f99bdb,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8515096,44.0612504
74,8a7bc19b-9a47-4fdd-9789-715122dce5c7,1,Left_Bank,3.2,0.2,0.32,0.25,c211c019-844b-437a-8a13-351e4a48e71e,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
75,44ff1c43-0612-4df2-aeb0-f39cb82e70ed,1,Island,12.5,0.2,0.5,0.4,ea53799d-f4a3-41ba-b427-2e351fd7914c,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
76,31691308-969b-42d4-854f-839d6829177e,1,Island,2.9,0.2,0.4,0.3,e47b95ac-df0b-4576-9d6e-69e02ccf17ee,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
77,d7e0c246-6463-48a6-8cb6-7dc53715835e,1,Island,11,0.2,0.3,0.2,66b6166f-1d71-4265-a4ae-0ce20b0a3ec2,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
78,f92c1f2b-ce39-4b33-aa42-04707fd27a4a,1,Left_Bank,7.5,0.4,0.45,0.5,260e811f-b98d-4885-b649-c66cf4b5d0e9,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
79,612e699e-5d04-4724-af1c-d32c664b54f9,1,Left_Bank,1.5,0.2,0.2,0.2,0a8f10f0-eaba-4693-9146-0ea1df067766,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
80,14054715-3f4a-4597-98f7-41aebfb728a1,2,Left_Bank,3.2,0.3,0.6,0.2,0a8f10f0-eaba-4693-9146-0ea1df067766,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8531157,44.06347133
81,39b35919-860b-4aae-971f-9547afc8622f,1,Right_Bank,1.8,0.35,0.4,0.2,33d6c4b7-1b89-45bf-83f3-b1048f7886da,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
82,e1603ba8-2c0e-435d-84db-65bfa04e7edf,1,Left_Bank,4.3,0.7,0.45,0.6,355d500e-b3e6-4434-8424-eb1212af3fd9,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
83,2ca5a891-a6d0-44f3-b068-b1666cf5e218,2,Left_Bank,1.2,0.25,0.5,0.5,355d500e-b3e6-4434-8424-eb1212af3fd9,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8546796,44.06413902
84,41ff1144-466c-4218-8d68-c6200c01deaa,3,Left_Bank,6.2,0.35,0.2,0.6,355d500e-b3e6-4434-8424-eb1212af3fd9,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8547566,44.06417613
85,9b70f48e-ccd7-4e79-b403-fed19d5b7c0d,1,Island,4,0.55,0.5,0.4,d6a177ed-2d8e-476b-bb17-d3841d569067,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
86,d757dc51-2278-4a93-ac7e-0f187a53f6ff,2,Island,3,0.3,0.6,0.4,d6a177ed-2d8e-476b-bb17-d3841d569067,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8552552,44.06459863
87,e93ebc5a-0dce-41ce-8041-91f742692636,3,Island,3.8,0.25,0.4,0.35,d6a177ed-2d8e-476b-bb17-d3841d569067,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8552897,44.06479392
88,8367afde-ec24-4ba4-9555-4f191d4a4048,1,Right_Bank,2.1,0.5,0.9,0.2,8e4c12aa-9f4b-49f6-8f9d-1955c6669182,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
89,9266ce38-9a31-416c-99cc-5ff65d6ab75f,2,Right_Bank,8,0.42,0.35,0.25,8e4c12aa-9f4b-49f6-8f9d-1955c6669182,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8552525,44.0652598
90,e6f78fdb-eea0-4f59-be98-60f5352ece91,1,Island,5,0.3,0.3,0.3,3bb22883-8f38-4c69-afd0-dbe0e002424c,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
91,0fe90050-800b-4641-a71d-a3fd601a74b2,1,Left_Bank,2.1,0.4,0.3,0.2,8bfeecc3-e04a-4996-a837-ac03e3ed44b7,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
92,5c3d27ba-d752-48f6-9b00-f9801fce2ce2,1,Right_Bank,12,0.5,0.65,0.3,bd5257e3-20d9-4e20-9002-4692ef2faed7,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
93,ef34403a-7a72-4934-a1a5-93520c1a4a27,2,Right_Bank,1.8,0.6,0.75,0.5,bd5257e3-20d9-4e20-9002-4692ef2faed7,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8570015,44.06624723
94,3256f434-6bc2-402f-b2e7-4620d9ff842d,1,,5,0.5,0.55,0.6,2e0da97f-210a-4330-a80d-3be573d6cb70,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
95,d109f2a5-a538-4526-ac07-c2184323ad43,1,Right_Bank,2,0.45,0.5,0.255,d62a8d05-1351-40e4-b26b-15b470ec13c0,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
96,b5a70c10-beb7-4d4e-826a-169956d3d259,2,Right_Bank,2,0.4,0.4,0.2,d62a8d05-1351-40e4-b26b-15b470ec13c0,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,-114.8576792,44.0681028
97,f17ac777-ba35-42dd-9ca7-444335697add,1,Island,5,0.6,0.5,0.3,199369d7-dce6-4fe7-a30a-e7b669c873cf,9/10/2018 14:41,richie@qcinc.org,9/10/2018 14:41,richie@qcinc.org,0,0
