ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,87eb0b35-1d63-4d43-aa6d-5d23ae0e6273,Pool,1,1,0.35,,,,10,,90,20,30,40,10,,,,,,,,,,,,0.91,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
2,6f94d597-3125-4f07-b0a0-89ac521e53b3,Run,2,1,0.42,,10,,10,,90,20,30,30,20,,,,,,,,,,,,0.7,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
3,457b3aad-b780-4d92-a180-c4977ba92880,Riffle,3,1,0.48,,10,,10,,80,,,,,38.5,9.65,27.3,19.3,54.5,309,109,54.5,154,218,54.5,0.74,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
4,78a83bbd-de51-4b27-a38b-2b9a4db58c2f,OCA,4,1,0.33,,,,50,,50,10,30,20,40,,,,,,,,,,,,0.64,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
5,a47fbc1f-72fb-4a00-91fa-64f612d19ea6,Pool,5,1,0.44,,,,,,100,20,20,30,30,,,,,,,,,,,,0.83,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
6,f52a3a17-3c7a-45f7-b865-62d6dc0b6e1d,Rapid+,6,1,0.42,,,,10,,90,10,10,40,40,,,,,,,,,,,,0.63,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
7,73230ae7-b15f-482e-825e-a97f76331e6d,Pool,7,1,0.43,,,,30,,70,10,20,40,30,,,,,,,,,,,,0.74,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
8,4a23083a-f04d-4cb9-a194-c69c02f43fe0,Riffle,8,1,0.4,,10,,,,90,,,,,0.06,0.06,154,54.5,27.3,38.5,154,77,218,54.5,27.3,0.51,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
9,d4473d9c-a178-4df6-b391-6579b1741df7,Pool,9,1,0.48,,,,40,,60,20,30,30,20,,,,,,,,,,,,0.84,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
10,86ae742b-0830-430a-a40f-4edad4fc98ae,Pool,10,1,0.32,,10,,,,90,40,20,20,20,,,,,,,,,,,,1.4,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
11,a45e235a-9653-4d71-834b-98e0c66d5d54,Riffle,11,1,0.37,,10,,30,,70,30,30,30,10,,,,,,,,,,,,1.05,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
12,0f9bb820-ad11-472a-b9b1-9fa9bfb18f0e,Pool,12,1,0.36,,10,,,,90,30,30,30,10,,,,,,,,,,,,1.08,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
13,dfd71843-21f2-41a6-b1ce-3edea3f377ac,Run,13,1,0.3,,10,,,,90,30,40,20,10,,,,,,,,,,,,0.58,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
14,e9c0696f-4992-4c8f-8bd1-c363b1f66c9d,Riffle,14,1,0.34,,10,,10,,90,30,30,30,10,,,,,,,,,,,,0.38,,,,,,ec73c35f-77ed-490e-a086-7241a19f55d2,10/7/2019 9:40:00 PM,richie@qcinc.org,10/7/2019 9:40:00 PM,richie@qcinc.org
