ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,164cf206-bc52-476f-aa4e-815aaf3d778b,0,0.9,0.009,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
2,e806c57e-e045-417a-93ba-2311178cbbe9,0.7,0.26,0.734,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
3,0ed041cc-ce4b-41c7-9479-6eeac46f03b8,1.4,0.34,0.648,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
4,17b3f729-7302-4bf1-9dea-b1199348c885,2.1,0.43,0.491,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
5,488a4253-4d43-4c79-9057-6a740ddcf948,2.8,0.26,0.842,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
6,4af10ebf-c0c6-4fdc-9426-5310c5cb5e83,3.5,0.26,0.71,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
7,d13261e0-a11e-42fd-add0-f79905c28b53,4.2,0.3,0.391,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
8,b5eaabd1-95b4-4008-b095-aed760c41544,4.9,0.29,0.601,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
9,f1f98f37-c16e-40ee-84aa-026b89503d80,5.6,0.32,0.468,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
10,92f6d9e6-b48b-4e7b-a945-7b6124f334bd,6.3,0.26,0.08,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
11,a8174d35-3685-46a1-954a-22e048e8e96c,7,0.14,0.371,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
12,97f5503f-41e3-4c63-8607-181bfe16a33f,7.7,0.13,0.011,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
13,9c569012-445f-42f2-ac58-9d59372134c9,8.4,0.26,0.43,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
14,e1bbc5d5-41f7-4959-962d-d782b942a054,9.1,0.26,0.274,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
15,10f4abc4-233e-4674-8016-8cfcd12e69f6,9.8,0.21,0.03,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
16,a7e72d02-24da-4fa3-95c6-1edfb7b22a65,10.5,0.3,0.362,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
17,9e068493-0954-45d9-96bb-919c55ddf641,11.2,0.16,0.368,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
18,6b3b84de-be07-4134-ab1f-d7a4fa0ab163,11.9,0.12,0.162,4910b138-313a-4622-9ed1-275d9929568a,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
