ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,b4f6d7b8-60d1-4e7b-91db-e330d1b44d28,Riffle,1,1,0.5,,,,10,,90,,,,,6.85,77,109,109,218,309,109,38.5,77,54.5,0.06,0.68,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
2,61984606-32b5-47f0-9e4b-732f62ba0b62,Pool,2,1,0.3,,,,20,,80,20,30,30,10,,,,,,,,,,,,1.12,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
3,67afdb60-0670-4096-84f2-5b2e68aa0931,Pool,3,1,0.63,,,,10,,90,20,30,30,20,,,,,,,,,,,,0.78,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
4,02889c4d-8350-4550-9d44-a9db3c3b6250,Riffle,4,1,0.37,,,,10,,90,,,,,54.5,309,154,109,109,218,77,54.5,309,38.5,27.3,0.62,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
5,fefa837e-5f56-4ea4-bde5-aaef2dd4933a,Pool,5,1,0.35,,,,10,,90,30,30,30,10,,,,,,,,,,,,0.88,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
6,b071f849-62d6-46d4-9c17-396e766d675b,Run,6,1,0.37,,10,,10,,90,10,30,40,20,,,,,,,,,,,,0.59,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
7,67685603-307c-4293-8095-181599f092d1,Riffle,7,1,0.29,,20,,10,,80,,,,,1.03,109,77,218,309,218,77,437,77,27.3,3,0.47,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
8,99c1f5d8-c9e4-4f90-a7a0-317a38662878,Pool,8,1,0.36,,20,,10,,70,10,20,50,20,,,,,,,,,,,,1,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
9,e426c45d-c785-469f-b4bc-eafeab0c6232,Riffle,9,1,0.29,,10,,10,,90,,,,,77,154,154,218,437,309,38.5,309,309,77,154,0.66,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
10,88d98f3b-fefa-495f-a03a-420c0ee9f6bc,Pool,10,1,0.44,,,,30,,70,30,30,30,10,,,,,,,,,,,,1.2,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
11,ea562dc8-5f93-44c8-9d00-36cbb8d8f665,Pool,11,1,0.37,,,,10,,90,30,20,40,10,,,,,,,,,,,,0.5,,,,,,722d1105-0e3a-44fe-b320-f9ef1a8dc6b3,10/7/2019 21:40,richie@qcinc.org,10/7/2019 21:40,richie@qcinc.org
