ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,5f4447f3-800a-4790-a97b-cf0fb5429882,0,0.3,0.59,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
2,dbcb7482-f06c-4999-88df-97fe7adccb2d,0.5,0.45,0.709,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
3,5491af5e-8131-4816-99e4-77b6fb1dfc43,1,0.4,0.671,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
4,3a35a672-003c-4d35-9805-d937fd83ee79,1.5,0.24,0.86,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
5,1dd06203-5b77-4d74-b34e-072417a884c5,2,0.24,0.259,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
6,3828c384-0c73-4ebd-801b-f5a23d20cb3b,2.5,0.24,1.193,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
7,818ed48b-503e-43a3-9573-690f1412886d,3,0.2,0.92,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
8,6e4ed757-c062-4118-9ad5-c0f56ee8021c,3.5,0.24,0.967,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
9,c776b0e2-7383-436c-aeff-0dddfa56ee9d,4,0.3,0.716,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
10,ddcb347d-0e27-4124-835f-a81a8574f092,4.5,0.22,0.725,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
11,1985de9c-2e60-4f11-bc4a-f5eb8b74695e,5,0.12,0.599,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
12,7f261692-d5df-48bd-9e17-b4f32c1d9bf3,5.5,0.15,0.236,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
13,795a2a8f-0965-493d-a822-ee59af73cf2d,6,0.15,0.247,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
14,7943b258-bde2-4e53-870a-52a429f30222,6.5,0.1,0.556,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
15,e44e4688-9697-4dbe-b6ca-9a03e0ef7fbe,7,0.2,0.176,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
16,c4a5a6bb-e99f-40ab-9b7d-a9ed834a8233,7.5,0.24,0.625,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
17,711163d0-31d5-4807-89c5-4b70adb1ecb5,8,0.18,0.912,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
18,0117716e-b56c-4a39-80dd-9de3e83a70b9,8.5,0.2,0.194,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
19,3ffb0d0e-e354-46f1-83a2-05c794cf026e,9,0.2,0.617,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
20,b6dd52cd-3cbb-446c-bda7-a51ce720d9b4,9.5,0.24,0.599,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
21,16b46be5-8585-4aed-96a5-d0026426e64a,10,0.12,0.591,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
22,f50b11ae-438e-4978-b3e6-bce3026cf0d0,10.5,0.12,0.434,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
23,82d34d6f-53d0-4fc9-9697-578184df52d6,11,0.12,0.277,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
24,ae8d1067-6051-4510-97ea-7dede60a5bb1,11.5,0.16,0.211,57d900d9-a26e-4e39-96b5-f326af06e0ed,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
