ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,4d457d96-f4af-44d5-b770-3c45c711faef,1,3.5,.68,No,No,No,02889c4d-8350-4550-9d44-a9db3c3b6250,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
2,7a2c7d72-046c-4445-bec1-f527627130c3,1,10,.5,Yes,Yes,Yes,fefa837e-5f56-4ea4-bde5-aaef2dd4933a,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
3,ab849bb5-076c-464d-999f-50cd4b331dd0,2,9,.36,Yes,Yes,Yes,fefa837e-5f56-4ea4-bde5-aaef2dd4933a,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
4,115feb1e-64d7-41e4-a1e0-9b68e9efa025,1,10,.18,No,No,No,67685603-307c-4293-8095-181599f092d1,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
5,3702eb25-5546-4863-b88d-289d89f59ae6,2,5,.28,Yes,No,Yes,67685603-307c-4293-8095-181599f092d1,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
6,5d124c99-5f41-4ffd-bbaa-5c8b3b14fde0,3,7,.18,Yes,No,Yes,67685603-307c-4293-8095-181599f092d1,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
7,4c47cb48-6a77-45f5-8c84-d25d6b55dfce,4,8,.28,Yes,Yes,Yes,67685603-307c-4293-8095-181599f092d1,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
8,06e4e1a8-d88c-4cab-850e-86c6a1a3492b,5,1.5,.22,Yes,No,Yes,67685603-307c-4293-8095-181599f092d1,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
9,219750e3-7f41-417c-a161-fa23d111dc09,1,1.5,.26,No,No,Yes,99c1f5d8-c9e4-4f90-a7a0-317a38662878,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
10,587ec108-aaa5-44a0-8184-3ffa7b3e9c47,2,12,.45,Yes,Yes,Yes,99c1f5d8-c9e4-4f90-a7a0-317a38662878,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
11,d06c09a8-5c2a-45d0-916a-2d43db119b7c,3,12,.4,Yes,Yes,Yes,99c1f5d8-c9e4-4f90-a7a0-317a38662878,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
12,203f856a-5006-4ceb-9764-a817601d8afc,1,7.5,.5,Yes,Yes,Yes,ea562dc8-5f93-44c8-9d00-36cbb8d8f665,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
13,3b48e7c2-8ec8-433a-9633-43a4b393e1f1,1,6.5,.5,Yes,Yes,Yes,c5a9cc17-0fae-4db7-bafa-7bfb266842b3,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
14,dd2fcf42-9c00-4859-9a4f-2ef03a05269a,2,3,.38,Yes,Yes,Yes,c5a9cc17-0fae-4db7-bafa-7bfb266842b3,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
15,201e4bc7-fb52-4a50-b5d5-e3f7db23e900,3,4.5,.24,No,No,Yes,c5a9cc17-0fae-4db7-bafa-7bfb266842b3,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
16,662405c8-b9b5-4f92-a7b7-2576f97d12af,4,1.9,.3,Yes,No,No,c5a9cc17-0fae-4db7-bafa-7bfb266842b3,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
17,ed452564-8bec-4229-848e-7cf64bd0c14d,1,10,.41,Yes,Yes,Yes,80705c27-9393-4492-b964-1348ba876117,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
18,81278c3e-8f0b-4dc7-bc57-9ebfc06d9f1b,2,10,.42,Yes,Yes,Yes,80705c27-9393-4492-b964-1348ba876117,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
19,453a4fd8-7658-44f7-abfb-0d5c60a4a3a3,1,5,.65,No,No,Yes,9d588561-de20-4911-855a-5ab0a8134c55,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
20,889e33a5-04c4-4d03-9ba6-4820dba1db25,2,4.5,.2,Yes,No,Yes,9d588561-de20-4911-855a-5ab0a8134c55,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
21,db812763-873c-42f2-a74c-7eebd3fcc368,3,3,.26,No,No,Yes,9d588561-de20-4911-855a-5ab0a8134c55,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
22,b84eb146-377b-444c-98f8-d25db193dd7d,1,10,.4,Yes,Yes,Yes,b21aa3ad-b651-4a10-acd9-499e78b9ee6e,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
23,5af312a4-b25c-4231-b702-5db13d655c25,2,10,.4,Yes,Yes,Yes,b21aa3ad-b651-4a10-acd9-499e78b9ee6e,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
24,06eac50e-bac9-47bd-927f-640a8f8d028c,1,10,.34,Yes,Yes,Yes,f57ac33c-348a-4410-8e03-0d7e02e07523,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
25,969fa9f8-c7b6-4f20-b553-95e1d82bf228,2,10,.35,Yes,Yes,Yes,f57ac33c-348a-4410-8e03-0d7e02e07523,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
26,a3fae5cf-be81-45eb-be66-9bc4f7cae90d,1,5,.6,Yes,Yes,No,0a290af1-9653-4d55-838b-fe0461d42b80,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
27,48c9d152-2e0b-4953-9452-52ab8426113e,1,4,.24,No,No,No,d68ffa95-15d8-4be1-b3ca-f6640c56be64,10/7/2019 9:40:33 PM,richie@qcinc.org,10/7/2019 9:40:33 PM,richie@qcinc.org
