ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,141b3fed-50d6-4d8e-9089-ec6c7bf470b9,1,Right_Bank,1.9,0.28,0.49,0.5,cdd5d3b1-87d5-4d86-a9dc-8e9a5aa67430,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
2,1b82b8d3-e444-40bd-bc70-6fa3336f7344,1,Right_Bank,1.4,0.2,0.2,0.25,a1fa9cbd-ad36-45e8-9d26-379e2a9c76b7,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
3,2d448f52-c997-4875-bc3a-5931cb541de1,1,Left_Bank,3.45,0.34,0.36,0.2,4a669dc2-9b86-4197-afa2-c15a2e08a479,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
4,56a5db2a-efde-4a45-ad12-80ec20835180,1,Left_Bank,2,0.26,0.2,0.22,de542020-c500-4aba-9a66-bb6dd65583fd,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
5,177cae64-871f-43a3-abf8-9979dc069a56,1,Left_Bank,4.25,0.2,0.25,0.32,f3af2575-d9cf-4f8f-8e7a-3ba989a7c83d,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
6,71f25102-ef6d-4c90-bace-19daec6ed85f,1,Left_Bank,2.2,0.2,0.26,0.32,df913c2c-f9e3-45ed-8c34-bc1ef66461bb,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
7,fa82d9b2-7820-4b71-a6b5-e92febad579a,1,Right_Bank,1.4,0.23,0.28,0.2,96988438-afdf-4d36-a928-16c22a296d90,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
8,6e0a0c58-5627-4b81-857d-3fe70f1c2b12,1,Left_Bank,7.8,0.33,0.42,0.2,8100e06a-b7d9-4aae-80c8-bd39f2851b96,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
9,eab0bd3f-0176-40e1-b9b3-3ac4a47f2ced,1,Right_Bank,7.9,0.37,0.5,0.37,2e315c87-7490-4792-8a29-d10f824a2ae9,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
10,9f4f5435-0d54-4b63-a57d-85f8dd0b8981,1,Left_Bank,2,0.26,0.39,0.27,6af407f9-ce1e-43d0-ad22-c5378eba64f2,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
11,3caa68a2-dbd7-492e-b12d-f2948581b85f,1,Right_Bank,1.75,0.42,0.53,0.63,99f04dd7-0e0b-43fc-8d3a-39164e3819d5,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
12,600300df-4540-4faa-acf3-908176a91f7c,1,Left_Bank,1.2,0.2,0.28,0.25,66a5e4ef-9ecd-4690-bd2d-3e92de6d8071,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
13,e64db5f0-baea-415b-8fc1-e4448593d6aa,1,Left_Bank,3.1,0.24,0.46,0.3,3399e49d-2c39-46e0-8116-6b0a710f4ac8,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
14,a02549ea-8e03-4507-af7e-63cc7b5c9d07,1,Left_Bank,1.7,0.26,0.25,0.2,49806002-d490-410c-997f-32c326b9f60b,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
15,9db908ee-1cdc-477b-ad88-76c24853699c,1,Left_Bank,2.3,0.25,0.43,0.29,91ab72dd-4053-4e1b-82bf-c7ce20412584,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
16,8aef1782-2c4c-4309-8654-21de92f9f19f,1,Left_Bank,2.3,0.35,0.35,0.42,07e7d541-fcc9-4df1-91ef-aa11b6103f71,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
17,7b0bc556-2968-4ce9-96db-59ad33110e8f,1,Right_Bank,5.45,0.23,0.27,0.36,22e3162b-ea4e-4045-8df3-3f8edb828f45,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
18,75531fca-6c3c-4525-b768-8ee0729f1d71,1,Right_Bank,1.6,0.28,0.33,0.3,0681a9ae-f4ea-4ccf-aaf3-ddee52021fac,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
19,8c9ce6fa-5048-444f-9df1-21ac8a5cbe4f,1,Right_Bank,8.9,0.56,0.59,0.48,15d16ac5-198b-427a-957a-408fbea4dde7,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
20,9d9be947-5790-412a-ada8-837197ca85bf,1,Right_Bank,2.7,0.22,0.29,0.31,829e493e-fa70-4502-9cfb-1ed73d159d42,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
21,79d36812-4135-4280-aba4-47a544378449,1,Right_Bank,1.85,0.3,0.41,0.35,b669b233-4256-4692-819d-063debd16561,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
22,3dac4a57-5cde-4c5e-80d8-f3623e0cc683,1,Right_Bank,1.1,0.26,0.31,0.22,a6494d52-07d9-4fd2-bf45-3fe591153f15,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
23,5071cc81-58d3-4658-8070-4a2f29ccbb31,2,Right_Bank,4.8,0.25,0.3,0.24,a6494d52-07d9-4fd2-bf45-3fe591153f15,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
24,2ace62eb-9bbd-4ab4-9c56-e442af769002,1,Right_Bank,8.2,0.39,0.55,0.36,460b51aa-28b5-49e3-93e3-571bb3e2b90d,7/24/2019 22:46,richie@qcinc.org,7/24/2019 22:46,richie@qcinc.org
