ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,25f8eb84-3aa2-4ec5-b9b2-92fce10f9af7,1,6.35,0.2,Yes,Yes,Yes,18c5925c-95e3-423f-a719-3f67fc690599,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
2,c0360a8c-87d0-4596-a6aa-363fcd42fb0b,1,7,0.27,Yes,Yes,No,8d63b685-eca8-45d1-b5d8-7191a17de0e2,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
3,2d892faf-8f2f-4a6e-874c-12105c98009a,1,6.4,0.35,Yes,No,Yes,de167e80-62bb-4cee-b174-358986fbe26c,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
4,383901e8-5789-403b-89bd-c4bc613fe27a,1,4.4,0.25,No,No,Yes,71c9978e-528d-42bc-8220-b68ec13b4499,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
5,a0289948-fcd1-446a-bf2f-c1f66fdd8e0e,1,13,0.23,Yes,Yes,Yes,a07b65a5-d97f-497f-a676-32e73466ebd0,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
6,bca8832b-e7bf-49ff-b45c-afe7f70e34e4,2,2.5,0.18,No,No,No,a07b65a5-d97f-497f-a676-32e73466ebd0,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
7,f8261d73-09b8-4c98-b93c-b16dd6f343c1,3,3.1,0.26,Yes,No,Yes,a07b65a5-d97f-497f-a676-32e73466ebd0,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
8,44f98e7c-b2ab-41fa-80d6-3127de9bde97,1,4.25,0.33,Yes,No,Yes,4c5980e8-7e44-4c54-b67a-6f65444ffb0d,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
9,95dd08bd-ebff-4869-8d4c-e8d548a59743,1,2.4,0.3,Yes,No,No,0f51c101-a96c-4bc8-b6b4-f83b70e1349d,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
10,9f2bee04-be0b-46aa-884c-56cebfd52476,2,3.8,0.27,Yes,Yes,Yes,0f51c101-a96c-4bc8-b6b4-f83b70e1349d,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
11,57ac36f7-9e1e-46b4-b38c-a3752858bd55,1,14,0.16,Yes,No,Yes,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
12,24e6dadc-4e40-4db5-8f05-1822dd8fa510,2,3.7,0.17,No,No,No,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
13,757f78a8-b6d5-46d5-bd27-16e42bf137af,3,4.5,0.15,Yes,Yes,Yes,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
14,24c3bb35-4c9b-487d-8d09-22fd9f6ec4bd,4,2.05,0.24,Yes,Yes,Yes,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
15,282b5720-74cf-46a4-aad6-81e1d9f99998,5,2.4,0.24,No,No,No,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
16,f1fefeab-fd7f-4044-9c07-b17db7e76960,6,6,0.15,Yes,Yes,Yes,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
17,a773462e-a593-4627-9a5c-d485152cb195,7,1.8,0.23,,,,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
18,74d08665-b68b-45be-a6d1-f7a63069febc,8,5.75,0.19,Yes,No,Yes,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
19,281f68ec-9625-4df0-9fa5-15119bad6fa2,9,1.6,0.31,Yes,Yes,No,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
20,f8e4f2c7-a727-46df-a4fe-850d333ad524,10,1.5,0.18,Yes,Yes,Yes,c3e4d023-8d87-4c78-ad13-2750797dd061,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
21,f9c2ff3a-3731-4ed9-a207-3dcdfdbed1c5,1,4,0.15,Yes,Yes,Yes,1a5e4b99-ea22-45a6-9ffa-9339e72d73b1,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
22,ecaee01f-1d90-4fa6-a3fe-076da396ada5,1,3.2,0.15,Yes,Yes,No,5343accb-3b47-43ab-acef-eeae80dc2cc1,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
23,f9688de1-3e34-4e3e-b7a8-4c3ec0fbde4a,2,3.5,0.2,Yes,No,No,5343accb-3b47-43ab-acef-eeae80dc2cc1,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
24,791e5491-5bdc-4e31-b6d2-8297ddc4c96a,1,1.6,0.45,Yes,No,No,7fcebb6a-a606-4cba-ba6c-f1e91089b2d9,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
25,30470b02-d0d8-46a5-83d3-6ce155260bb1,1,1.7,0.3,Yes,Yes,Yes,257e672a-388d-4c45-862b-4dde2636ee59,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
26,f172fc92-b1bc-4232-bc30-427d2875e1ca,1,3.5,0.17,Yes,Yes,Yes,3f8baf1d-8507-4f1f-b2f3-426b33944b91,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
27,6e05fc3f-8d5c-433d-b2d8-137ca0b69e7d,2,2.25,0.15,No,No,No,3f8baf1d-8507-4f1f-b2f3-426b33944b91,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
28,2aefe790-d1ec-4067-a699-eeb4939b239f,3,3,0.2,No,No,No,3f8baf1d-8507-4f1f-b2f3-426b33944b91,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
29,0dd93121-6eea-454f-bc62-17e7681380a7,4,4,0.5,Yes,Yes,Yes,3f8baf1d-8507-4f1f-b2f3-426b33944b91,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
30,387366d7-de1d-4c03-8cb1-4de4bbfb8c40,1,1.6,0.22,Yes,No,No,ec3079fd-a520-434f-a456-e9b0f7c181cb,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
31,6d5233c7-d92e-4dda-9162-922e1a248860,2,8,0.6,Yes,Yes,No,ec3079fd-a520-434f-a456-e9b0f7c181cb,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
32,2f5e5070-211c-41cc-b6f0-d0ef87e4c728,1,2.2,0.24,Yes,Yes,No,d2a2e616-9735-459b-b1e7-cc3c63c44fe9,7/29/2019 11:57,richie@qcinc.org,7/29/2019 11:57,richie@qcinc.org
