ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,43cfd7e8-e550-4293-a92e-24e61a1b1a98,Pool,1,1,0.31,,10,,30,,70,20,30,50,,,,,,,,,,,,,0.82,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
2,8d56261e-7b21-4b3b-82f1-b7b34c48f8a9,Riffle,2,1,0.36,,20,,10,,70,,,,,13.65,19.3,109,77,154,77,77,109,54.5,27.3,38.5,0.77,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
3,ef3cca1a-d2fe-4c78-afb6-971ba4305c0e,Rapid+,3,1,0.55,,20,,10,,70,20,30,50,,,,,,,,,,,,,0.55,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
4,e41a3b5a-7aac-4d14-a8b9-bfe05009748d,Riffle,4,1,0.45,,40,,,,60,,,,,154,218,109,38.5,1024,218,109,54.5,54.5,109,77,0.45,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
5,03e68c01-4754-4a0a-8dae-28ad4321c7aa,Pool,5,1,0.54,,10,,40,,60,20,50,30,,,,,,,,,,,,,0.82,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
6,a7f38183-c7f8-45dc-854b-e04867132a53,Riffle,6,1,0.26,,20,,10,,80,,,,,4.85,437,38.5,109,154,38.5,437,38.5,27.3,77,109,0.5,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
7,1fb1fe82-1eda-4006-83d4-b4a03890e36c,Rapid+,7,1,0.5,,10,,,,90,20,40,40,,,,,,,,,,,,,0.68,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
8,1bf61d17-92d7-4076-9c72-2767a43a1cd9,Riffle,8,1,0.36,,10,,10,,80,,,,,0.06,154,0.06,154,109,77,27.3,77,38.5,19.3,38.5,0.5,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
9,5a3845ce-4594-4dc2-864c-889e92ea7f64,Pool,9,1,0.26,,20,,10,,80,40,40,20,,,,,,,,,,,,,0.71,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
10,44f557dd-add5-428e-b961-55dfad0fdc49,Riffle,10,1,0.5,,,,,,,,,,,13.65,38.5,154,154,218,38.5,154,77,13.65,13.65,109,0.48,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
11,2c27dd78-da35-4b5c-8b38-31f2691eba2c,Rapid+,11,1,0.43,,10,,,,90,20,30,50,,,,,,,,,,,,,0.59,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
12,b4e50f6a-369f-4085-85e1-54ef38360dac,Pool,12,1,0.59,,,,10,,90,20,30,50,,,,,,,,,,,,,0.74,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
13,477b9a0b-27dd-431d-aa36-0a86bf5dd454,Riffle,13,1,0.44,,20,,10,,70,,,,,38.5,109,77,437,309,13.65,77,54.5,109,13.65,77,0.64,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
14,3e7089e8-04e6-48f5-a8e5-a04511d10647,Pool,14,1,0.42,,20,,,,80,30,30,40,,,,,,,,,,,,,0.7,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
15,fbf66f27-d794-4fc9-b558-46fe5d1ef1fa,Rapid+,15,1,0.4,,10,,,,90,30,30,40,,,,,,,,,,,,,0.54,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
16,a09add33-655c-4c8a-a7a3-658401d869a2,Pool,16,1,0.37,,10,,10,,80,40,40,20,,,,,,,,,,,,,0.6,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
17,d8db91dd-2eb5-4c95-8e05-30066e5bb09f,Riffle,17,1,0.52,,,,,,100,30,40,30,,,,,,,,,,,,,0.64,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
18,4638fba5-cabd-4267-8942-57fc2bcfbb77,Rapid+,18,1,0.49,,10,,20,,70,30,40,30,,,,,,,,,,,,,0.54,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
19,1e3c47d1-b2aa-49e8-ac3b-08b16c31eb6e,Pool,19,1,0.32,,,,20,,80,50,40,10,,,,,,,,,,,,,0.58,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
20,f4424030-60c9-4591-9ef3-751e904fc957,Pool,20,1,0.5,,10,,,,90,30,40,30,,,,,,,,,,,,,0.52,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
21,32574f87-bb69-4d66-af57-363606e8fee0,Rapid+,21,1,0.38,,,,10,,90,20,30,50,,,,,,,,,,,,,0.7,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
22,599e1ada-9ee3-44cd-b839-a380c5b1f874,Riffle,22,1,0.54,,10,,,,90,,,,,38.5,38.5,218,154,54.5,6.85,154,109,77,27.3,0.06,0.6,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
23,6e1e9f07-5acf-41b9-937f-f48933701aa2,Pool,23,1,0.46,,10,,20,,70,50,30,20,,,,,,,,,,,,,0.74,,,,,,d5ab2e89-ccbb-420f-96a1-50981172ac75,7/30/2019 1:16,richie@qcinc.org,7/30/2019 1:16,richie@qcinc.org
