ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,96a547a9-1e6b-4a21-a1b1-93783098b49f,Riffle,1,1,0.1,,40,,,,60,,,,,0.06,27.3,109,19.3,27.3,154,109,109,218,38.5,0.06,0.41,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
2,23526430-d66b-46a4-8ae8-d4104f5303d5,Rapid+,2,1,0.42,,10,,10,,90,10,30,60,,,,,,,,,,,,,0.45,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
3,1c6923a9-bc0f-445a-9d4e-1b26a980908c,Riffle,3,1,0.09,,10,,10,,90,,,,,4.85,9.65,54.5,54.5,109,109,109,218,154,27.3,4.85,0.38,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
4,0dc34be9-64f5-48d7-9053-d010dab5717f,Pool,4,1,0.2,,50,,50,,50,20,60,20,,,,,,,,,,,,,0.5,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
5,8aa60adc-5695-4c66-992e-a9bccda47a20,Rapid+,5,1,0.28,,50,,,,50,10,40,50,,,,,,,,,,,,,0.4,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
6,a750f640-d057-4747-bbd8-7d98e6232793,Riffle,6,1,0.28,,50,,10,,40,,,,,0.06,0.06,38.5,309,27.3,109,54.5,27.3,77,77,218,0.41,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
7,de777007-46a3-4c9b-a520-f36446335202,Pool,7,1,0.31,,,,30,,70,10,30,60,,,,,,,,,,,,,0.6,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
8,6b7c7b94-702a-45a6-9502-aecefb36eba9,Rapid+,8,1,0.29,,40,,10,,50,10,50,40,,,,,,,,,,,,,0.35,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
9,0dac067a-4c93-4a68-818f-47ec9a0743a9,Pool,9,1,0.2,,10,,,,90,20,50,30,,,,,,,,,,,,,0.85,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
10,0b368748-73c1-45fe-8379-a1308d2f60ab,Pool,10,1,0.51,,10,,30,,60,50,40,10,,,,,,,,,,,,,0.86,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
11,d4b3c475-12c4-4af4-8c68-74a20782eca5,Rapid+,11,1,0.29,,10,,30,,60,10,60,30,,,,,,,,,,,,,0.4,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
12,347e403d-337b-42d9-a84c-3f62a5c9d3ac,Riffle,12,1,0.18,,,,30,,70,60,30,10,,,,,,,,,,,,,0.64,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
13,15dc73c6-e772-4392-8d9b-af221747c1a0,Pool,13,1,0.2,,20,,10,,70,,,,,77,27.3,109,54.5,1.03,6.85,19.3,54.5,27.3,6.85,0.06,0.89,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
14,9421e017-0962-40d3-abca-fe9d97477fe8,Rapid+,14,1,0.31,,10,,20,,70,10,70,20,,,,,,,,,,,,,0.39,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
15,9ce3f5d1-5e21-4969-82fe-2c8b1bb0131e,Pool,15,1,0.36,,,,,,100,40,50,10,,,,,,,,,,,,,0.47,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
16,77f74166-6e23-43fe-8993-dd96d6e3b86f,Riffle,16,1,0.2,,10,,10,,80,,,,,0.06,0.06,19.3,38.5,77,54.5,27.3,77,13.65,109,0.06,0.3,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
17,14b648e5-f75f-4b59-9a41-b2ae7ab6d041,Pool,17,1,0.18,,,,20,,80,40,40,20,,,,,,,,,,,,,0.5,,,,,,69bf44d5-742a-421c-845a-a9521937ebe7,7/18/2019 16:09,richie@qcinc.org,7/18/2019 16:09,richie@qcinc.org
