ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,da381534-cac2-42c3-b484-823eac473c6a,2,5,1.25,5,528cdbf2-71ad-4a77-aca5-11150ad38943,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
2,21063bc5-2f16-4f39-a9ee-5270e51485b8,12,16,1.3,7,68be2327-692c-4bac-801c-bf00ef84a17a,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
3,98ffc2a5-f92d-4d7c-b385-7128df292ae9,5,1,0.8,5,6ca2a343-6fcd-41c1-8a0b-2ed6f39f41d4,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
4,c02ccf4f-2383-4729-8f25-af07abda259c,1.5,3,1.1,6,1ba97a65-b2e7-4791-9c6a-a7515f40d168,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
5,d47d1b66-e6af-4953-905b-de25b521cfec,0.9,4,0.85,9,733d92ba-fa03-4102-97c5-2dc3010e5ebe,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
6,6523d143-a5dc-4b19-b68b-c88147adf3a3,4,6,0.75,7,ba33a0a4-6393-4358-ae2a-b34a530d3a34,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
7,7a5e1891-0d6b-48a7-944d-9c1966461898,4.5,2.5,0.85,8,cf14b3c4-8bf6-4082-9134-479f3579ea87,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
8,1083d759-8fdd-4865-b26f-5033fae729ff,4,4.5,1.05,5,d7f38532-eb4f-473d-80bc-df6b40fe6240,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
9,7fe14f0a-1c22-41f6-85b7-93319e36c016,3,5,0.7,5,59bdb3a7-3355-4117-b7ec-d6165eec186f,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
10,f775636f-6823-4aae-b62f-3a9fe8f7d105,3,4,1,7,f5c003ae-46b9-4636-8269-06b30d181170,7/18/2019 4:09:36 PM,richie@qcinc.org,7/18/2019 4:09:36 PM,richie@qcinc.org
