ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,bb682a2a-eb54-4c3f-87a9-e25a85ab2a2d,0,0.1,0.036,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
2,cdd899a3-d776-4811-803f-38430988d801,0.2,0.14,0.83,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
3,1bd95503-08ad-4b11-af0c-5f5c4f830d06,0.4,0.14,0.863,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
4,c7fdd2af-717e-4de1-a348-51bbdf2cd34c,0.6,0.12,0.375,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
5,89c40c58-ba95-4ef3-950b-ebbc389ba0b0,0.8,0.12,0.394,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
6,dd435aa2-013e-4802-b3ee-9ffb29e9254d,1,0.12,0.242,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
7,0630686f-6dfa-4ca4-8f0f-13e883cc04f8,1.2,0.11,0.432,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
8,cb4c95d0-469d-4cdc-bfa1-f8b15be8bced,1.4,0.11,0.377,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
9,5f2cca7c-6062-4d8d-bef7-425fc740718e,1.6,0.1,0.846,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
10,903fd9d8-f272-4b86-9e70-8bd0b6dd956e,1.8,0.1,0.594,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
11,ec414ad8-0378-42b7-ab47-0e514b92490d,2,0.08,0.369,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
12,0655b494-98e4-4755-82ff-3446cac299c3,2.2,0.1,0.623,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
13,75dd5ea9-732b-40c9-8656-e50f0ce1b6c3,2.4,0.1,0.129,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
14,35a53254-9273-45fc-83f7-64e1aff5665b,2.6,0.1,0.261,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
15,6396e79f-b3bc-4d6f-8605-17e5b1cd65bd,2.8,0.1,0.227,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
16,3f74ec30-1114-4694-bf9c-0dcd3c583e51,3,0.12,0.502,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
17,f47bc78b-61e9-4b83-9f3a-7a6c5494d10b,3.2,0.1,0.825,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
18,219b61bb-835a-4f0a-b27f-ae5c4fda6157,3.4,0.11,0.137,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
19,3b02c487-520e-4b4d-9bb9-58af79906801,3.6,0.1,0.08,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
20,77907cbb-5f66-416d-81dc-0b295241e9bd,3.7,0.1,0.145,007b6578-4f81-4450-95e0-a9ba0ee4f1b8,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
21,878d2725-a680-4670-845a-db91f87878c3,0,0.04,0.284,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
22,d6af3563-16bd-4ff8-ae98-589485a37b55,0.15,0.06,0.131,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
23,2817e120-21be-4ed0-a45a-121e8eb9757d,0.3,0.06,0.325,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
24,b534650a-92c9-42b4-bd07-545de363214d,0.45,0.08,0.415,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
25,c70591da-1612-4c2c-bd4f-529f062e843f,0.6,0.14,0.443,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
26,9b26f0b4-919d-476c-88f4-26252ffd0030,0.75,0.16,0.36,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
27,f3ae4e75-6505-4cc6-bed9-bf02ed99810a,0.9,0.16,0.272,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
28,82fd86e0-8e61-45ea-bf04-fc5750f08ddf,1.05,0.17,0.132,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
29,aab6e96e-80e3-4404-a729-8721a1649278,1.2,0.17,0.132,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
30,30364502-003b-4c21-a5a8-0de2cfd8381d,1.35,0.17,0.543,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
31,41e43c7d-430f-4d2b-8a65-686a40eaf743,1.5,0.2,0.495,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
32,2d11c640-a32f-40d0-b443-5f2871e7c088,1.65,0.2,0.707,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
33,5128b3b5-77f9-4a6e-8a3e-ea9b2c148f47,1.8,0.22,0.693,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
34,ec157991-c081-4ac7-b9fc-ab530a592753,1.95,0.2,0.456,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
35,04487469-2108-4d45-a02f-ba9249b8fec0,2.1,0.2,0.532,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
36,fcebcc4d-b342-45e1-968f-7f4e53cde6cc,2.25,0.18,0.429,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
37,cf12ae36-67f2-4173-aa7c-3b258aaafc1c,2.4,0.17,0.223,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
38,c0710152-6ff2-4206-8dff-771cc629fd64,2.55,0.17,0.203,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
39,6061958d-f74c-431c-b00a-d98496481910,2.7,0.14,0.151,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
40,0d16315c-e866-4c56-95c2-ddf730b7ef19,2.8,0.08,0.054,2db2085d-13b4-4261-80d6-0ca9069aa894,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
41,dafd888d-6810-441c-8d78-1bb678d1c603,0,0.08,0.047,3f0e7af7-c154-4c5d-bf87-c1a0d340b5a2,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
42,704f37d0-4f0b-4345-894a-9806fc324c1d,0.15,0.14,0.37,3f0e7af7-c154-4c5d-bf87-c1a0d340b5a2,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
43,14e2195d-35e1-4404-b065-8478f99457ec,0.3,0.18,0.365,3f0e7af7-c154-4c5d-bf87-c1a0d340b5a2,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
