ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,bebcc5af-2619-47d6-b093-1658b6ece2ea,1,Right_Bank,2.8,0.49,0.32,0.32,fdfba200-2c69-4e6e-a859-1486360a7dc3,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
2,0aa16c12-0bc6-44e2-a35f-f56a7a6db426,1,Left_Bank,4.2,0.64,0.68,0.33,40a921e3-9825-4da2-8f94-0ed849f4de57,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
3,701cc1b9-f663-4230-9bd6-aad205e5ea6e,1,Right_Bank,2.42,0.53,0.51,0.38,71eb5e50-babe-4eed-84a3-d663b1599631,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
4,b1c83ddb-de59-4270-a407-5f3f35be5d68,1,Left_Bank,7.5,0.46,0.46,0.39,76c88d9b-b0a0-49b3-b4f4-4708eabd7f54,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
5,32ddc6f0-d8c7-4092-9a99-34b3c1bfaa9c,1,Right_Bank,9.8,0.3,1.2,0.8,8215be5a-9f83-4ae0-b01b-9631bf6e7a91,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
6,97aaee92-e317-45d6-82c4-1ddfaee10e7b,1,Left_Bank,2.3,0.38,0.38,0.46,7b9a6faa-95b7-486d-a9ea-239fa8769615,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
7,c92af2e8-2151-4e81-aa59-f142a1b684ef,1,Right_Bank,3.3,0.32,0.56,0.62,7a919505-cef8-49ef-ab51-db14c3daf541,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
8,99284cbe-4364-49fd-944a-1d9a732cf4ca,1,Left_Bank,2.7,0.62,148,1.4,6136ec4a-6248-4fb9-9384-bb513e336cbe,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
9,c108b7d3-d400-44df-ae8f-f4301722dd85,1,Left_Bank,2.8,0.25,0.6,0.56,5e344f39-eeec-47bb-965d-b21a2426c2db,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
10,755f71be-fa42-445b-ba0b-32b8ca309a55,1,Left_Bank,7.4,0.34,0.44,0.48,9f5cd5a3-880a-47a3-95f9-b73d63fe3df1,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
