ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,d94920a5-f699-4951-876a-3fb91a8fd37d,1,3.68,.28,No,No,No,fdfba200-2c69-4e6e-a859-1486360a7dc3,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
2,00dbddc1-2ef6-4c84-9f60-526b1e2a26d9,1,6.8,.24,No,No,No,04d10ec9-8c3a-4125-b276-ff7b7243e3d3,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
3,5ddc2aa4-78c0-4085-b581-1f9c1a6146f9,1,3,.18,No,No,Yes,a4265eee-b52a-4ac6-ae5f-6d8b96a33379,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
4,ef6e4e04-80b2-45f7-a450-7acc0bfe101e,1,3.52,.16,Yes,No,No,e5453849-fe02-4a5d-b427-593482d2c63a,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
5,5b60144b-b38c-4506-9bbd-388e959a8fdc,1,2.22,.2,Yes,No,No,e6a0732b-b3c2-4f06-944c-488aec3ae2f9,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
6,e7f748b8-6a81-4e66-8009-73a564412292,1,3.25,.17,Yes,No,Yes,3d92e2f7-70c7-4886-bbe2-96e6d193f606,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
7,944934bd-0cfb-42fb-a1cb-f55e7ed245e4,2,3.78,.28,No,No,Yes,3d92e2f7-70c7-4886-bbe2-96e6d193f606,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
8,180ccec3-9c89-4a2e-b0f8-8ab1ff009c7a,1,5.51,.22,Yes,No,No,ed7e01f5-7340-4328-9f16-8888905dd01a,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
9,1600c7f0-be74-42ad-9bc6-4ed21e6fdd60,2,2.05,.18,Yes,No,No,ed7e01f5-7340-4328-9f16-8888905dd01a,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
10,36715e7a-2a4c-4a54-a916-9c39aab0860d,1,1.56,.23,Yes,No,No,59bb7906-deab-4588-a2ca-f5c5c8233ce2,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
11,e58005f3-6485-4c64-ab54-f3ae50c95f89,2,4.4,.19,Yes,No,Yes,59bb7906-deab-4588-a2ca-f5c5c8233ce2,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
12,0f066dbf-1cf2-4747-b171-0be39f1bc8bf,1,2.1,.19,No,No,No,84b816cd-75b3-4fa0-8e31-bfa53c449f2d,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
13,2864dcc1-4c4f-47b1-be03-08e2d22a10a3,1,3.4,.21,Yes,Yes,No,a01fd490-99be-4ae9-9293-7fab53c40e53,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
14,78608482-acc1-48cf-b358-395e632d7647,1,3.6,.32,Yes,Yes,Yes,347aaa7b-7c42-4d44-8f00-c41122a46d4d,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
15,509267ca-4fac-405d-82ce-8e73cdfcc9f3,1,6.6,.18,No,No,No,2f974fb7-e07f-4af8-bc26-a3484ba27c3a,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
16,6a5505a4-bf3a-42e0-812f-3c7617a5854a,2,8.4,.19,No,No,No,2f974fb7-e07f-4af8-bc26-a3484ba27c3a,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
17,d7a444de-baf9-41df-8ee1-c3d551f2b547,3,3.27,.16,No,No,No,2f974fb7-e07f-4af8-bc26-a3484ba27c3a,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
18,46deb48a-283d-449d-b9a6-4b0dc7470996,1,5.5,.18,Yes,No,No,6a04b9da-465b-46e4-878e-1b26c5087fb0,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
19,edab839d-1670-4830-931f-af30d09fd70f,1,1.77,.21,Yes,No,No,fa03ceff-6f37-4f91-9516-2ee593872d43,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
20,485a33e6-9683-4a4a-abe9-1ae00d959388,1,2.43,.19,Yes,Yes,Yes,cde51750-f993-4ebf-a420-fb7d6e3472ed,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
21,a922f1a8-0b12-4a37-8248-8bea5a3efc00,2,2.67,.23,Yes,Yes,No,cde51750-f993-4ebf-a420-fb7d6e3472ed,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
22,021a73ef-19ce-4f1a-9339-e43fa78d2f43,1,3.4,.18,Yes,Yes,Yes,2a0ba2cf-795d-438a-9c75-0e7d07d21ee9,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
23,07cf4cb8-de07-44e0-8d43-36aa687d4a1a,1,2.1,.18,No,No,No,6905b69f-17ed-41f7-af57-cba7b6602dc5,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
24,2c490629-d9ab-4d01-8fe6-00c2bbf7b5ec,1,2.9,.16,Yes,No,No,b5a88ef9-84ff-403f-b77d-72f3c30fceac,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
25,8b484ff0-69a2-4f3c-a9fc-d6a4480c274f,1,3.32,.27,Yes,Yes,Yes,b7f285d5-0655-4268-8730-2161d716c52d,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
26,ea711363-c488-4ef2-a044-df7a6883dde5,1,2.67,.19,Yes,No,No,e748ce78-bce3-4f4b-92e0-dc7a8e9bafcf,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
27,1d51ba65-8b79-44ec-bee6-8f6b1fc85c7a,1,9.1,.23,,Yes,Yes,a6bfdcd0-cf33-4b8f-af79-15fe04d32106,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
28,dea10f26-acbd-4b4f-b989-8f603a128d83,1,4.5,.34,No,No,Yes,27c89598-2bdf-4f5d-b9b3-48798da342c0,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
29,70c42347-2047-434b-a7af-8ccec38f4c98,1,4.42,.18,No,No,Yes,53dac91a-62ae-479d-ade1-2995bd26f11e,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
30,78697e90-c59f-4e50-8e27-3ba747eed8a4,1,6.6,.18,Yes,Yes,No,0ab00041-7155-4d0f-a407-ff9d2707703b,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
31,3b92be9e-92ef-443e-9798-9d6b7b4bc3df,1,7.8,.19,No,No,No,43e2b667-d345-44ec-a75c-dc0f7504aa44,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
32,47299758-dbc8-459f-99e2-78e9f9d1a8a7,1,5.2,.18,No,No,No,5fe6fbec-9a91-4c87-b297-159dafd23d99,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
33,187adf60-95b3-48c1-b00b-8497168b684e,1,4.3,.39,Yes,Yes,Yes,d0e14c43-2bec-4be1-87d1-a184999fcc64,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
34,2e10698e-167a-4cc1-b525-3fc26a5ac002,1,2.34,.18,Yes,No,Yes,d8140991-7478-4953-a1ec-9098169e1644,7/19/2019 11:34:17 PM,richie@qcinc.org,7/19/2019 11:34:17 PM,richie@qcinc.org
