ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,6bef3839-6330-4753-b061-a4b8e93f6339,0,0.11,0.366,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
2,82129173-9d57-4650-83e1-0b64dc4a522c,0.1,0.1,0.312,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
3,8f95fe2d-3f1a-4d81-ad6b-fb12d8b4c544,0.2,0.12,0.436,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
4,674de5e2-0e6b-420a-bb38-161e6528acf7,0.3,0.1,0.584,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
5,131b49bc-b7d0-4f08-a173-f6fa5b449edc,0.4,0.12,0.628,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
6,1ddc3f8b-0133-4d65-ab88-7b92dfc52c9a,0.5,0.12,0.681,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
7,7843f9e7-8283-4e2f-bd48-0ae5a6d8811d,0.6,0.1,0.813,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
8,043a9810-1dbc-4172-81a9-17aceb12b541,0.7,0.08,0.702,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
9,b81287c4-561c-45fd-9f5d-288293241674,0.8,0.1,0.721,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
10,587ef40c-22fb-4b82-aa47-e75e57f5b63a,0.9,0.11,0.75,fdf59206-2569-45cd-9df8-5aac3a23ae14,6/26/2019 11:17:36 PM,richie@qcinc.org,6/26/2019 11:17:36 PM,richie@qcinc.org
