ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,430cd589-0980-4dcd-817e-3215cdfcf120,Rapid+,1,1,0.25,,20,,,,80,20,40,30,10,,,,,,,,,,,,0.37,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
2,62c7d493-d862-4749-8d6c-2af36c9949d9,Riffle,2,1,0.28,,30,,10,,70,20,50,30,,1.03,19.3,77,27.3,38.5,77,38.5,4.85,38.5,38.5,19.3,0.42,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
3,8eee9d4c-e0ab-4ea6-adfd-554ca4add269,Pool,3,1,0.27,,20,,10,,80,40,50,10,,,,,,,,,,,,,0.49,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
4,41ab0570-ab54-42a9-b4a0-183102abf57c,Pool,4,1,0.2,,40,,10,,60,60,40,,,,,,,,,,,,,,0.44,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
5,dec4f581-6996-4a09-8eec-f97dfa23fca4,Riffle,5,1,0.28,,10,,10,,80,,,,,0.06,13.65,38.5,27.3,13.65,77,54.5,13.65,19.3,77,54.5,0.33,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
6,39865513-9f46-4227-a40d-a9c10e4189b4,Pool,6,1,0.26,,10,,,,90,60,30,10,,,,,,,,,,,,,0.33,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
7,da0d4b3c-b49e-4756-8d45-aa784b18c172,Rapid+,7,1,0.26,,10,,20,,70,30,50,20,,,,,,,,,,,,,0.3,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
8,b8caef78-217a-496e-ad07-7d2e4f5fe28d,Riffle,8,1,0.27,,20,,,,80,,,,,9.65,13.65,9.65,54.5,19.3,109,109,38.5,54.5,19.3,4.85,0.27,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
9,057c0959-4e68-4ac5-a85d-3496bac46d59,Riffle,9,1,0.26,,20,,10,,70,,,,,0.06,38.5,109,9.65,13.65,19.3,38.5,27.3,27.3,19.3,1.03,0.35,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
10,83f7617d-0134-4cee-b9e1-271a3ab118b8,Pool,10,1,0.2,,20,,,,80,40,60,,,,,,,,,,,,,,0.38,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
11,49b85122-7310-4093-9f6c-61ca82640494,Riffle,11,1,0.3,,20,,10,,80,,,,,27.3,6.85,13.65,77,38.5,77,54.5,19.3,13.65,9.65,3,0.46,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
12,04d0699b-0bf9-4d57-a7e0-b7e84071198b,Pool,12,1,0.28,,10,,30,,70,40,60,,,,,,,,,,,,,,0.47,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
13,9f8085e8-ee7e-4557-9cb4-7320d6e6dcfa,Riffle,13,1,0.24,,10,,,,90,,,,,154,54.5,77,154,19.3,154,109,27.3,27.3,3,13.65,0.3,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
14,c9016314-7da2-47c4-9fdf-b3de78244998,Pool,14,1,0.26,,20,,,,70,70,30,,,,,,,,,,,,,,0.57,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
15,7f12f154-ec66-46fa-88d1-bbbf2f78d53d,Riffle,15,1,0.3,,70,,,,30,,,,,0.06,1.03,54.5,19.3,38.5,6.85,27.3,13.65,27.3,3,1.03,0.35,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
16,5ff8034b-690b-47bb-abc1-71ccb31f6b17,Rapid+,16,1,0.28,,10,,10,,80,20,60,20,,,,,,,,,,,,,0.4,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
17,221f35c7-130e-460e-a84f-69fbb2ff79e1,Riffle,17,1,0.32,,10,,10,,80,,,,,0.06,19.3,54.5,109,109,27.3,27.3,109,77,54.5,77,0.46,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
18,22330b09-2b08-443c-aaa8-acf7ade2b51f,Rapid+,18,1,0.31,,10,,10,,80,30,40,20,10,,,,,,,,,,,,0.41,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
20,f8df36b8-4524-4ade-8133-35843a47daa5,Pool,19,1,0.28,,,,10,,90,40,60,,,,,,,,,,,,,,0.5,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
19,46454c8f-65e9-45c3-b731-f2dfb418afea,Riffle,20,1,0.3,,,,10,,90,,,,,19.3,77,54.5,27.3,77,54.5,9.65,19.3,27.3,3,3,0.3,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
21,22e6c3d4-3240-454e-a675-cb55544af81f,Pool,21,1,0.2,,,,10,,90,60,40,,,,,,,,,,,,,,0.33,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
22,101554ef-3f66-4c82-8127-fb925b15111f,Riffle,85,1,0.22,,,,10,,90,,,,,54.5,9.65,77,54.5,13.65,54.5,38.5,54.5,109,19.3,4.85,0.31,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
23,28238a07-7ced-4ce7-9dae-20c8e14be834,Pool,22,1,0.31,,30,,,,70,60,20,20,,,,,,,,,,,,,0.4,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
24,3293e9af-23c3-4601-983c-89c3b7467a25,Pool,23,1,0.21,,10,,10,,80,30,60,10,,,,,,,,,,,,,0.48,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
25,9e85a4fa-c2de-4e7b-9355-4c09d59a0a59,Pool,24,1,0.25,,10,,,,90,50,50,,,,,,,,,,,,,,0.38,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
26,63db3294-179e-4278-bfcd-6b2a868287e2,Rapid+,26,1,0.24,,20,,10,,80,30,40,30,,,,,,,,,,,,,0.4,,,,,,4b6f3cb1-9635-448d-9551-8fc91a2cf699,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
