ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,39a2c609-3b52-4382-af2b-e06dc7fb311d,0,0.16,0.526,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
2,1b451d65-639f-4a77-acfa-c3de0a06c6bd,0.1,0.21,0.771,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
3,b47b6d60-3b47-4fd9-a588-4e6ce627f0b2,0.2,0.21,0.779,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
4,e80b33c9-71d3-424b-a12f-457f76494915,0.3,0.2,0.986,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
5,ebbd07e0-e56a-4296-b1fc-8e7adf341663,0.4,0.22,0.941,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
6,f3aefcee-af01-4a4c-9241-24e60c1954e2,0.5,0.21,1.175,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
7,3c49b66a-3dbc-48a5-a4e2-29dc92550249,0.6,0.22,0.965,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
8,98c60b62-d3db-428d-869a-6937993873d7,0.7,0.24,0.989,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
9,0d44fa81-24a9-41f9-9e1d-ee55cd99394e,0.8,0.23,0.736,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
10,801af331-6124-4c09-b89e-78a7044384f9,0.9,0.23,0.467,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
11,d435a276-aeea-41fd-875e-51d590e0b4af,1,0.22,0.524,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
12,4e4e2b93-faaa-48be-8725-2ee21b0aeec2,1.1,0.23,0.544,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
13,25ce4706-0ee8-4110-b045-11487063a8ca,1.2,0.2,0.881,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
14,a4082be2-655d-408d-916a-c0fe6a581abd,1.3,0.2,0.853,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
15,4b2a2328-7456-4c30-b884-2408a97d7f64,1.4,0.2,0.756,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
16,5a5e4d8d-b159-42ba-86e3-515f66b8feee,1.5,0.16,0.502,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
17,e2141e4e-363c-4185-9706-7bb2def8bcbb,1.6,0.1,0.173,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
18,81da50e5-4847-4121-940a-b2b536e4bfce,1.7,0.12,0.068,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
19,18f3f580-50a3-4d91-90a0-c82633a52264,1.75,0.07,0.002,5e366f24-ea5e-4da1-8caa-7ce6eab0059f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
20,4ddcd932-9782-45af-b9c0-47cb289865d2,0,0.22,0.45,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
21,2ef3b4ae-9fb1-4973-a66f-9963fd552f50,0.15,0.24,0.278,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
22,ae78ea72-6309-4778-9121-5d6cb5f385bd,0.3,0.24,0.064,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
23,12471f77-f85f-4b0b-879f-e49d285fcd5d,0.45,0.24,0.801,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
24,b59fb065-31aa-4bce-8e20-742c92155d9e,0.6,0.23,0.895,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
25,1469267a-4335-4e40-8be3-ddcd1a3fb1ac,0.75,0.24,0.937,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
26,2baf1277-62a0-431e-83f2-d5751bc60b78,0.9,0.21,0.258,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
27,f7f4e6f9-257d-4c90-997d-3352dedbff32,1.05,0.19,0.558,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
28,6b826527-d6bc-4544-aa01-534ae3decf00,1.2,0.16,0.628,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
29,fab2b773-e1e2-41da-a098-07b55a008734,1.35,0.14,0.596,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
30,e52e8c51-8f97-40c2-80e6-594e7e9d9dd5,1.5,0.12,0.548,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
31,658033cd-4348-4326-b1f5-d2e844ca966d,1.65,0.1,0.463,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
32,be3ad075-99d0-461a-a39d-0cfbd35f5e3a,1.8,0.08,0.522,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
33,048a31ea-df44-4b8f-b076-465955f0f525,1.95,0.08,0.218,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
34,53bcda58-397b-4613-82f2-d54aa7640503,2.1,0.07,0.32,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
35,89fbe744-8060-4311-840b-765439ab0bbc,2.25,0.06,0.091,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
36,fd4bff16-81cb-4421-8247-dc1c9bf2aab7,2.4,0.02,0,bb065f15-a52f-4c7e-9d64-4ae3aa9c5a47,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
