ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,c0166b15-dbb0-49d6-a4c3-8cb65d6233fd,1,Left_Bank,1.4,0.28,0.29,0.35,430cd589-0980-4dcd-817e-3215cdfcf120,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
2,f4907e73-f209-4a96-a99b-529669e9002b,1,Left_Bank,2.2,0.26,0.67,0.39,8eee9d4c-e0ab-4ea6-adfd-554ca4add269,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
3,12a1b238-2a8c-4324-a8aa-8682e3204e77,1,Right_Bank,2.75,0.27,0.31,0.53,49b85122-7310-4093-9f6c-61ca82640494,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
4,f1453919-e65b-4559-987f-ea7f2147fa45,1,Right_Bank,1.06,0.22,0.43,0.42,c9016314-7da2-47c4-9fdf-b3de78244998,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
5,a0f2fa3c-13c6-4815-867c-ade6c34617a9,1,Right_Bank,1.8,0.55,0.58,0.31,221f35c7-130e-460e-a84f-69fbb2ff79e1,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
6,ced92071-c09f-414c-aa0a-5717a52bfda0,1,Right_Bank,3,0.26,0.37,0.25,28238a07-7ced-4ce7-9dae-20c8e14be834,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
7,97ba75e5-7b83-4067-929a-82499fcabc75,1,Right_Bank,1.5,0.26,0.46,0.4,3293e9af-23c3-4601-983c-89c3b7467a25,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
8,42714171-1a49-4a87-a2d1-0744a7e9b9a5,1,Right_Bank,1.6,0.43,0.25,0.46,9e85a4fa-c2de-4e7b-9355-4c09d59a0a59,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
9,e17781a6-26c1-46ee-8e03-a283b36e5cec,1,Left_Bank,1,0.2,0.27,0.32,63db3294-179e-4278-bfcd-6b2a868287e2,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
10,09d9717e-67b1-4853-87b7-56202b3c3762,1,Right_Bank,1.8,0.35,0.32,0.6,ff7e331c-c715-414e-8e1f-1296542082bb,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
11,e397a87e-bfcf-42af-b44f-8d4fdc1636d9,1,Left_Bank,2.4,0.26,0.33,0.34,76098492-5d51-4328-afec-3da657cd0080,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
12,228558b6-2ace-4c86-ba5a-d75ce22fec3a,1,Left_Bank,1.2,0.26,0.35,0.3,25cdc16c-372a-48b7-98d0-020652def1c9,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
