ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,b455fcae-09dd-4cd0-b379-e60330555e92,1,2.02,0.16,Yes,Yes,Yes,da0d4b3c-b49e-4756-8d45-aa784b18c172,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
2,0e9685b4-130e-4108-8633-2e17f30101d3,2,2.77,0.15,Yes,Yes,Yes,da0d4b3c-b49e-4756-8d45-aa784b18c172,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
3,21b6a493-3c93-457c-bd45-9871e1ad564d,1,1.8,0.15,Yes,Yes,Yes,49b85122-7310-4093-9f6c-61ca82640494,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
4,57505445-afe9-4f8b-b1bc-7afabf6901c2,1,5.7,0.23,No,No,No,5ff8034b-690b-47bb-abc1-71ccb31f6b17,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
5,a8662f5a-26f6-4ef2-91a5-7ea41bbf8d3c,2,6.8,0.17,No,No,No,5ff8034b-690b-47bb-abc1-71ccb31f6b17,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
6,be80d8d2-9ab6-4cbf-89f2-4b0c69468ec8,1,5.3,0.15,Yes,Yes,Yes,221f35c7-130e-460e-a84f-69fbb2ff79e1,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
7,64861291-f485-41ed-8968-4e95f9ff573c,1,6.8,0.21,No,No,No,22330b09-2b08-443c-aaa8-acf7ade2b51f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
8,ee5e2f18-2f24-477f-b8b1-661cca3edfe0,1,1.7,0.15,Yes,No,No,22e6c3d4-3240-454e-a675-cb55544af81f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
9,d1137430-f413-42e4-8c5c-f55cfc410798,1,4.66,0.16,Yes,No,No,101554ef-3f66-4c82-8127-fb925b15111f,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
10,ac1082bf-c9dc-4ee4-8ba7-7f27c71e5daf,1,3.8,0.15,No,No,Yes,3293e9af-23c3-4601-983c-89c3b7467a25,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
11,bc88d67b-013d-4795-ab69-16f1a6af0e21,1,3.5,0.22,Yes,Yes,Yes,63db3294-179e-4278-bfcd-6b2a868287e2,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
12,8119bce7-183f-4dee-a546-b34d02c32ec3,2,5,0.17,Yes,Yes,No,63db3294-179e-4278-bfcd-6b2a868287e2,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
13,15ee72fe-cba6-4ef6-8522-16436ab5e9ec,1,3,0.15,No,No,No,9c1e871f-9290-4b6a-9744-7017229350d3,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
14,5b39ee08-db17-4370-a283-03154dff5ec3,2,4.25,0.17,Yes,Yes,No,9c1e871f-9290-4b6a-9744-7017229350d3,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
15,6cf8f5e7-9175-4637-9cda-45ee861f46d2,1,7,0.35,No,No,Yes,ff7e331c-c715-414e-8e1f-1296542082bb,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
16,b7ed7edc-a601-4397-ab05-cd32076c2675,2,3,0.15,Yes,Yes,Yes,ff7e331c-c715-414e-8e1f-1296542082bb,7/18/2019 20:43,richie@qcinc.org,7/18/2019 20:43,richie@qcinc.org
