ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,28d76544-64a0-47ce-833e-25158ed51ee1,Riffle,1,1,0.39,,10,,10,,90,,,,,0.06,0.06,9.65,38.5,77,309,437,77,54.5,618,27.3,0.55,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
2,e69ccb7f-a09e-48d2-8335-d84165fbc29b,SSC,2,2,0.2,,10,,10,,80,10,30,50,10,,,,,,,,,,,,0.37,2.67,4.32,5.29,1.87,3.71,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
3,5ff00f56-1dc9-44e5-9538-69c29f75afcc,Pool,3,1,0.33,,20,,20,,80,40,20,20,20,,,,,,,,,,,,0.81,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
4,5571f352-4515-4a49-938b-eb3f1b4a3dda,Riffle,4,1,0.36,,30,,20,,70,,,,,0.06,9.65,19.3,54.5,218,77,218,13.65,218,77,109,0.4,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
5,2aca1813-186a-4131-add1-2763e37abbe4,Run,5,1,0.38,,10,,10,,90,20,30,30,20,,,,,,,,,,,,0.4,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
6,15105290-54fd-4d1d-b044-3aa812096070,Riffle,6,1,0.18,,10,,10,,90,20,30,30,20,,,,,,,,,,,,0.49,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
7,37c67bfb-d40e-476c-8ffc-3c007930f8de,Pool,7,1,0.4,,30,,30,,70,40,20,20,20,,,,,,,,,,,,0.92,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
8,5476daab-7406-4cbf-9323-61cfea8e182c,Pool,8,1,0.4,,,,10,,90,40,20,20,20,,,,,,,,,,,,1,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
9,844638b7-e540-4211-a9e0-751361db1042,SSC,9,3,0.08,,50,,80,,20,30,20,30,20,,,,,,,,,,,,0.25,2.53,1.48,6,3.2,2.6,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
10,73055795-0cb3-46ab-9a46-c5ba5adf510e,Riffle,10,1,0.28,,,,20,,80,,,,,54.5,309,309,109,77,437,109,109,309,218,154,0.54,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
11,2ff5e7ec-570d-4773-89c9-214a8a748640,Run,11,1,0.31,,10,,10,,90,20,20,40,20,,,,,,,,,,,,0.62,,,,,,158b6a34-5643-4087-815f-c174214c2bfd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
