ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e46760b1-27ed-4542-a88f-3c8b16fdb93c,0,0.19,0.596,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
2,84e12fee-1a4f-4e50-8d7b-20ac58749e70,0.5,0.16,0.434,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
3,17da4fb1-165b-4233-a1d2-6582ae03922f,1,0.23,0.885,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
4,4d00faba-2454-4658-b512-27dbe4dde99d,1.5,0.12,0.548,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
5,f86351ea-46a1-485f-9983-cdd201814120,2,0.18,0.276,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
6,5ecde6ee-3d88-4d57-97c7-70e0d0c06a00,2.5,0.18,0.287,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
7,bd45566d-e572-4614-a2fc-885562d2c593,3,0.23,0.327,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
8,4f202e23-9614-43b1-af9e-a7a9f47a6bf3,3.5,0.36,0.221,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
9,16362a33-2ee7-4b40-b04a-69050ea0f391,4,0.22,0.796,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
10,890a1787-bdcd-4126-85a8-7f0264e3817e,4.5,0.12,0.67,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
11,491aa882-7a57-4b51-af45-eb98c58a3c7c,5,0.3,0.369,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
12,c39fa664-5446-4498-93ce-b542c76e2306,5.5,0.28,0.876,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
13,ff237962-04cc-4fc1-ac0d-1e934abcc7e6,6,0.26,0.48,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
14,71b1e57b-2c5d-4083-9245-59d8d0792f09,6.5,0.24,0.749,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
15,50fbcf8d-d0a3-454a-afbd-26bb052ef267,7,0.12,0.385,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
16,f85ccf1f-5d54-4339-baa6-d0eedad51140,7.5,0.1,0.975,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
17,f4bbbc8b-9046-4855-be2a-69cda9297e96,8,0.16,0.255,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
18,de80351b-05c5-4652-b85e-057dcef79cc5,8.5,0.08,0.072,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
19,c503d511-9328-4994-9cb9-9dc6c7385010,9,0.07,0.611,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
20,79d68dbe-ef08-4c25-9126-19bd7ed837ab,9.5,0.08,0.403,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
21,63c177be-61cb-4f45-9fab-157cbb1e6c3a,10,0.08,0.18,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
22,f7c2157e-d098-40a7-82d8-bd11f52ac12d,10.5,0.04,0.258,24d3c084-9742-41f4-96ee-8041f5fffd2b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
23,db70116e-1a31-4243-a6b2-e603389de0f6,0,0.01,0.067,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
24,e39bca37-550d-4f93-9538-ea8b742655e4,0.4,0.02,0.18,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
25,5294871f-def7-4a24-97fa-a39c8ccc6df6,0.8,0.09,0.294,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
26,7669a0f5-e4ad-4e24-86aa-4939046c0dbc,1.2,0.16,0.15,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
27,6e79cefa-d3ed-4aca-ba52-8e6a428d18bf,1.6,0.2,0.427,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
28,04d0376f-d676-4f0b-a55b-83485debd74f,2,0.28,0.423,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
29,aeab9cb5-264b-4b0a-8a59-acd0a98d6148,2.4,0.34,0.42,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
30,341e18ce-3043-4ccc-9b07-74fa567a78db,2.8,0.34,0.324,de6acf95-5b8e-4b2e-8148-76fd79254eb2,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
