ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e7cce1be-e4ee-4364-bda1-d98178858b6b,10,6,0.75,5,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
2,72750af2-0252-426c-b0ad-0d1f627b8e3c,8,8,1.6,10,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
3,61b2a254-8213-4702-a570-94068dcffb91,6,4,0.65,5,5571f352-4515-4a49-938b-eb3f1b4a3dda,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
4,c5c71c53-5735-4d32-8c86-d6d35137f7f0,12,7,3,25,5476daab-7406-4cbf-9323-61cfea8e182c,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
5,9582b1c0-c66c-4e62-800b-f8bee1d18bf8,5,12,1.5,28,844638b7-e540-4211-a9e0-751361db1042,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
6,3bd3afda-2a7e-424d-9141-5a0c67b2c80f,10,3,2,10,73055795-0cb3-46ab-9a46-c5ba5adf510e,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
7,195938b3-b850-45d9-b3b2-861066907f60,8,6,1,6,78e6913e-3d0a-4a94-ae74-0444445849cb,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
8,54577206-ccb1-4923-a599-f312a73e7fe5,8,4,2.5,11,c6085dd1-79a4-4a54-a1c0-0b1e049f7198,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
9,ce506473-8894-4ae3-b5f3-f13ca48fc48b,9,5,2,18,aa7242df-7cec-48bb-a07d-4131ece0ca1f,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
10,5e3030fb-0a4c-4acb-ba18-0eba11fe6678,35,16,4.5,50,7d074592-7117-4f9c-8426-d280aa463fbd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
11,72e34f1d-257d-4abc-b337-42884e0385fa,5,3.5,1,5,5ac3575b-0bd4-4b1a-94a5-bc1d99563122,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
12,31d95bc1-9a8e-4cc8-a5e1-62df2c41c181,20,5,2,25,1138c79e-8549-488d-8872-424fd0da04dd,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
13,a1fd39df-74f5-4e5c-a2c4-26dca95d08e6,12,4,2,7,91fdbd72-95d1-4ac8-b34d-dc9a8730593b,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
14,3e0ce34f-e031-40a3-98f2-9a4b236191ad,3.5,3,1.25,5,300e2e64-2b96-44f8-8747-8a72e66d0433,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
15,46075083-107c-4a7c-a3f0-3844797b8099,7,1.5,1.5,7,2448565e-58f8-4abc-8a48-63cd378a1219,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
16,7fcc4c4d-e62c-4a76-b546-adfa551a864f,8,4,1.75,12,2189581b-9f39-4795-8bf8-4b998e67a054,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
17,3941f41e-264a-4176-a8a8-1d0e9b490d75,10,1.5,2,7,7eb02d2f-51e3-4811-8f37-e53ffcf0e47f,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
18,de281404-db62-469f-a3ea-c545ad04b390,5,4,2,7,3ab1d2cc-a916-4af1-a2bf-18bfb23366be,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
19,d1ff4871-0095-4766-ac14-c1da5630c923,10,3,2,8,8afc57bd-fc77-44f4-8d6f-0deeca8fd174,9/9/2019 22:23,richie@qcinc.org,9/9/2019 22:23,richie@qcinc.org
