ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,a49e4f0d-d036-4d7e-90fc-3212eb16ec9c,1,2,.15,Yes,No,Yes,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
2,7da57b16-9528-42f8-ab5f-3220ef7d02c9,2,10,.24,Yes,No,No,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
3,94d8c5bd-3ea6-4cc4-aca0-ea03cc18d2ba,3,20,.18,No,No,No,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
4,21f85858-5779-4780-af18-f2b7f1e81314,4,8,.3,No,No,No,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
5,e4a3936a-ba93-4210-a1a4-89555933f18b,5,3.2,.45,Yes,No,Yes,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
6,31a84f94-3dd2-428f-afe0-08ced70440ce,6,3,.24,Yes,No,No,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
7,d147b3f0-b3d1-40a8-bdf5-5271dcfb3693,7,4,.32,Yes,Yes,Yes,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
8,1cc538d5-b6fa-4693-9262-4c7aa8aa376d,8,12,.22,Yes,No,Yes,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
9,134cdc23-de8f-4f72-85c5-c63dc14df9f9,9,3,.21,No,No,No,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
10,de1fef8a-47c4-4486-b4b7-b0fa0a72ab27,10,7,.58,No,No,Yes,28d76544-64a0-47ce-833e-25158ed51ee1,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
11,8be3e12b-51b7-459a-ae8a-c281bba21d22,1,6,.24,Yes,Yes,No,5571f352-4515-4a49-938b-eb3f1b4a3dda,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
12,67cdbaf2-cb31-4814-90d0-a8e99034b2aa,2,13,.6,No,No,Yes,5571f352-4515-4a49-938b-eb3f1b4a3dda,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
13,5a6877a7-93ca-4f88-b08e-21121a72899d,1,1.7,.42,Yes,No,No,15105290-54fd-4d1d-b044-3aa812096070,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
14,bf38c253-db1d-4c4a-8937-10351fffcc8c,2,6,.68,Yes,Yes,Yes,15105290-54fd-4d1d-b044-3aa812096070,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
15,b0fc7cdf-1e06-4e88-aaeb-5fd8af22c272,3,6,.8,No,No,Yes,15105290-54fd-4d1d-b044-3aa812096070,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
16,25056e51-4f47-4369-99e9-5cbbf79eb755,1,2.7,.24,Yes,No,No,73055795-0cb3-46ab-9a46-c5ba5adf510e,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
17,e2e319ac-4848-4489-8db5-fc017d498b56,2,5,.29,No,No,No,73055795-0cb3-46ab-9a46-c5ba5adf510e,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
18,ff742328-e6e9-4408-9b59-6b70bf8106dc,3,5,.9,Yes,Yes,Yes,73055795-0cb3-46ab-9a46-c5ba5adf510e,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
19,c06effde-7b00-4581-935e-cb9fa34d6d80,1,6,.26,Yes,No,No,644a315a-dde3-4507-9ee4-bd0169899859,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
20,81dc64f1-8bea-4b9d-9e0e-758ecc865cd1,1,10,.25,No,No,No,d3b89088-bbf2-45cd-81bf-aae7ec761ab9,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
21,f98a31fc-ca91-4d08-a8f7-5bc34f59f527,1,8,.18,Yes,No,Yes,389c2c80-540d-417f-8500-3632589caa99,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
22,0818a397-7769-40ff-979f-e799b549bf03,2,5,.26,Yes,No,No,389c2c80-540d-417f-8500-3632589caa99,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
23,2b52674d-dc82-4dde-9862-94b6ff337428,1,7,.23,Yes,No,Yes,d2483d5d-8682-4db4-a703-5526ac32e7c3,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
24,67c62321-64c2-43b8-9db9-3d48267ea777,2,4.5,.27,No,No,No,d2483d5d-8682-4db4-a703-5526ac32e7c3,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
25,3532b5e4-9fff-44b8-9fb5-7c6d1151756e,3,4,.16,No,No,No,d2483d5d-8682-4db4-a703-5526ac32e7c3,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
26,805b4241-cd30-4a61-9710-4cd3f42e065c,3,2.5,.18,No,No,No,d2483d5d-8682-4db4-a703-5526ac32e7c3,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
27,41022f13-7901-4b2b-9a3f-1cc2d5d7d0f5,1,4.5,.24,Yes,No,No,a7da354e-7336-41a4-a939-227ca081331a,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
28,f20336ab-ba03-40ef-8f21-83f7fefe5667,2,10,.55,No,No,No,a7da354e-7336-41a4-a939-227ca081331a,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
29,c3cda243-4a1a-42c6-9918-9a59ba671685,1,2,.18,No,No,No,c6085dd1-79a4-4a54-a1c0-0b1e049f7198,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
30,23d31e2e-d6b0-44a7-8d81-0e17eb3fab5c,1,14,.69,Yes,No,Yes,aa7242df-7cec-48bb-a07d-4131ece0ca1f,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
31,6cf325e0-4168-4d5d-8f78-e281fa258196,2,20,.91,Yes,No,Yes,aa7242df-7cec-48bb-a07d-4131ece0ca1f,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
32,dceaed92-7f29-48bb-81ba-46c37b0e1468,1,7.5,.33,Yes,No,No,12f3fd56-f74d-4525-9abb-3dff0a08ba11,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
33,31972ecb-2d28-49fb-8747-96fe760ece5f,2,5,.35,Yes,No,No,12f3fd56-f74d-4525-9abb-3dff0a08ba11,9/9/2019 10:23:36 PM,richie@qcinc.org,9/9/2019 10:23:36 PM,richie@qcinc.org
