ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,a0a7f131-18e5-40c2-9b77-fe27ff1bf284,Pool,1,1,0.14,,30,,20,,60,50,40,10,,,,,,,,,,,,,0.35,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
2,4524b3eb-17da-4105-a693-3b595ddd9af1,Riffle,2,1,0.25,,70,,,,30,,,,,19.3,6.85,19.3,27.3,77,77,27.3,109,3,0.06,0.06,0.25,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
3,ccbfb236-0563-42d5-a82b-aa4d4bfe5b0d,Pool,3,1,0.21,,80,,,,20,50,40,10,,,,,,,,,,,,,0.31,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
4,8836174f-6771-42b6-8220-853f5a141560,Riffle,4,1,0.25,,40,,10,,60,,,,,0.06,0.06,3,218,154,38.5,38.5,77,1.03,109,0.06,0.25,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
5,36653333-0e6e-4527-a609-9b6bcb0b3faa,Pool,5,1,0.16,,50,,20,,40,60,40,,,,,,,,,,,,,,0.34,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
6,a36bb793-8f92-4de1-a88d-6b96a6583fa6,Riffle,6,1,0.23,,40,,20,,50,,,,,6.85,13.65,13.65,27.3,77,19.3,54.5,27.3,6.85,6.85,0.06,0.23,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
7,88bb4d56-8746-48d4-904a-117529955c3b,SSC,7,2,0.02,,20,,10,,80,60,30,10,,,,,,,,,,,,,0.19,0.76,0.45,0.91,0.67,1.24,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
8,727f151d-1399-43d8-8b32-5064a9f3c07f,Pool,8,1,0.2,,,,,,,40,50,10,,,,,,,,,,,,,0.42,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
9,2572520d-3f74-4c57-8b91-b1568dd33f81,Riffle,9,1,0.17,,40,,40,,30,,,,,1.03,13.65,38.5,77,54.5,27.3,19.3,19.3,38.5,27.3,19.3,0.3,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
10,23b7b24a-032e-4fb3-a818-389d548bbf54,Pool,10,1,0.16,,40,,,,60,80,20,,,,,,,,,,,,,,0.48,,,,,,c112afef-7423-445e-8dff-4e501a256092,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
