ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,a9f74a0d-cf4b-49f0-b0d6-ae0cc91632be,5,3.5,1.5,6,74652fb7-28ba-4c91-8574-fb961428aa88,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
2,964b2e18-0e80-485a-8938-81c718d6736a,4.5,3,0.8,11,dc89ab32-e60b-42c0-b667-37acb0217602,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
3,00cda0e5-cf55-4215-b144-3166e881be2a,8,4,1.1,6,cf5c93b7-4fe9-4008-9d62-d28d10436c38,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
4,42bab454-a60c-4b85-9a38-db70cb14918c,3,3,0.65,6,d13703ff-fa48-40b5-97d2-a7a92b74b656,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
5,a4ec5091-055e-48df-bf57-cd60749a2944,5,4,1.5,10,8f6604c5-f25b-4b3f-87f7-ff36c8c0e31e,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
6,b487e28c-6cc9-4fdd-ae5f-407ae9bdb8b6,5,4,1.2,9,ab5b096f-a7b2-4d3b-9e18-f7829de0114a,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
7,ac82eb0d-5249-4bf0-9a2d-77d0506a056d,4,4,1,6,e2c941ec-a17e-4590-b149-16ae5d18cc97,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
8,7c875566-5bcc-41a8-8c7e-266f193e4a77,4,3,1.25,6,30dd6c6e-ea9d-4b5d-99da-b74cab5c9e42,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
9,e565f5da-2a53-4520-b81e-051b748ffe73,7,8,1.35,10,f0bba8e5-5229-489d-9ca5-efd04b28141c,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
10,d08d5914-f6bf-455a-85ce-c0d9f7e1db38,10,4,1.3,6,19c10875-f1a1-441d-bdb2-6f586759995c,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
11,3122a1d6-dd94-4387-b898-93389ff013cb,8,3,1,6,c45881d0-1ce8-453e-aa24-c93ae1b9f927,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
