ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,83bbce49-eba2-43b1-bd29-343a51eff531,1,Right_Bank,1.5,0.35,0.48,0.42,4524b3eb-17da-4105-a693-3b595ddd9af1,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
2,1f1f6b3c-0973-4345-b666-abdf59619566,1,Right_Bank,1.6,0.25,0.62,0.5,ccbfb236-0563-42d5-a82b-aa4d4bfe5b0d,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
3,630d3161-a540-428c-94d4-dadcb98cba89,1,"Right_Bank,Left_Bank",1.6,0.38,0.5,0.32,36653333-0e6e-4527-a609-9b6bcb0b3faa,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
4,55d7e161-fa9c-42b0-a693-98a4e2b93b1d,2,Right_Bank,3.4,1,0.5,0.5,36653333-0e6e-4527-a609-9b6bcb0b3faa,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
5,ac6078de-a596-4690-9b43-271a755c518e,1,Right_Bank,2.2,0.38,0.46,0.4,727f151d-1399-43d8-8b32-5064a9f3c07f,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
6,3ef6fcd7-a497-45ad-903b-31e9da77e4e8,1,Left_Bank,4.8,0.62,0.33,0.32,e0f6f8c9-0a04-486e-9408-db158199f56a,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
7,d77e070d-1370-4a9d-aa2d-38201edd04f1,1,Right_Bank,3.5,0.51,0.4,0.32,ae3da150-2451-442a-863d-55b07593e59b,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
8,542c020e-a0c5-4080-b51f-19c12e6394cb,1,Left_Bank,5.2,0.28,0.82,0.31,88187270-b870-41a8-844b-5ca87f33194d,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
9,2649a1c7-6263-440a-bd8c-136a94e8380d,1,Left_Bank,3.2,0.5,1.02,0.46,62e6d76a-42ec-4554-b5a1-ecce9fa95561,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
10,e988a761-6925-4707-a2e2-8f46280b4891,1,Right_Bank,3.3,0.32,0.51,0.4,f95d0366-b37b-4aed-a46d-02204ef5614d,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
11,ec796c5b-ee0e-4e16-a80e-51c536b1f646,1,Left_Bank,2,0.29,0.52,0.43,7dc067d6-62ec-4de0-aef0-4f2227187803,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
12,2520f267-7762-45d1-9363-0460d1b55504,1,Right_Bank,2,0.2,0.56,0.6,6c6d95a8-4d55-45f0-9888-9d399e0141b0,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
13,6c507827-2bb9-4a9a-b8e0-c04943bfc1df,1,Left_Bank,3,0.43,0.35,0.52,d3885be0-a169-49ca-a9c8-6fafde8ec0fa,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
14,d18d448b-0dcd-4b54-86f3-2d40c50f689e,1,Left_Bank,2,0.8,1.4,0.76,d3d4e62b-f059-4093-a01b-7d2642d4a4c5,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
15,e2d3f38d-7d4e-40e7-b9a9-97728f4d8702,1,Right_Bank,3,0.56,0.2,0.2,2d8afa18-2ec2-40bf-8a20-224df4f99751,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
16,65373214-52f5-4ae3-9bed-11023b44d793,1,Right_Bank,3,0.26,0.38,0.31,a0a7a89d-6d24-4276-b895-c2981d1c985f,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
17,14cc3880-3005-41e1-b110-c619b66dc406,1,Left_Bank,2,0.26,0.38,0.38,06a7ddd4-3585-4cd0-9dfd-41217daa0a15,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
18,b93a76b1-235b-4d7b-9eee-cb74462eac3a,1,Left_Bank,1.5,0.42,0.48,0.37,0b9697a4-02ac-493d-b95a-5d63640c67e3,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
19,c297fa4e-b7c1-4236-b4cd-9a3a4f817e59,1,Left_Bank,4.5,0.54,0.29,0.52,ff7eb9d4-6264-491a-8506-fcd1f55071aa,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
20,99f9dbed-49e9-4d48-9910-f81e2911c988,1,Right_Bank,2,0.63,0.81,0.45,122d24c6-a26f-44bb-ad56-389716d1343f,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
21,ca7a6baf-f3c4-474c-9451-4aa269202706,1,Left_Bank,3,0.31,0.54,0.59,1a797615-1cef-472b-bc2c-d159559113a7,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
22,be2fa49d-25a6-4c21-b0b0-250f349acb4c,1,Left_Bank,3,0.42,0.5,0.63,4fe3d8f6-0e81-4ad7-b3c6-87fab94d113b,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
