ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,63ccd273-ecd0-404a-87b2-815524854cda,1,5,0.49,No,No,Yes,8836174f-6771-42b6-8220-853f5a141560,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
2,23fc28a2-2a6d-4061-b774-d04219179787,1,4.2,0.23,No,No,Yes,9b76c215-178c-4ef2-97ff-ac4e9a9b5c24,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
3,cede8dd7-ef8c-49e4-8ed9-ab179d1eed10,2,2.9,0.28,Yes,No,No,9b76c215-178c-4ef2-97ff-ac4e9a9b5c24,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
4,45609f97-1b34-457c-9709-899669db35e6,1,3.4,0.18,Yes,Yes,Yes,efcf8c39-b8a3-4d63-85bc-37bfc2fe5307,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
5,36fb1db5-9d1e-44b2-998a-f7b9111fd54c,2,3.4,0.41,Yes,Yes,Yes,efcf8c39-b8a3-4d63-85bc-37bfc2fe5307,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
6,904effb8-00ec-450d-903b-4ef3bb32c6c2,1,3.6,0.18,Yes,No,No,bc3569ea-cab6-45da-a49d-e0db1b20e25a,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
7,28706fb5-e2a4-444f-8d16-9157894f39de,1,4.2,0.19,Yes,No,No,40d64b48-069c-4ad8-bf41-1d8ed9c576dd,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
8,c40c0630-8317-444a-a953-51c0b4afb994,2,5.6,0.17,Yes,No,No,40d64b48-069c-4ad8-bf41-1d8ed9c576dd,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
9,f228a075-dcfc-4ad0-88a2-92f60120caa0,1,4.2,0.18,No,No,No,c60c8e3d-73c1-4ee4-b835-99d0a4723f71,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
10,51746eca-14a5-4813-9576-673876ad5c83,1,3.8,0.21,Yes,No,No,b789b0e8-42fd-4272-a39d-33713f68337f,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
11,fc7bc202-d29f-4eca-8dd8-e22ff6bc96e0,1,4.2,0.34,No,No,Yes,7e1d1c2f-a754-4372-a6b0-25d2363cebc2,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
12,8a25b555-edfe-468a-aab5-4947f64ce4f8,1,2.4,0.32,Yes,No,Yes,157b3140-faa8-4581-9012-587293706a7c,8/29/2019 22:25,richie@qcinc.org,8/29/2019 22:25,richie@qcinc.org
