ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,8f32c4ec-3c56-4f73-a5c9-95a063a5a688,0,0.02,0.091,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
2,7e339c7d-62ad-4892-a2ee-b88945377fef,0.15,0.04,0.178,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
3,dc289c2d-3cd1-47a0-bd55-2ec6ce515e4f,0.3,0.05,0.185,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
4,2dd361f1-d3a9-4fbd-8cb3-796febbc720e,0.45,0.06,0.269,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
5,bea43730-9571-4b3d-860e-3ac9a26f42ef,0.6,0.04,0.463,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
6,acd0ceab-a2f7-4b1f-99b1-2d2252c1088a,0.75,0.08,0.605,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
7,fa984976-0f34-4c96-a7bf-032291babfd5,0.9,0.08,0.455,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
8,6c9aed47-c554-46cf-a019-2fd6e250238a,1.05,0.09,0.487,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
9,5fc7c983-0cea-4009-901f-ad74a4a63ce9,1.2,0.06,0.566,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
10,ae5f5e4c-4da9-41fb-8e7d-b6b11e33ac95,1.35,0.08,0.312,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
11,67c9b499-ef56-4f78-88ff-6225993883c2,1.5,0.07,0.388,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
12,b6e07352-ed2c-475c-a173-158eb572085c,1.65,0.07,0.167,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
13,7bc64cfc-c406-47a3-9726-ce33c8c6d449,1.8,0.05,0.117,85e1bf26-037f-4504-bd12-ad137ef720dd,8/27/2019 9:42:20 PM,richie@qcinc.org,8/27/2019 9:42:20 PM,richie@qcinc.org
