ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Maximum Depth (m),Thalweg Exit Depth (m),Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor
4,f0697c96-0a44-44d5-9bb2-a95fd72d046e,Riffle,1,1,0.4,0.29,0.2,0.2,,,0.7,38.5,38.5,27.3,27.3,13.65,27.3,19.3,19.3,19.3,9.65,4.85,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
5,09f580cc-e02f-409a-a54e-3b7b020c4f42,Pool,2,1,0.56,0.26,0.1,0.2,0.1,,0.7,,,,,,,,,,,,90,10,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
6,0abed8a8-f758-4b48-a788-7bbbc6a40e80,Riffle,3,1,0.3,0.27,0.1,,,0.1,0.8,27.3,9.65,9.65,38.5,19.3,19.3,19.3,13.65,19.3,9.65,9.65,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
7,5800a34d-e34b-47ad-95bd-8756b81ecaef,Run,4,1,0.31,0.29,0.4,0.1,,,0.6,,,,,,,,,,,,70,30,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
8,bb49b5e4-85c9-4fe0-9454-db4f8eb5e732,Pool,5,1,0.95,0.36,0.1,,,,0.9,,,,,,,,,,,,80,20,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
9,909c57a9-eafe-4335-aaa0-b4e149403a04,Riffle,6,1,0.34,0.34,0.2,0.1,,,0.8,0.06,27.3,13.65,13.65,6.85,27.3,19.3,27.3,13.65,4.85,13.65,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
10,5f567956-11e1-4202-a180-5f4c772deaba,Pool,7,1,0.58,0.22,0.1,0.1,0.1,,0.8,,,,,,,,,,,,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
11,1697a8a0-b5b5-46f5-af57-ba1cd44e0723,Run,8,1,0.42,0.32,0.3,,,,0.7,,,,,,,,,,,,60,40,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
12,e2462e56-51e5-4ff1-9f00-b24e678f3687,Pool,9,1,0.7,0.3,0.1,,0.3,,0.6,,,,,,,,,,,,80,20,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
13,8ac36e9d-3e28-49f4-9e73-dc2a15584483,Riffle,10,1,0.33,0.32,0.2,0.1,,,0.8,0.06,0.06,77,38.5,1.03,13.65,1.03,38.5,27.3,4.85,1.03,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
14,3af98b02-fdda-4672-91fe-1b877afe0542,Pool,11,1,0.57,0.33,0.1,,0.2,,0.7,,,,,,,,,,,,80,20,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
15,922e3a7f-1d44-499e-ae99-cee499530bab,Riffle,12,1,0.39,0.36,0.1,0.1,,,0.8,1.03,9.65,13.65,0.06,54.5,27.3,19.3,27.3,9.65,9.65,9.65,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
16,17c63cc2-d88f-40fd-b4cf-f3c61bed9ca3,Pool,13,1,0.6,0.29,0.1,,,,0.9,,,,,,,,,,,,30,50,20,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
17,eb518f82-7954-4413-92f1-efda8f357e44,Riffle,14,1,0.4,0.4,0.1,0.1,,,0.8,4.85,13.65,1.03,13.65,38.5,38.5,27.3,6.85,19.3,38.5,0.06,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
18,b9d36cae-d5e0-4197-9e94-3d1e381a2db0,Pool,15,1,0.56,0.31,0.3,,,,0.7,,,,,,,,,,,,40,50,10,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
19,bb4f1143-5605-4835-b78f-2bbd85929331,Riffle,16,1,0.39,0.38,0.1,0.1,,0.2,0.7,77,0.06,27.3,13.65,27.3,38.5,3,13.65,13.65,3,9.65,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
20,3c2318a1-612e-4ede-af68-bef43477a3a8,Pool,17,1,0.5,0.22,0.1,,0.1,,0.8,,,,,,,,,,,,80,20,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
21,41a283a8-21ec-4e71-9450-1f160838fb24,Riffle,18,1,0.27,0.27,0.1,,0.1,,0.8,0.06,1.03,19.3,38.5,19.3,1.03,38.5,109,27.3,27.3,13.65,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
22,27cfb3e3-ff5f-46dd-a40e-981701eb38a2,Pool,19,1,0.62,0.24,0.1,,0.4,,0.5,,,,,,,,,,,,80,20,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
23,ef465e11-6daf-4033-8a06-f584a2c83823,Riffle,20,1,0.4,0.2,,,,,0.9,54.5,154,3,19.3,54.5,1.03,109,54.5,3,6.85,19.3,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
24,2607756d-119f-4f6c-80b3-bac27d4d446a,Pool,21,1,0.6,0.32,,,,,1,,,,,,,,,,,,80,10,10,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
25,c66eed17-d71b-497e-9377-b7e837a7693a,Riffle,22,1,0.33,0.25,,0.1,,,0.9,0.06,54.5,1.03,54.5,27.3,3,19.3,19.3,38.5,3,6.85,,,,,8283f953-20ae-4fdd-9e33-feef42407684,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
