ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
9,ec83e157-1548-4453-ae1f-f75f5d17f057,0,0.18,-0.093,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
10,8e874f22-8599-44a4-94fe-acee7c335612,0.1,20,0.078,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
11,c5c197cb-e4c1-4432-8c6d-2688c13dfeaa,0.2,0.18,0.037,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
12,3937adbf-65a0-4a6e-8450-c605e755e0de,0.3,18,0.043,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
13,3cd3ad04-ff4b-4fa0-bdbb-9157aedf24cd,0.4,0.2,0.205,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
14,00f47e11-0a5c-4bc2-868e-f895561ea4dc,0.5,0.21,0.329,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
15,0e6b4faa-dbb8-44b2-9e7f-13040dea819a,0.6,20,0.501,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
16,75d9d1fd-2090-42d9-bf1f-64e311c56a75,0.7,0.22,0.571,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
17,31f37052-ab43-4a0d-9e68-743d632323a0,0.8,0.22,0.673,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
18,a17af796-0365-41e1-8e63-478bdc33d93a,0.9,0.23,0.777,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
19,f9f8b242-5618-4433-84db-5c4f38858b6e,1,0.24,0.773,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
20,25e7fad7-e472-4163-9822-b655620d5007,1.1,0.26,0.579,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
21,64b6a3ce-8bdd-4584-a271-03759a4afca8,1.2,0.26,0.716,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
22,986c2ab7-7f56-4d78-be78-c4e86bfd37b9,1.3,0.26,0.709,21471b0d-abc1-42e8-866f-c0907cb4bffa,5/22/2019 14:16,richie@qcinc.org,5/22/2019 14:16,richie@qcinc.org
