ObjectID	GlobalID	Undercut Number	Location	Length (m)	Width 25% (m)	Width 50% (m)	Width 75% (m)	ParentGlobalID	CreationDate	Creator	EditDate	Editor
3	5337b447-b111-41e3-9314-502c2180e0f2	1	Right_Bank	1.1	0.32	0.27	0.22	17c63cc2-d88f-40fd-b4cf-f3c61bed9ca3	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
4	f27e9865-97c0-48a4-bb30-7e354f87ac03	1	Left_Bank	1.2	0.27	0.3	0.2	1f1cdc69-5376-471e-93d3-eb3326f23949	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
5	ec924708-feec-42f9-aabc-8f224bb6d877		Left_Bank	9	0.23	0.2	0.4	1f6d7f3c-1529-4c7d-ba61-5d27ee9e2860	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
6	e28e3af5-4a2b-4409-bc0a-38d95b14d080		Left_Bank	6	0.23	0.2	0.3	be31e258-e14a-4b20-a248-21ea870243ae	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
7	a9185ac8-0b0c-45ef-abc4-24679e64f58f	1	Left_Bank	1.2	0.2	0.22	0.4	a431dc1d-6e8d-4045-86eb-4bf548aa3c95	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
8	29a19275-98b0-4b95-8661-98b28354cb91	1	Left_Bank	1.5	0.2	0.2	0.25	f64ad7e2-8ff0-4fb0-a8bb-38cb071e09aa	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
9	ef813fcf-2322-4875-981d-34719dcbcd31		Left_Bank	2	0.2	0.25	0.2	a7e86ad5-b4cd-4d25-91d0-7136f969a626	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
10	7b5b1e42-d638-4231-aefe-ea0c0a522aac	1	Left_Bank	1.5	0.25	0.25	0.2	76a654d9-d4c7-4dce-b05e-9f94171e928b	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
11	af30556a-1daf-4846-b531-04d8b8431fda	1	Right_Bank	2	0.2	0.22	0.2	be1f5ddf-a60b-4334-b70d-a7c4b3c3b59f	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
12	5425dc7a-343e-4102-9d78-9cd39ea05e04	2	Left_Bank	3	0.2	0.2	0.22	be1f5ddf-a60b-4334-b70d-a7c4b3c3b59f	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
13	0b1c3db3-3594-4a31-b744-112637a641a7	1	Left_Bank	6	0.3	0.25	0.3	882c9dd9-6fa1-4e81-aecf-1db094a9cec1	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
14	d16ee2cb-d099-4787-ba7c-ac7b4a6421cf	1	Left_Bank	3	0.23	0.2	0.25	d9d96a23-d917-435f-9acf-df95f29f5d07	5/22/2019 14:16	richie@qcinc.org	5/22/2019 14:16	richie@qcinc.org
