ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
3,aff035bc-043d-4ebd-8abd-77a75015c0d6,1,1.22,.33,Yes,Yes,Yes,f0697c96-0a44-44d5-9bb2-a95fd72d046e,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
4,0c229bec-2dfc-46aa-865b-60e8209556ea,1,3.57,.2,Yes,No,Yes,09f580cc-e02f-409a-a54e-3b7b020c4f42,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
5,3338687f-869c-4bd4-bafe-8196cd15c722,2,3,.37,Yes,No,Yes,09f580cc-e02f-409a-a54e-3b7b020c4f42,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
6,d8c16975-b20d-4d2b-99c9-89ee98fb0005,3,1.5,.3,Yes,Yes,No,09f580cc-e02f-409a-a54e-3b7b020c4f42,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
7,8cb41151-0105-4140-958a-3ab61d4d2bdb,1,4,.22,Yes,Yes,Yes,e2462e56-51e5-4ff1-9f00-b24e678f3687,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
8,e1e7acce-fd78-444c-a6f7-626bdd7ada45,2,3.6,.37,Yes,Yes,Yes,e2462e56-51e5-4ff1-9f00-b24e678f3687,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
9,bdc86cc7-e6fd-439c-b07e-b3bc7457e22a,3,2.5,.38,Yes,Yes,Yes,e2462e56-51e5-4ff1-9f00-b24e678f3687,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
10,815ab460-86d4-4cda-9568-b79e8e5a0284,1,1.88,.23,Yes,Yes,Yes,3af98b02-fdda-4672-91fe-1b877afe0542,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
11,be0dba6b-2530-4f85-b3db-e5f4dafd2b8a,2,2.33,.41,Yes,Yes,Yes,3af98b02-fdda-4672-91fe-1b877afe0542,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
12,337591aa-a747-4164-af3b-f62132c40b3b,3,2.9,.2,Yes,Yes,Yes,3af98b02-fdda-4672-91fe-1b877afe0542,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
13,f9e00760-a664-4eec-8112-444b322b54b5,1,2.05,.25,Yes,No,Yes,3c2318a1-612e-4ede-af68-bef43477a3a8,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
14,dd1483c3-db74-492b-88ca-a228508d2e35,1,2.8,.23,Yes,Yes,No,41a283a8-21ec-4e71-9450-1f160838fb24,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
15,739122e8-7dd6-4eaf-abcb-86e833a2e143,1,2.9,.21,Yes,Yes,Yes,27cfb3e3-ff5f-46dd-a40e-981701eb38a2,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
16,22f0a462-df53-45ee-854f-d2e0b3d57d0d,2,2.23,.21,Yes,No,Yes,27cfb3e3-ff5f-46dd-a40e-981701eb38a2,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
17,6004f2fc-33b7-4329-a789-8a3d4695bd83,3,2.62,.35,Yes,Yes,Yes,27cfb3e3-ff5f-46dd-a40e-981701eb38a2,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
18,dd0dcad7-4247-49b3-a26f-1c77e57e629b,1,3.3,.2,Yes,No,Yes,2607756d-119f-4f6c-80b3-bac27d4d446a,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
19,2d30ac9e-a369-4865-9e92-cfe19ece3d4c,1,3.3,.25,Yes,Yes,Yes,734fb6d1-ffc0-4e50-ae83-f3a883e195bf,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
20,5d5cbf9f-7716-48fc-9d18-0a96426c0a45,2,2.8,.15,Yes,No,Yes,734fb6d1-ffc0-4e50-ae83-f3a883e195bf,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
21,05964367-b682-429a-96f4-20606667bbfe,3,2.97,.29,Yes,Yes,Yes,734fb6d1-ffc0-4e50-ae83-f3a883e195bf,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
22,1df786d9-aa81-4e26-a5cc-61fe8c8374c4,1,1.5,.29,Yes,No,Yes,8dbad2ba-f8bd-40f9-8c5a-5e894fceb426,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
23,b67f6594-5d7f-47e5-a2ba-82f319c72566,1,3.5,.21,Yes,Yes,Yes,e1a75d0e-44b8-4544-ad09-e9bc4607f701,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
24,8ec0d0c9-72aa-4ece-b8f6-9fca5e1c8c24,1,3.48,.2,Yes,Yes,Yes,3fd7277c-bfc1-417a-bc5c-3abed667c2d5,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
25,698b0316-cd04-4cda-9432-6920fda59a93,2,2.8,.22,Yes,Yes,Yes,3fd7277c-bfc1-417a-bc5c-3abed667c2d5,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
26,0f35c080-aed6-4139-8379-245c700663a7,1,3.34,.18,Yes,Yes,Yes,5ae23288-6fa9-4cff-bad3-a58c263cff96,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
27,8a52295d-256f-4d95-a03f-f8bbee542637,2,2.8,.32,Yes,Yes,No,5ae23288-6fa9-4cff-bad3-a58c263cff96,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
28,3a5c6349-6adb-4b73-90b5-7e627c406eba,3,3,.15,Yes,Yes,No,5ae23288-6fa9-4cff-bad3-a58c263cff96,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
29,c7c5b4e0-6823-46e1-9ca7-41be24781e9a,1,2.03,.27,Yes,Yes,No,87123d85-9bb0-4bfc-8225-16db7bf3c12c,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
30,5af5c18c-2dba-47d7-9ed7-722308a1159c,1,2.7,.21,Yes,Yes,No,7f65d337-06b7-4411-8474-2a7ce1b50bb6,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
31,556107d2-6cc6-4456-a773-794376123071,1,5.85,.34,Yes,No,Yes,2c7a1ece-8b29-4410-9272-c8e8da74ec9a,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
32,3bab2fd8-e52c-4357-98d5-99de4d48fefd,1,3.2,.23,Yes,Yes,Yes,1150c0c5-d194-4a63-99c1-c1f849b86c60,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
33,635851a0-b75c-461f-9c06-d873ab66bda5,1,3.7,.29,Yes,Yes,Yes,8415a6dd-0308-4cea-bf7a-9cc02db26ce7,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
34,382e257e-6104-4e87-b5b8-91fcc76f07d6,2,2.8,.27,Yes,No,Yes,8415a6dd-0308-4cea-bf7a-9cc02db26ce7,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
35,149bd096-1c36-470a-84a8-e4469d16301b,1,6,.35,Yes,Yes,Yes,bc66871a-dfa5-4633-a116-e8224c9b9d47,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
36,9c7332e5-d90a-474e-a607-25d2c2bca29b,1,9,.25,Yes,No,Yes,099504bf-d6bd-4e91-8f4b-3216d50d4fae,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
37,b66b5d7c-84d2-4dd7-ad38-ee8b1c1c357a,1,1.5,.15,Yes,Yes,Yes,8ac44293-c826-477c-8a2f-c01140d28714,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
38,aab838fc-9f05-4e8a-b203-b5f9f4d0243a,1,3.5,.15,Yes,Yes,No,875a03d8-7a52-4b50-a4b3-e22959deb64e,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
39,21126889-d345-4a20-b8eb-775c0bbc54f2,1,1.5,.25,Yes,No,Yes,8240d7f3-7ad9-4e7f-a8ef-407d54b9fdfe,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
40,964c2d2e-a32e-477e-a54b-cacd8716d8d4,1,2,.2,Yes,Yes,No,dba1f589-55b7-4994-bf17-438b34dba8d3,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
41,c431ee2a-e094-49a9-912e-d5abd48b4338,1,3,.2,Yes,Yes,Yes,b756e6a2-a6af-43f0-8607-5f82a50724ef,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
42,a682bd68-6c00-450e-8790-e3952ee00957,1,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
43,30cb2426-a53e-42e8-9c2d-660d9758724e,2,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
44,54af7961-d70c-4a0c-af6b-790c21ffd8d0,3,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
45,5b1108bf-a1ce-40ed-bb12-4216803344da,4,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
46,81f18bdd-46d0-4ceb-8bfa-50a4e0726556,5,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
47,2daaa95c-2bd0-4434-9dd4-ad8fd7734c34,6,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
48,626c6ab9-8014-47b4-bcb9-220004c18571,7,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
49,cea25e2b-7fb9-4239-8ed8-03faaa6c9b64,8,2,.2,Yes,Yes,Yes,197ed6f4-d5a8-4a9a-a773-fb3dbb6e753f,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
50,8bfda660-addf-4511-9660-5cff259ba6d1,1,2.5,.18,Yes,No,Yes,3ca4924a-ff23-4778-a3fa-f2042560982e,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
51,3f775270-9e07-49c3-846f-eaf4ee8f6693,2,2,.15,Yes,No,Yes,3ca4924a-ff23-4778-a3fa-f2042560982e,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
52,2b0aacc3-d172-40c9-a9f1-0f707daa3279,1,3,.2,No,No,Yes,bb5c52df-be5b-40e9-8a55-3da8d9444c08,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
53,555bbef1-825c-4564-a701-404ae392abe9,2,2,.2,Yes,Yes,Yes,bb5c52df-be5b-40e9-8a55-3da8d9444c08,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
54,875f6ebc-6bf9-42a6-9b28-bf59514b0966,3,2,.2,Yes,Yes,Yes,bb5c52df-be5b-40e9-8a55-3da8d9444c08,5/22/2019 2:16:45 PM,richie@qcinc.org,5/22/2019 2:16:45 PM,richie@qcinc.org
