ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,0312adbe-205b-4e14-a19d-c31fa36aa77c,Pool,1,1,0.58,,10,,,,90,50,30,20,,,,,,,,,,,,,1.2,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
2,dd82788e-4d07-4ef6-9abe-ac4edc8dd0e3,Riffle,2,1,0.43,,,,10,,90,,,,,0.06,154,77,38.5,38.5,154,154,309,109,38.5,1.03,0.54,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
3,22252046-818e-4251-90f5-413d7a9429fc,Pool,3,2,0.4,Jam from CU 2 extends into CU 3. Jam could be assigned to either unit.,20,,40,,40,60,30,10,,,,,,,,,,,,,0.86,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
4,b89c82ab-5a00-4140-ad62-630e9bc1851e,Riffle,4,2,0.35,,,,10,,90,,,,,1.03,109,54.5,38.5,154,154,154,154,218,218,0.06,0.52,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
5,a59deee8-787c-4c3f-a2d2-331cb3594afb,Rapid+,5,2,0.45,,10,,,,90,20,50,30,,,,,,,,,,,,,0.45,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
6,aa4989fd-abbd-429f-bf07-e392c2b65287,Pool,6,2,0.43,,,,,,100,20,60,20,,,,,,,,,,,,,0.67,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
7,358fecb0-07b4-436e-a3b2-66be0664d4eb,Riffle,7,2,0.4,,,,,,100,,,,,154,77,77,154,109,218,109,109,154,77,27.3,0.48,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
8,9c733ae4-818d-4f29-b44f-0d7519e599ec,Rapid+,8,2,0.39,,,10,10,,80,10,50,40,,,,,,,,,,,,,0.55,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
9,e32e9f74-08a9-42f0-9963-c295e57dc7e4,Pool,9,1,0.44,,10,,,,90,50,20,20,10,,,,,,,,,,,,0.68,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
10,80018f28-466b-4611-a2dc-538ad035a1a1,Riffle,10,1,0.53,,,,,,100,,,,,27.3,77,38.5,109,154,309,309,109,38.5,218,54.5,0.75,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
11,a3a03925-ec69-4e3e-a564-5614869ec651,Run,11,1,0.52,,10,,,,90,30,30,30,10,,,,,,,,,,,,0.7,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
12,e8ebe61c-ff72-49cf-b6c3-abc4cb62214c,OCA,12,1,,,10,,10,,80,50,20,20,10,,,,,,,,,,,,0.64,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
13,52130d70-d42a-4ff5-aa3f-2f4814e0b189,Riffle,13,1,0.58,,10,,,,90,,,,,218,309,309,309,218,309,309,309,218,54.5,154,0.92,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
14,7235d9ea-154a-4c55-941b-9e75ac19aa60,Run,14,1,0.5,,10,,,,90,30,30,30,10,,,,,,,,,,,,0.73,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
15,76c18761-2ace-44a3-8b22-616ccceaae98,Riffle,15,1,0.41,,10,,,,90,,,,,154,3,13.65,154,218,154,1.03,54.5,309,437,218,0.52,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
16,0e139156-caf2-4bd4-b1ac-f943eea6bb0d,Rapid+,16,1,0.52,,10,,,,90,20,10,30,40,,,,,,,,,,,,0.52,,,,,,6465ebf7-a8a4-41e8-907f-66b7a769dbdd,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
