ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,20946d9e-3abd-457d-9897-0a02455b3938,0,0.08,-0.003,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
2,488e0dd7-e229-4f68-afe8-17ef61fdb4bd,1.2,0.38,0.421,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
3,d1aad0aa-2b52-4736-8e50-28766f60171e,2.4,0.38,0.819,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
4,50671672-ea12-4620-8d69-9a01d018dd7c,3.6,0.3,0.698,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
5,1877cfc4-6846-4749-9a86-06e704de060e,4.8,0.3,0.473,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
6,0e47db8f-185d-4e2e-a87b-fdf5d350727a,6,0.26,0.956,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
7,9aad2e33-1764-4bfd-b220-00ced47f1b14,7.2,0.34,0.715,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
8,b2731734-98b6-4fae-aa6c-0fd81dcb1901,8.4,0.3,0.425,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
9,0e239a68-64d9-4148-9e50-c5ab11c2c772,9.6,0.26,0.63,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
10,7672bfad-0df9-48aa-91ee-608e6f4ad59b,10.8,0.3,0.537,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
11,d75377af-25b2-4e16-8707-bdb7adab02a8,12,0.26,0.811,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
12,8743e0a6-33f9-46fc-a38f-d5e614022167,13.2,0.28,0.494,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
13,89340bcb-d9e5-4e94-80f8-0746de998b7e,14.4,0.28,0.647,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
14,077c31ab-fb9c-4395-b9a5-a0a83f209b64,15.6,0.44,0.654,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
15,238c6d2d-71f6-42b1-b90b-4dcd85d9cf61,16.8,0.36,0.513,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
16,147246b0-2f11-436b-a948-3408c6b94c10,18,0.32,0.613,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
17,4ccf5338-e3df-4321-921c-5206bfdad578,19.2,0.22,0.685,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
18,979fa32f-55e8-4fb0-8727-070b07792a45,20.4,0.07,0.233,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
19,77c1d73f-5f85-4f1a-8799-b9f124880d22,21.6,0.1,0.119,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
20,f2a1cc25-d88a-42a3-89e9-57af26232fb0,22.8,0.12,0.117,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
21,4d80560d-0986-45e8-b984-b13491815414,23,0.06,0.144,86f44709-67dc-44ab-9f50-edc3726e7115,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
22,2edbaae4-7978-4c6d-928c-ae529398a37d,0,0.08,0,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
23,b1e22a20-e38a-4abd-8fe5-f53e2a5ebbea,0.8,0.16,0.504,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
24,16ff8549-5b9c-4c7a-93bf-a0303df2f47e,1.6,0.22,0.578,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
25,0abb16bb-5261-4f49-86c5-6487962508f2,2.4,0.28,0.721,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
26,a8b76bd8-bfb1-42c0-857e-2ed231c3a05b,3.2,0.3,0.765,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
27,9c01629b-441c-4b11-b4be-358d45618737,4,0.34,0.371,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
28,000593ca-e92c-4738-a8d8-9f69ad16acd8,4.8,0.36,0.734,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
29,10c43351-53e7-4068-a48f-ad3499bbe696,5.6,0.32,0.7,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
30,d51b6315-45c4-4cc9-b06f-0e114dbd0b3b,6.4,0.3,0.822,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
31,ae33c9b0-bb3c-4471-ba85-854a5f654ad4,7.2,0.31,0.762,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
32,7237d560-95a1-4142-8d19-f1b9e9782085,8,0.3,0.798,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
33,a05c0a99-f8c4-43ea-b141-7ebd8d6ee214,8.8,0.34,0.744,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
34,2b0d3ca2-e8c1-40d7-9569-72db834946cd,9.6,0.38,0.735,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
35,d1695140-c1e6-4832-b0df-d902f42bb905,10.4,0.4,0.802,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
36,645f0eb8-2f5c-493f-ba1b-c1c3065fc8ee,11.2,0.22,0.595,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
37,b62a6adb-0ba2-4feb-b223-dfd6d93498db,12,0.3,0.814,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
38,86407dae-acbe-486c-b599-ba7d3309a77f,12.8,0.26,0.071,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
39,bea82d0a-8a02-484a-9623-ff480b95a3df,13.6,0.1,0.015,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
40,4b2df61c-0b33-4cc9-9b77-114ecdf3443b,14,0.05,0,508181a4-bfa4-4763-995d-ed8eb26c2911,8/22/2019 22:33,richie@qcinc.org,8/22/2019 22:33,richie@qcinc.org
