ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,587f2943-374a-4e92-9874-924adde31a59,1,3.25,0.5,Yes,Yes,Yes,0312adbe-205b-4e14-a19d-c31fa36aa77c,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
2,33357847-5995-44ab-868d-a8760fab9b0f,2,6,0.3,No,No,Yes,0312adbe-205b-4e14-a19d-c31fa36aa77c,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
3,18fbb462-ac0c-4e8a-a1f4-bf0c3f6d5f52,3,5,0.22,Yes,Yes,Yes,0312adbe-205b-4e14-a19d-c31fa36aa77c,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
4,5ac1c26d-a70b-4ace-bfdf-e7b54b1b1b3a,1,3,0.17,Yes,No,No,dd82788e-4d07-4ef6-9abe-ac4edc8dd0e3,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
5,545d7fc5-c3c2-450a-8c5f-630c031fa74b,1,4.5,0.15,Yes,No,Yes,22252046-818e-4251-90f5-413d7a9429fc,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
6,9f7f8243-11d1-48b7-81e5-ff7103ed3bd8,1,3.9,0.37,Yes,Yes,No,b89c82ab-5a00-4140-ad62-630e9bc1851e,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
7,a695e915-aee8-4e56-95aa-b22f9c67329e,1,3.25,0.2,No,No,No,9c733ae4-818d-4f29-b44f-0d7519e599ec,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
8,e1b5e652-716b-41f8-afc7-131cb6d860ac,3,3.75,0.3,Yes,No,Yes,9c733ae4-818d-4f29-b44f-0d7519e599ec,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
9,7af0a04b-8736-4e91-85ff-7021544637ac,3,2,0.15,Yes,Yes,Yes,9c733ae4-818d-4f29-b44f-0d7519e599ec,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
10,c6bd9824-847a-476f-a6c8-bb6898ec3f43,4,5.5,0.5,Yes,Yes,Yes,9c733ae4-818d-4f29-b44f-0d7519e599ec,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
11,fcfd0c6c-b76a-42d4-9e1c-3093824d9fec,5,7.2,0.35,Yes,No,Yes,9c733ae4-818d-4f29-b44f-0d7519e599ec,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
12,d003204f-1e32-4f8f-adca-5fc695f2b92a,1,6,0.25,Yes,Yes,Yes,80018f28-466b-4611-a2dc-538ad035a1a1,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
13,bec33d0e-2704-4d41-9ed4-10213e640496,2,6.2,0.27,No,No,No,80018f28-466b-4611-a2dc-538ad035a1a1,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
14,b504a1a9-218f-444c-82be-856621e07c60,3,4.8,0.27,No,No,Yes,80018f28-466b-4611-a2dc-538ad035a1a1,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
15,8461b559-4f2f-4ac8-b987-8fc803883c05,4,5,0.3,No,No,Yes,80018f28-466b-4611-a2dc-538ad035a1a1,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
16,29f53182-4335-4806-9b2c-b9ca129481b3,5,2.8,0.17,Yes,Yes,Yes,80018f28-466b-4611-a2dc-538ad035a1a1,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
17,01f1e33a-92a6-48d8-8a0e-4637c595d015,1,2.25,0.44,,,,e8ebe61c-ff72-49cf-b6c3-abc4cb62214c,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
18,6531becd-8b20-4c75-9d7c-5e91a3300378,1,4,0.15,Yes,No,Yes,52130d70-d42a-4ff5-aa3f-2f4814e0b189,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
19,b004499f-3f86-48f7-a7e5-c0801a9f4eab,2,5.5,0.17,Yes,No,Yes,52130d70-d42a-4ff5-aa3f-2f4814e0b189,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
20,303a76af-ca7a-4869-b42d-37347b0ee554,1,7.5,0.15,Yes,No,Yes,76c18761-2ace-44a3-8b22-616ccceaae98,8/9/2019 0:12,richie@qcinc.org,8/9/2019 0:12,richie@qcinc.org
