ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,47fd10b7-f0f0-464d-bfdf-e7296ea638f0,5,4.5,2,6,fb80e367-7772-435c-86ee-89aee92186e5,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
2,5175c022-a0fc-40e5-b8c0-5a65af4f3fee,15,2,2,11,bfb65222-8df0-491c-a935-c4fb3191d5fc,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
3,d2f655d3-e161-4c89-a604-3f8d578df258,10,6,2,15,9d707e31-a613-4288-9cf4-a8e16c5a321a,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
4,88c0b070-96c7-40a5-8f8a-cc1e886a1833,3,3,2,5,757e50ee-d738-4b41-a821-8def6c3a02d9,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
5,b371d4e3-57b6-4aef-b05d-57bb480d1f53,10,3,1.5,8,40229c21-534b-4288-b255-95316e208f32,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
6,233a6ba7-5603-4e34-8967-33ba5d95b604,40,3,2.5,40,cfb08991-a5a8-4a5e-8fe5-f29ab0108d45,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
7,29434728-ffeb-4944-bc45-f8be9cdee6f7,20,2.5,1.5,20,cfb08991-a5a8-4a5e-8fe5-f29ab0108d45,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
8,7b11c1e1-bb7f-441e-bc6d-126ad741fc74,10,4,1.5,10,687555ac-029d-405a-b879-c98fcc63bc5d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
9,bb31fc6a-5014-4163-864d-9faa552412f0,5,3,1.5,6,261a4a0e-2696-436a-b9ad-f83ee5f14da8,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
10,fcd56f39-a948-487a-b397-6de8a2c6586e,20,3,2.5,9,bb578d8d-77ea-4823-bca7-e22543310a5a,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
11,4e967e41-35f7-4d68-8066-91574bc58d7e,5,4,3.5,8,d1222471-c8f8-47a4-9315-6c47b28b236e,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
12,7087177c-f0d1-4eec-acd6-f3bb6aab3fcb,3,4,1,6,d1222471-c8f8-47a4-9315-6c47b28b236e,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
13,6186fa52-0195-4411-8d95-f4b487534a7e,17,3,2.5,15,8c422255-a71a-4140-8c2e-c0182fba8e99,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
14,f55e8739-624b-4dd5-8094-463632118b91,50,3,3,40,4b87af0f-092d-4825-a2d2-db2fa8b799e8,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
15,693f92ff-30ae-4eed-97cb-ad371efb071e,25,3,2.5,25,b50b115a-0fb0-401c-98f3-bd0954df2ebf,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
16,017d5e37-86d4-4879-a092-71308be345a4,8,4,3,8,569880f1-bc2a-4936-9460-d3311d619c20,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
17,677ebc39-3d51-4dd3-a416-51fd7d45eeda,9,4,1.5,9,ffc3ad14-4c17-4c28-bc04-870984cd50aa,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
18,1040f540-630d-4291-9b22-c6c77f4128d1,20,3,1,7,bea85e0e-6309-48d3-bdce-66a5844b2d3e,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
19,4b2df4e2-0317-43c0-b6c1-7ccb30b2b530,9,4,2,5,bea85e0e-6309-48d3-bdce-66a5844b2d3e,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
20,e29883be-829c-4ee4-b746-8a0c1667306d,27,4,2.4,8,7e873752-dd61-4fde-95d6-2d4ce741d2db,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
21,6fd5a414-4ba6-4840-8fb7-d1046e213699,6,1,2,7,440aefc0-f471-4adb-a4b5-1a4b54f9c342,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
22,44a27ecb-0afd-43b0-9ce1-85566aeb0683,50,3,2.5,48,8406fb6f-fdd9-40a3-ba52-8b59c6e4f1f2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
23,a62c4559-8b1a-435b-9402-387121180bbf,50,1.5,,36,8406fb6f-fdd9-40a3-ba52-8b59c6e4f1f2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
24,4ced36d5-03a9-4cd5-896f-e159c1c58818,6,42,2,8,8406fb6f-fdd9-40a3-ba52-8b59c6e4f1f2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
25,805bba11-b334-420a-81e0-819e10d9fb9c,40,3,2,30,8406fb6f-fdd9-40a3-ba52-8b59c6e4f1f2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
26,e29956ec-346c-46d7-875c-36edf6ef1c14,70,8,3.5,200,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
27,d604fb9c-be90-4a3e-9ed9-985a2ef9eaac,24,,1.2,24,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
28,08335028-f482-4342-b5f2-5d4b1d6f9f8c,2,2,1.3,6,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
29,15949283-0c97-4c56-8a89-8ea990b85bab,12,5,2,15,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
30,6e229ade-0382-4a55-83a5-0e409b5e4709,3,4,1,7,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
31,577435ce-b658-4ee2-8d56-518df9a62b7b,45,4,2,50,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
32,3b54ab41-0c5c-46ec-9b04-dc6f860662d8,35,3.5,2,30,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
33,b09f7c2f-c43e-44c7-aff9-81ee46f4c6f3,3,4,1,5,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
34,6d91d1a3-4587-4ff6-9ce9-bf0491cd4cfb,20,6,2,25,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
35,9cb1bb9f-3ec2-456d-a36a-28da54dc6466,4.5,3,2.5,6,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
36,cb635aa7-f03b-411e-b732-b42afb7fe0ff,4,2.5,1.2,10,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
37,8d029332-005d-48d5-9614-5e2b272948d1,3,1.5,1.2,5,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
38,92c89fd1-97ec-4f69-ba73-28b195f0313e,2.5,2,1.5,5,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
39,804a8cf7-9cce-46c5-9f0b-dd5a73cf6dd1,15,5,2,20,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
40,1be4deb2-f0b0-4fc9-b677-ccefd0391f40,18,6,2,22,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
41,37f2f09d-f8e2-4ae8-8ae8-32d087db544d,40,4.5,2,30,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
42,b72e36fa-10e4-45fe-ae41-ae7f98c2490e,4,2.5,1.2,7,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
43,d68cbbe2-ca2b-4d34-a8e8-01f0d3236d58,3.5,2,1,5,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
44,c6bc05a3-b75f-4f51-800a-cc291e70a33a,5,4.5,1.8,5,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
45,442c53a2-df03-4eae-83a4-a482958902b6,45,3.5,2,45,c66e905e-8e66-40c0-96bd-ea8558c61a9d,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
46,2ebe3d3f-a92d-467e-95b9-96545c1b88fb,6.5,3,1.5,5,4653b8e6-5a99-4ce8-bcce-280f1283d684,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
