ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,28d06a50-ef32-4546-b881-7a872cc13fb4,1,Right_Bank,3,0.31,0.41,0.36,0054f73c-373b-4aab-9083-38f81dd5f059,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
2,d22dec4a-edb8-40d9-b6de-82ca5fa01abf,1,Right_Bank,9,0.53,0.72,0.79,5015339c-8484-490a-aeff-82a56ad1c667,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
3,1b913167-9bfe-4d5b-baa2-e1d7f62eb886,1,Right_Bank,3,0.79,1,0.56,40229c21-534b-4288-b255-95316e208f32,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
4,97e3a6e8-69d0-4ed0-a700-0722eb239d19,1,Left_Bank,4.5,1.06,0.87,0.75,44d446ba-5920-4096-9fb7-bb3f143c5d57,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
5,4230cacd-168f-41dd-a8f6-ccdb86647d01,2,Right_Bank,4.5,0.53,0.87,0.77,44d446ba-5920-4096-9fb7-bb3f143c5d57,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
6,ddcb877d-a57c-408a-b63b-d544a338d5ab,1,Left_Bank,5,0.54,0.77,0.43,78989a89-3f48-472c-a4e3-22b4cf265039,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
7,73e0385b-ce83-4434-87ec-65bb95c7a2e9,2,Left_Bank,2,0.43,0.51,0.33,78989a89-3f48-472c-a4e3-22b4cf265039,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
8,3a8bf2c3-7a18-4ba7-b4c3-5b10aa87aae1,1,Right_Bank,7.5,0.51,0.26,0.4,4524f94d-15f7-4480-83a4-2c00cfc5b6ac,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
9,6bb05e97-57dc-46e8-ae49-13e3366bd04f,1,Left_Bank,5.25,0.26,0.62,0.52,5190ed54-a60a-43c9-a620-f7eb485232d8,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
10,e537fc86-40d7-471c-a437-226ddf000ed7,1,Left_Bank,7,0.37,0.31,0.38,19ff33d4-031c-4425-be53-7f04a74848d2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
11,f6d620cb-f062-4050-886b-c0b2747b2164,2,Left_Bank,8,0.38,0.31,0.48,19ff33d4-031c-4425-be53-7f04a74848d2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
12,7d23728b-2c3a-49ba-bbd1-37c8348cf1ff,1,Right_Bank,4,0.67,0.87,0.73,09c6920e-76d1-401c-87d8-1899fdb02d61,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
13,cb84bd70-fe35-4c12-94d8-fb70eee74299,2,Right_Bank,9,0.65,1.13,0.49,09c6920e-76d1-401c-87d8-1899fdb02d61,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
