ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,ec0f03b0-57cf-4970-a47c-2a7aee052906,Run,1,1,0.45,,,,,,100,10,30,40,20,,,,,,,,,,,,0.51,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
2,88b11c37-545b-45d4-b01f-a7f606937c69,Pool,2,1,0.45,,,,,,100,10,30,30,30,,,,,,,,,,,,0.62,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
3,0014a945-a2c7-496f-bfae-5d69c34e6ca1,Riffle,3,1,0.43,,10,,,,90,,,,,218,38.5,154,109,218,54.5,154,154,218,109,0.06,0.57,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
4,8840366d-848b-40fb-8b6d-12dc0e5d1a9b,Run,4,1,0.46,,,,,,100,10,30,30,30,,,,,,,,,,,,0.64,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
5,6adc80c8-f79d-4f3e-8e91-4c224f8de340,Riffle,5,1,0.46,,10,,,,90,,,,,154,154,54.5,154,218,77,309,218,109,1.03,309,0.57,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
6,7b68253a-2bb5-4515-a701-a7101ef740ed,Run,6,1,0.37,,10,,,,90,10,40,30,20,,,,,,,,,,,,0.43,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
7,c82c3264-9335-44bf-a752-8b6122611da3,Riffle,7,1,0.33,,10,,,,90,10,40,30,20,,,,,,,,,,,,0.43,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
8,98da8622-761e-41a5-9ecf-a6402d07dba7,Pool,8,1,0.34,,10,,,,90,20,40,30,10,,,,,,,,,,,,0.68,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
9,420ca5b5-3f32-4d4d-ae20-247200957e86,Riffle,9,1,0.39,,,,10,,90,10,30,30,30,,,,,,,,,,,,0.43,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
10,7818ba71-dd8a-4697-85bc-cfa570e84c4e,Run,10,1,0.4,,,,,,100,10,40,40,10,,,,,,,,,,,,0.56,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
11,6e020bd9-f91b-4110-8e8c-6572b77f0111,Riffle,11,1,0.53,,10,,,,90,10,40,30,20,,,,,,,,,,,,0.53,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
12,3d67cb1a-a4a0-45d6-aa6a-7fdac2b82b85,Pool,12,1,0.33,,,,10,,90,10,40,30,20,,,,,,,,,,,,1.14,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
15,3d16fe1d-ce09-45ed-80f8-a25a46a31b85,Rapid+,13,1,0.53,,,,,,100,10,30,30,30,,,,,,,,,,,,0.58,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
14,13f9647e-4fca-42fe-81bf-78d0b9bc77ac,OCA,14,1,,This unit is an irrigation ditch head.,,,,20,80,60,30,10,,,,,,,,,,,,,0.85,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
13,e709846f-8572-45e6-a76c-f72195cd9d2d,Riffle,15,1,0.44,,,,,,100,10,30,50,10,,,,,,,,,,,,0.44,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
16,0f486e87-3818-40c8-ae27-2e38d80b57c7,Pool,16,1,0.4,,10,,,,90,10,50,30,10,,,,,,,,,,,,0.65,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
17,8095d423-3a67-4a5e-a815-c596d267c417,Riffle,17,1,0.5,,10,,,,90,10,40,30,20,,,,,,,,,,,,0.71,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
18,5fa71502-4189-4af2-a7f9-f8fd44e8afa2,Pool,18,1,0.4,,,,,,100,10,30,30,30,,,,,,,,,,,,0.62,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
19,e356f7d2-1820-4ad6-9191-346d6dc1d724,Riffle,19,1,0.5,,10,,,,90,10,30,40,20,,,,,,,,,,,,0.68,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
20,e1c0d7fb-d82b-4b43-acb7-82b1667c7560,Run,20,1,0.36,,10,,,,90,20,40,30,10,,,,,,,,,,,,0.45,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
21,ad0925b0-4810-4fb5-9628-75ae3b89408e,Riffle,21,1,0.4,,10,,,,90,10,30,40,20,,,,,,,,,,,,0.48,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
22,a5923f83-2803-45eb-9e38-23e68fbcaf6f,Pool,22,1,0.4,,,,,,100,10,40,40,10,,,,,,,,,,,,0.77,,,,,,76728397-b587-4dad-9827-9973671b9deb,10/7/2019 21:39,richie@qcinc.org,10/7/2019 21:39,richie@qcinc.org
