ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,10678f2e-ed5c-4be4-a9e0-4cb7971669d6,Pool,1,1,0.43,,,,10,,90,10,40,40,10,,,,,,,,,,,,0.88,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
2,981f4c07-b6b2-45e9-9d85-a3fa569715a2,Riffle,2,1,0.33,,10,,,,90,,,,,3,27.3,13.65,77,77,54.5,109,27.3,218,9.65,0.06,0.42,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
3,39588f2c-a3f4-46c1-8aeb-0c8a02afd923,Pool,3,1,0.43,,,,,,100,10,50,30,10,,,,,,,,,,,,0.7,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
4,69279d1d-22ba-47a2-b97e-cd9ae477586b,Rapid+,4,1,0.44,,,,,,100,20,30,30,20,,,,,,,,,,,,0.58,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
5,b5a9b7f6-d41b-4132-a30d-5d1584a0100e,Pool,5,1,0.64,Max depth may be deeper than recorded.,20,,10,,80,20,30,30,20,,,,,,,,,,,,1.4,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
6,6bb4b80e-60eb-45f9-a3cc-e524ea524998,Rapid+,6,1,0.31,,10,,,,90,10,30,50,10,,,,,,,,,,,,0.47,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
7,ba018cc4-de44-47d6-a3fd-b897d47f2c14,Riffle,7,1,0.3,,,,,,100,,,,,218,0.06,154,109,77,218,77,109,38.5,109,9.65,0.5,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
8,f3f95b62-2dcf-40d7-a390-525e86061c7b,Pool,8,1,0.4,,,,,,100,20,40,30,10,,,,,,,,,,,,1.12,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
9,60116a69-fd56-4eb0-ad62-3ee5b0b9532e,Riffle,9,1,0.4,,10,,,,90,10,40,40,10,,,,,,,,,,,,0.56,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
10,7d715197-7673-483a-a319-56bb688cc878,Pool,10,1,0.45,,,,30,,70,20,40,30,10,,,,,,,,,,,,1,,,,,,dd6cd709-e497-4996-8a65-b4e5d0fb1909,10/7/2019 9:38:53 PM,richie@qcinc.org,10/7/2019 9:38:53 PM,richie@qcinc.org
