ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,d98bfd92-420d-40d5-b08d-2e63ffd1ac1f,Riffle,1,1,0.39,,20,,10,,70,,,,,54.5,19.3,77,6.85,109,27.3,6.85,38.5,54.5,3,154,1.2,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
2,301c2a7e-6267-453c-b18a-5d4bcbce2560,Pool,2,1,0.32,,10,,30,,70,20,40,20,20,,,,,,,,,,,,1.4,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
3,d5c38269-9029-42cc-912a-ec04072df495,Pool,3,1,0.37,,20,,20,,70,10,40,40,10,,,,,,,,,,,,0.95,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
4,3a8ba252-1cdb-4cdd-b3ab-6cfc5073230b,Riffle,4,1,0.42,,10,,,,90,,,,,109,54.5,109,309,27.3,54.5,218,38.5,27.3,6.85,4.85,0.72,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
5,59f8919c-6a02-4aec-a967-445e92af7534,Run,5,1,0.33,,,,,,100,30,40,20,10,,,,,,,,,,,,0.7,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
6,9e02fa71-9022-40d4-a618-85b4c4726bfa,Pool,6,1,0.45,,20,,10,,80,30,40,30,,,,,,,,,,,,,0.7,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
7,2f501590-41b1-4752-ab33-321e1b16c033,Riffle,7,1,0.34,,10,,,,90,20,30,30,20,,,,,,,,,,,,0.54,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
8,7058f270-6f92-4296-b7d9-c2a13270d99c,Pool,8,1,0.27,Very deep . Max depth is an estimate.,,,10,,90,30,30,30,10,,,,,,,,,,,,3,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
9,29fcceba-a31b-4d92-a46d-2fc6abdba1ab,Pool,9,1,0.25,,,,20,,80,10,30,30,30,,,,,,,,,,,,1.8,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
10,b788d84d-5451-4a93-b232-f31d209d826a,Pool,10,1,0.3,,,,20,,80,10,30,30,30,,,,,,,,,,,,1.2,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
11,880e0736-fdba-4328-aa7a-d9392d23a425,Riffle,11,1,0.31,,,,10,,90,20,40,20,20,,,,,,,,,,,,1.22,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
12,c1b70284-8241-46a7-a3b9-f444335627e0,Run,12,1,0.3,,,,,,100,10,40,40,10,,,,,,,,,,,,0.9,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
13,d7fc5c70-7086-45a2-83a7-93e450aca858,Riffle,13,1,0.28,,,,,,,30,30,30,10,,,,,,,,,,,,0.89,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
14,40e26240-4cc9-43c7-85d0-0ad11007119c,Pool,14,1,0.34,Very deep. Max depth is an estimate.,,,10,,90,30,40,20,10,,,,,,,,,,,,2.5,,,,,,12603b8d-3bb1-4d69-9cd4-c7f5c924c347,10/17/2019 4:51:44 PM,richie@qcinc.org,10/17/2019 4:51:44 PM,richie@qcinc.org
