ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e02e0aff-3fbf-44ba-87a4-fdedf1ebbf68,Pool,1,1,0.2,,0.2,,,,0.8,60,30,10,,,,,,,,,,,,,1.3,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
2,244c44e6-5c42-4877-a00d-40687a1ed696,Run,2,1,0.3,,0.3,,0.2,,0.6,70,30,,,,,,,,,,,,,,0.8,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
3,3cd4965a-5994-4c80-ac1a-c3c7a7899528,Pool,3,1,0.4,,0.2,,0.1,,0.8,60,40,,,,,,,,,,,,,,0.5,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
4,f63701ff-35e6-451a-95a1-d312d099bdbf,Run,4,1,0.65,,0.4,,0.1,,0.7,70,30,,,,,,,,,,,,,,0.7,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
5,d8df816c-7b94-449b-8a7b-0b5433444e7d,SSC,5,2,0.35,,0.5,,,,0.5,80,20,,,,,,,,,,,,,,0.33,2.5,3,1.7,0.9,2,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
6,57133d9f-fa52-4394-8f69-4985368cd6b8,SSC,6,3,0.17,,0.4,,0.1,,0.6,80,20,,,,,,,,,,,,,,0.2,1.75,3,2.7,3,2.4,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
7,36823830-e407-4fe3-99a4-1bbeeaf0f01d,SSC,7,4,0.5,,0.2,,0.1,,0.8,90,10,,,,,,,,,,,,,,0.59,3,1.4,4.5,3.4,4,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
8,84ff4861-ecbc-410d-87eb-2f264895d7af,Pool,8,1,0.4,,,,,,100,50,50,,,,,,,,,,,,,,0.7,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
9,76ebfed5-48c6-425b-84e3-c80469d58c14,Riffle,9,1,0.39,,0.1,0.1,0.1,,0.8,30,70,,,,,,,,,,,,,,0.4,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
10,f147d012-0c7e-4bcb-a71f-fd76d66ea7e7,Pool,10,1,0.5,,0.2,,0.1,,0.7,50,50,,,,,,,,,,,,,,0.7,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
11,d29678b4-daf0-4104-81b0-2cc6b6387169,Pool,11,1,0.3,,0.2,,,,0.8,60,40,,,,,,,,,,,,,,0.9,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
12,1d6e83cc-0a9a-4d79-93a3-ac542026660c,Riffle,12,1,0.35,,0.1,,0.1,,0.8,20,80,,,,,,,,,,,,,,0.4,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
13,f8e23f11-fc80-49e4-a911-3bc35d9b750a,Pool,13,1,0.36,,0.1,,,0.1,0.9,40,60,,,,,,,,,,,,,,0.5,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
14,64f8b9be-f050-4a50-8e8f-f2482c23c52f,Riffle,14,1,0.4,,0.1,,,,0.9,50,50,,,,,,,,,,,,,,0.4,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
15,aed58679-86c3-40fe-91d1-e92cd610bd74,Pool,15,1,0.5,,0.4,,0.2,,0.6,30,70,,,,,,,,,,,,,,0.64,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
16,247cd4dd-fd70-4008-9ef9-71e49735e077,Pool,16,1,0.32,,0.5,,0.2,,0.5,50,50,,,,,,,,,,,,,,0.63,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
17,9f5d3c84-c43e-4e22-bad2-d47096b0c455,Riffle,17,1,0.32,,,,,,100,50,50,,,,,,,,,,,,,,0.32,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
18,2be0819e-71bc-4eb3-a9a6-41476d4b9bba,Pool,18,1,0.3,,0.2,,0.2,,,60,40,,,,,,,,,,,,,,0.45,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
19,68d30833-33b8-4cb2-93df-fc1a24daa812,Pool,19,1,0.4,,0.2,,0.1,,0.8,60,40,,,,,,,,,,,,,,0.55,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
20,fbac0a66-7663-4ef1-a522-fcf08456afc7,Riffle,20,1,0.42,,0.3,,0.1,,0.7,30,60,10,,,,,,,,,,,,,0.5,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
21,fc695265-324e-48cb-b44e-3f2b6ae222a6,Pool,21,1,0.41,,0.4,,0.1,,0.6,60,40,,,,,,,,,,,,,,0.58,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
22,cc4c3b8f-4bf6-4fc0-976e-dc0551f25cad,Run,22,1,0.2,,0.1,,0.1,,0.9,50,50,,,,,,,,,,,,,,0.5,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
23,04696d17-b9c1-4ccb-ae55-b3346a88a2cd,Riffle,23,1,0.37,,,,,,100,40,60,,,,,,,,,,,,,,0.37,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
24,793fa5f9-c866-4bc2-ad03-7528e2d58af3,Pool,24,1,0.48,,,,,,100,60,40,,,,,,,,,,,,,,0.71,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
25,72d21179-b968-485b-9723-3d31838288fd,Pool,25,1,0.36,,0.2,,,,0.8,60,40,,,,,,,,,,,,,,0.7,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
26,f00fa17d-2fa8-45e8-bd91-5170d1a654cc,Riffle,26,1,0.4,,,,,,100,50,40,10,,,,,,,,,,,,,0.42,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
27,23458e7e-7425-49ba-9591-27e41231e7a2,Run,27,1,0.34,,,,,,100,70,30,,,,,,,,,,,,,,0.62,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
28,88ee3dd4-8aa4-4c70-a542-c6c56466ba0d,Riffle,28,1,0.33,,,,,,100,40,60,,,,,,,,,,,,,,0.33,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
29,cadbea66-90c1-4dc5-97b4-6bab0cb67983,Pool,29,1,0.37,,0.1,,,,0.9,50,40,10,,,,,,,,,,,,,0.67,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
30,339c2ffa-d655-4dcf-b1b2-ac9f88ed11ab,Run,30,1,0.61,,,,,,100,60,20,20,,,,,,,,,,,,,0.83,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
31,1949db91-3a82-4686-8a2d-b10fba5f0f0a,Pool,31,1,0.29,,0.3,,0.2,,0.6,80,20,,,,,,,,,,,,,,1.2,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
32,cbf7256f-a213-4756-855c-2fb4538a8f56,Riffle,32,1,0.2,,,,,,100,30,60,10,,,,,,,,,,,,,0.4,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
33,27a183b1-cf59-487b-a57e-fc544a09101e,Riffle,33,5,0.3,,,,,,100,30,60,10,,,,,,,,,,,,,0.3,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
34,838370e1-a717-453e-9057-bccdac6f90ef,Pool,34,1,0.26,,,,0.1,,0.9,70,30,,,,,,,,,,,,,,0.73,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
35,fc8327e5-810d-4560-bbe0-785109bd630c,Run,35,1,0.5,,,,,,100,70,30,,,,,,,,,,,,,,0.5,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
36,da643b52-72e6-46aa-8a0a-a67620c39797,OCA,36,1,0.37,,,,0.1,,0.9,100,,,,,,,,,,,,,,,0.37,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
37,b3b75d48-b6a5-458a-9e8d-179862032d59,Pool,37,1,0.2,,0.2,,0.1,,0.8,60,40,,,,,,,,,,,,,,0.6,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
38,e32e65e7-c215-4cf1-a20e-dd94dd99291d,Riffle,38,1,0.25,,,,,,100,30,70,,,,,,,,,,,,,,0.35,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
39,d498a33b-6c57-4b3a-9193-e9e28d38f627,Pool,39,1,0.3,,0.2,,,,0.8,60,40,,,,,,,,,,,,,,0.5,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
40,9403495d-d984-4e2a-942b-5de3ea5efb9e,Run,40,1,0.45,,0.4,,0.2,,0.5,60,40,,,,,,,,,,,,,,0.78,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
41,fe3b9a31-324f-4fdd-bf86-36768d40566b,SSC,41,6,0.2,,0.2,,0.2,,0.7,100,,,,,,,,,,,,,,,0.3,3,1.5,3,2.8,3,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
42,49da9e27-11ea-4303-a10c-6d484a262f71,OCA,42,6,0.2,,0.3,,0.1,,0.7,100,,,,,,,,,,,,,,,0.2,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
43,1324a8bb-a01f-406c-8af3-c10807c26bb7,Pool,43,1,0.2,,0.2,,,,0.8,50,50,,,,,,,,,,,,,,0.8,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
44,c74c08ca-f614-44f4-9e99-5147c4055a34,Riffle,44,1,0.36,,,,,,100,50,50,,,,,,,,,,,,,,0.45,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
45,6bf3b07a-345f-4c70-9815-f8388baa5476,Pool,45,1,0.41,,,,,,100,60,40,,,,,,,,,,,,,,0.8,,,,,,eb816797-bd77-44f9-8f88-037f3318909d,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
