ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,c321d578-58d9-47cc-8d83-d1706459fe41,0,0.38,0.101,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
2,7229aaee-5037-4e54-94fd-6b5401629f20,0.25,0.38,0.447,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
3,af0df17c-6a9b-4356-9be3-b55cc7e75ffb,0.5,0.34,0.495,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
4,e508534e-3505-4560-b538-eb6809074565,0.75,0.32,0.53,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
5,74424cc1-28af-43a1-8461-b8817e95aaee,1,0.32,0.598,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
6,1e254900-cdd2-4e5e-a5cf-5c5c2bcafaf1,1.25,0.3,0.582,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
7,f4fce88e-eb15-4d6b-b724-4ce653f2f3d1,1.5,0.24,0.613,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
8,38a017e0-140b-4618-a2f2-2f848bd2d3d7,1.75,0.23,0.677,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
9,e4e37e6a-e255-49f2-a2de-0928c716f9a0,2,0.21,0.61,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
10,4a78e8dd-9979-4c3e-90c1-6d2131dfb4b5,2.25,0.2,0.518,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
11,69b82110-e8aa-4ff9-b01b-a7c9c44913bf,2.5,0.2,0.533,3494bb92-218a-4132-98d7-0be5380436ef,6/26/2019 11:16:57 PM,richie@qcinc.org,6/26/2019 11:16:57 PM,richie@qcinc.org
