ObjectID	GlobalID	Undercut Number	Location	Length (m)	Width 25% (m)	Width 50% (m)	Width 75% (m)	ParentGlobalID	CreationDate	Creator	EditDate	Editor
1	24b4fe8c-61b9-43a3-a468-acf341aa5af9	1	Right_Bank	1.5	0.4	0.5	0.2	f63701ff-35e6-451a-95a1-d312d099bdbf	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
2	6cbffb21-085e-4018-a55f-5c9f9e693d60	1	Left_Bank	2	0.3	0.2	0.3	76ebfed5-48c6-425b-84e3-c80469d58c14	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
3	aebbfa31-a80c-4b22-938d-f4c028cae638	1	Left_Bank	4.5	0.85	0.88	0.56	075eb8c0-5c13-4171-ad06-811288f6f7c9	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
4	7751a3af-5133-47e7-b8fe-7fa1ce279d26	1	Left_Bank	4.5	0.82	0.86	0.5	c8f71b68-6147-42bc-abb6-793fc8c8b4ba	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
5	958b9c5e-a1db-4759-8a8b-76905b896bd3	1	Left_Bank	1.6	0.5	0.31	0.38	8158361c-57b2-491b-9a12-f84b4deb630b	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
6	7b6f3090-91c5-4435-bd7b-d05558140114	1	Left_Bank	3.5	0.36	0.41	0.43	43663981-8af9-4561-84a1-596e73f06e36	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
7	e332a516-1b86-4cb7-ad1b-2fbd4636f62e	1	Right_Bank	2.5	0.24	0.3	0.28	e3b8b3aa-451f-4a42-9ff7-5012cf25f427	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
8	7ca3cd78-357a-4f49-9c01-39122eede859	1	Left_Bank	2.07	0.32	0.4	0.41	8d8372ad-a7c2-4ba8-8445-5b07aaef140d	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
9	e4b2feef-34d2-4fce-90bd-4eb7620b6b13	1	Left_Bank	2.16	0.52	0.56	0.59	2dd2b190-97b9-4f19-a6a8-c1ec07e0387c	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
10	61e65734-8173-4363-8569-c53ecf71311f	1	Left_Bank	1.99	0.38	0.43	0.3	35d5c9b4-e20c-4188-ae4f-445773fd724b	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
11	1dbd0308-9f7a-490c-9957-3d3d1419d643	1	Right_Bank	5	0.67	0.59	0.46	a74ef57b-e895-4592-b37f-701143775264	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
12	aff2815f-7496-4551-b860-01a565a040b1	1		3.25	0.58	0.45	0.61	61a97d82-c34c-494c-9bac-f0eabe7ad74f	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
13	1dff0a07-9650-4117-9cdc-262ff09fa311	1	Left_Bank	1.75	0.42	0.48	0.37	d0969f19-99d7-4a60-8a6e-6e3738b48155	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
14	a547c5d7-4627-4e24-a5cf-fec9e0ba5bed	2	Left_Bank	2	0.2	0.33	0.25	d0969f19-99d7-4a60-8a6e-6e3738b48155	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
15	80efd514-c52b-429d-ac01-3b3701c38533	1	Left_Bank	1.15	0.65	0.67	0.73	7506b5b0-4e03-4e9b-a3e7-199adcf351da	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
16	06f09c04-f064-45af-a77d-e496beee22d7	1	Right_Bank	1.5	0.37	0.5	0.55	2fc64fda-a456-488c-9b35-7fe853e07ae2	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
17	d763c6ba-716f-4693-8bb5-1da67f83d1b4	1	Left_Bank	3.9	0.5	0.58	0.76	7d1397a1-dbf5-40d2-8091-8ec74656c542	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
18	3299fc97-5e4b-4ff6-a2d1-371977dda7c6	1	Left_Bank	1.6	0.26	0.31	0.2	340ed407-4355-4fed-b1c2-7f0e883bd890	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
19	88d6ade7-49dc-43a4-83f3-be180dfae286	1	Right_Bank	4.5	0.22	0.2	0.37	31984ae4-7585-41c9-8892-c517783a7420	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
20	d8cc0d12-492e-4b0f-b3c7-6519e3d575f1	1	Left_Bank	5	0.2	0.48	0.52	80c627dc-1216-416d-b8d0-7883ad28f6e1	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
21	804e78e3-ef40-4d8b-922b-0738898a1ff1	1	Right_Bank	6	0.39	0.24	0.32	aa034bcb-2305-4cbc-aa2e-a55eb225aea5	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
22	4f75a058-15b9-4351-b482-bf7a08ae1b7f	1	Left_Bank	2.4	0.2	0.33	0.39	317635e2-12b5-4121-80ff-318757650a5b	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
23	4daff6aa-d89e-4861-aa07-8e9b0fed116f	1	Left_Bank	12.5	0.43	0.5	0.51	a346277b-124a-4882-bc7a-eacee7765569	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
24	5b34d0b6-d5ba-476f-8741-540d49bca4c8	1	Right_Bank	6.6	0.21	0.5	0.41	9fe1c0be-9269-4fe3-b2ce-9e1332c2436e	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
25	ac716f9d-f21e-4fe9-a97e-c9f1ad597e99	1	Left_Bank	2	0.28	0.3	0.2	54ff066e-013f-4374-9bae-9b2dab173184	6/18/2019 16:48	richie@qcinc.org	6/18/2019 16:48	richie@qcinc.org
