ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,8608ec90-a9b4-4ff6-a65d-0443415aece3,1,1.5,.16,Yes,No,Yes,23458e7e-7425-49ba-9591-27e41231e7a2,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
2,5f373e33-5bca-48a3-b171-801d0e8a93fe,1,1.7,.15,Yes,No,No,269788e8-4bc0-4ae3-8cc9-164782047b91,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
3,ed74090d-742c-4ea8-9a5d-cd7a924f9c06,1,1.8,1.5,Yes,No,No,9bacc5ec-3f78-463b-8223-fbd6cecd1dc0,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
4,f1b7ddd6-f436-48a8-ba8d-6930acadc403,1,3,.18,Yes,Yes,No,d2705f22-5e54-4755-a0a5-c52b44cbbe73,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
5,865c5448-3982-4205-82b2-6beffd9a7430,1,1.7,.23,Yes,No,Yes,43663981-8af9-4561-84a1-596e73f06e36,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
6,b20d9248-427a-4815-86c8-c77fa6bbb07a,1,2.65,.25,Yes,No,Yes,536bd94f-f296-4144-8e20-c9dd63502793,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
7,16ca1ace-ecdb-48ee-944b-36fede45d493,1,1.7,.21,Yes,Yes,,b32722dc-6ae5-4a42-ba58-f3f31dbcf646,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
8,2949e1fc-ef35-4dec-a653-dfdd535f2682,1,3,.17,Yes,Yes,No,e0dcdebd-df0b-47c5-b256-1e0b5e482611,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
9,10f3f509-39fa-4ba5-a1c6-91eeca1f3876,1,2,.2,Yes,Yes,No,d0969f19-99d7-4a60-8a6e-6e3738b48155,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
10,7dadd1f9-df82-49c1-8002-22d9ca445c37,1,1.5,.25,Yes,Yes,Yes,6975d98e-911f-40c2-8163-1a724b415be2,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
11,a428267b-d9e6-4c10-838f-545d03facb99,1,2.25,.15,Yes,No,No,6ab6aba7-3856-41b3-aac3-a2f66b0b606e,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
12,aa9c7088-5a79-437e-88fd-eb7670dede1b,1,2,.15,Yes,Yes,Yes,cb922974-02d5-4983-b022-e605234899f8,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
13,c92ab2a4-a126-4b17-bca4-cdadd8637024,2,2,.15,Yes,Yes,Yes,cb922974-02d5-4983-b022-e605234899f8,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
14,c4ecabde-373e-43d3-9445-762c1c05754b,1,2,.15,Yes,Yes,Yes,caad5ee6-377c-4b0c-a04e-d8f0913674ec,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
15,8ebdaaf9-fda1-4706-9002-e66392ad2fcc,2,2,.15,Yes,Yes,Yes,caad5ee6-377c-4b0c-a04e-d8f0913674ec,6/18/2019 4:48:54 PM,richie@qcinc.org,6/18/2019 4:48:54 PM,richie@qcinc.org
