ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,b36c916a-0aa4-4019-9dfa-888904eee168,6,2,1.2,11,ce027aea-3737-439e-9694-e994be294db4,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
2,499d308e-aed6-48df-af22-62360dfab1b0,11,1.5,0.67,6,a3665daa-4fb3-4803-a8af-011bbf570184,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
3,cd66f413-254e-4a80-8505-1fb586115903,7,2,1.28,7,2fea596b-85e4-44da-a998-5fdeb1d77ea3,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
4,8a8f426f-544e-40b7-be5b-0894ea0c726a,7,2,1.23,6,90375ef2-9875-49a8-8322-a9c1e139cb72,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
