ObjectID	GlobalID	Station Width	Station Depth	Station Velocity	ParentGlobalID	CreationDate	Creator	EditDate	Editor
63	526048de-8611-451d-9495-07062c8451a0	0	0.19	0.169	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
64	c092f84d-f4f4-40e0-a7ab-db5a01d9ab16	0.3	0.25	0.219	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
65	a1d8073c-2145-4bbd-b91c-895f4634a214	0.6	0.34	0.466	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
66	9d344298-37af-4a13-802b-89583d337b8e	0.9	0.4	0.576	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
67	cc0d4557-f80c-4cf5-ad2c-4b5124a654ad	1.2	0.48	0.71	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
68	cd42c357-7e0f-4629-8e19-2a685b0ca50b	1.5	0.45	0.676	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
69	b931f4fb-da39-496a-9248-dcdf328ef46c	1.8	0.48	0.64	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
70	c2ef5388-faf0-409b-9324-b91bc96b3ea2	2.1	0.44	0.649	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
71	01e335e6-aa24-4873-bc5f-ebc772c012cf	2.4	0.49	0.648	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
72	932b8d73-2d7c-4320-9459-94f97fd6af73	2.7	0.46	0.678	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
73	a5598cd4-7444-4b32-b0b5-f9db3139d369	3	0.48	0.759	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
74	c48f99d4-8c31-44e8-91eb-58d2edf1d982	3.3	0.48	0.75	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
75	9bae416f-203e-454c-93f0-741736528c36	3.5	0.46	0.823	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
76	8231b903-8b98-4e5c-a699-be50b65a436c	3.8	0.48	0.793	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
77	de0f4013-b908-403c-875e-de0a28bb39de	4.1	0.45	0.602	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
78	f8d31a9c-72da-4eaa-be8f-a078eced0b2c	4.4	0.4	0.376	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
79	c1fb16cd-a3d3-40f5-aa07-3137a6d88d54	4.7	0.37	0.306	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
80	2b557a68-6954-4bb6-a57f-29c29251367b	5	0.36	0.24	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
81	039c69f0-84bf-41a5-a087-6da478eaf81d	5.3	0.3	0.264	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
82	bd26e84e-7a74-4106-834a-a05b22410c49	5.6	0.22	0.149	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
83	1aeaaedf-5d98-4839-a894-a6b251af711b	5.9	0.12	0.021	7e56168d-675a-4894-ba6d-7f13348b7533	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
84	c19faf4b-e792-4984-9821-8668a20d7280	0	0.1	0.222	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
85	de7f4cb9-e794-476b-b0a0-07f870f0b548	0.4	0.1	0.653	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
86	7eec81c7-2761-4b1e-bf46-a31775b32f69	0.8	0.1	0.429	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
87	c9667b2a-8bfe-437d-bdd6-8cfbeefde468	1.2	0.11	0.141	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
88	3c11038f-4263-48a5-8950-0a06c57a77f2	1.6	0.13	0.659	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
89	0274a3e5-9893-45b7-a9c6-bab26430c53b	2	0.14	0.81	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
90	87e216ae-d3f7-44b9-a1b2-633540d5b388	2.4	0.18	0.874	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
91	e323846c-e410-4ca3-b19d-cd2429463781	2.8	0.2	0.965	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
92	05d4d8a9-ef66-4f2d-ba54-b09463f28bd3	3.2	0.19	1.069	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
93	94c3a3ca-7a25-4fc6-bbe4-d6fc48415277	3.6	0.2	1.014	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
94	ba6f5c93-8917-4d9a-aca9-ffbf5228e241	4	0.21	0.968	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
95	762ed8c1-a60a-4227-a551-3752d7365c92	4.4	0.2	1.112	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
96	8d3ce63d-3544-451b-b95a-ed28982b9bdf	4.8	0.22	1.002	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
97	25786540-3a6e-48f4-9f0c-a28e16714fbc	5.2	0.2	1.049	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
98	75d794f2-51c4-4c34-9e63-d8e3a01a5099	5.6	0.12	1.058	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
99	70ff5cce-773d-4dcc-bf5d-85b9741b1002	6	0.2	0.859	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
100	fb0038f8-a1fe-42b1-9d94-895db9003a40	6.4	0.24	0.892	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
101	5673670e-bb2a-43d3-8988-c0303a6a1e7b	6.8	0.18	0.858	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
102	612072ce-6bbe-4ab9-9b34-4f97fb774da5	7.2	0.12	0.691	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
103	36a09d50-4ab8-4de1-b3ab-c34e78399308	7.6	0.1	0.643	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
104	96744ddc-cd15-4c6f-8f9a-be537faaeec0	8	0.06	0.268	037fb6ff-95f7-4ed0-93a0-b4c372da1f2e	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
105	b6b847c9-60a0-41c3-8c95-a4661b2fd8c4	0	0.16	-0.089	9be412c9-4971-4832-8b72-57108ae0ecba	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
