ObjectID	GlobalID	Large Wood Number	Length (m)	Diameter (m)	Wet?	Channel Forming?	Ballasted?	ParentGlobalID	CreationDate	Creator	EditDate	Editor
13	eb4722d0-2039-4140-8322-af01a4d0ed20	1	2.1	0.27	Yes	Yes		487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
14	d897159f-3f62-4f4b-9ec5-a3b8998d6253	2	2.2	.36o	Yes	Yes	Yes	487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
15	eb27f79f-6a9f-4c65-a60f-abec0ed8e367	3	2.2	0.44	Yes	No	Yes	487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
16	98fce9e2-4c6b-48a6-a122-e5cda3123a0d	4	1.95	0.37	Yes	No	Yes	487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
17	a84b8035-b7e4-4d1b-9bd3-0dc189162dae	5	1.75	0.26	Yes	No	Yes	487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
18	c0c468e9-4eb3-4ec1-8919-c8e797b0e346	6	4	0.35	Yes	Yes	Yes	487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
19	9616ca9b-24c7-4ac5-a559-74fdcc6db1e6	7	15	0.4	Yes	Yes	Yes	487b3386-b31c-4499-91f1-452074d7af84	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
20	cbec5f67-5cf5-4363-bae2-fda2ab5bc2a5		2.6	0.16	Yes	No	No	634cf9e4-2973-42fb-a420-27906b983245	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
21	3289d2a6-b6cd-43a1-b4c1-a2fd5c0da5df	2	5.5	0.23	Yes	No	No	634cf9e4-2973-42fb-a420-27906b983245	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
22	2395c264-1049-4c21-a12f-25492ce060c9	3	1.7	0.23	Yes	No	No	634cf9e4-2973-42fb-a420-27906b983245	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
23	e2462c0c-dd6e-40fa-a797-f672cd305855	1	7	0.48	Yes	No	No	2671c415-0261-46b4-bc6b-b12e09648505	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
24	b94e04e9-754b-431d-b4c5-73c54033982a	1	2	0.19	Yes	No	No	ee86bd54-1bfd-40ad-a776-1c718e96b7ad	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
25	b2e78b33-fa39-436a-a422-67c59c503154	2	2	0.19	Yes	No	No	ee86bd54-1bfd-40ad-a776-1c718e96b7ad	6/26/2019 23:16	richie@qcinc.org	6/26/2019 23:16	richie@qcinc.org
